Chord Rotation [rads],Moment [kN-mm]
8.183306e-05,4.901961e+02
3.846154e-03,1.176471e+04
-3.846154e-03,-1.029412e+04
3.518822e-03,1.166667e+04
-3.846154e-03,-1.019608e+04
3.682488e-03,1.205882e+04
4.991817e-03,1.607843e+04
6.628478e-03,2.147059e+04
-6.301146e-03,-1.705882e+04
8.183306e-05,3.921569e+02
6.628478e-03,2.156863e+04
-6.464812e-03,-1.715686e+04
-4.091653e-04,6.862745e+02
6.628478e-03,2.137255e+04
1.317512e-02,3.333333e+04
-9.410802e-03,-2.558824e+04
-1.350245e-02,-3.058824e+04
6.464812e-03,2.372549e+04
1.317512e-02,3.323529e+04
1.219313e-02,3.078431e+04
-8.592471e-03,-2.333333e+04
-1.055646e-02,-2.676471e+04
-1.333879e-02,-3.098039e+04
-8.919804e-03,-1.745098e+04
6.464812e-03,2.411765e+04
1.317512e-02,3.382353e+04
-9.083470e-03,-2.509804e+04
-1.055646e-02,-2.686275e+04
-1.317512e-02,-3.156863e+04
-8.919804e-03,-1.735294e+04
6.792144e-03,2.490196e+04
1.693944e-02,3.598039e+04
2.004910e-02,3.784314e+04
1.841244e-02,3.529412e+04
1.644845e-02,2.980392e+04
1.432079e-02,2.441176e+04
4.173486e-03,9.803922e+02
-1.391162e-03,-1.039216e+04
-7.937807e-03,-2.696078e+04
-1.219313e-02,-3.225490e+04
-1.382979e-02,-3.470588e+04
-1.710311e-02,-3.441176e+04
-2.021277e-02,-3.323529e+04
-1.333879e-02,-1.539216e+04
2.373159e-03,1.794118e+04
1.022913e-02,3.039216e+04
1.464812e-02,3.480392e+04
1.710311e-02,3.676471e+04
1.906710e-02,3.813725e+04
2.004910e-02,3.862745e+04
1.743044e-02,3.274510e+04
1.153846e-02,1.764706e+04
7.446809e-03,7.254902e+03
-7.774141e-03,-2.480392e+04
-1.563011e-02,-3.019608e+04
-1.857610e-02,-3.166667e+04
-2.070376e-02,-3.117647e+04
-7.283142e-03,-1.078431e+03
1.063830e-03,1.627451e+04
9.247136e-03,2.931373e+04
1.317512e-02,3.470588e+04
1.464812e-02,3.656863e+04
1.759411e-02,3.803922e+04
2.021277e-02,3.931373e+04
2.021277e-02,3.852941e+04
8.919804e-03,9.215686e+03
4.009820e-03,-1.274510e+03
-2.700491e-03,-1.450980e+04
-9.574468e-03,-2.578431e+04
-1.186579e-02,-2.745098e+04
-1.399345e-02,-2.813725e+04
-1.710311e-02,-2.921569e+04
-1.906710e-02,-30000
-1.988543e-02,-2.950980e+04
-1.317512e-02,-1.333333e+04
2.454992e-04,1.578431e+04
5.973813e-03,2.539216e+04
1.628478e-02,3.588235e+04
2.119476e-02,3.872549e+04
2.234043e-02,3.892157e+04
2.610475e-02,3.852941e+04
2.528642e-02,3.568627e+04
2.364975e-02,3.186275e+04
1.988543e-02,2.235294e+04
1.202946e-02,5.098039e+03
-1.063830e-03,-1.460784e+04
-1.022913e-02,-2.392157e+04
-1.448445e-02,-2.686275e+04
-1.972177e-02,-3.029412e+04
-2.168576e-02,-2.970588e+04
-2.610475e-02,-2.931373e+04
-1.628478e-02,-7.450980e+03
-3.846154e-03,1.284314e+04
