Chord Rotation [rads],Moment [kN-mm]
7.500000e-07,2.966380e+04
8.000000e-07,2.928140e+04
6.500000e-07,2.864590e+04
5.100000e-07,2.790030e+04
8.900000e-07,2.714620e+04
1.450000e-06,2.644950e+04
1.760000e-06,2.584670e+04
1.840000e-06,2.535240e+04
1.520000e-06,2.496760e+04
9.500000e-07,2.468260e+04
4.700000e-07,2.448350e+04
4.100000e-07,2.435540e+04
8.000000e-07,2.428330e+04
1.160000e-06,2.425270e+04
1.170000e-06,2.425020e+04
9.800000e-07,24266
7.500000e-07,2.429550e+04
4.800000e-07,2.433370e+04
1.600000e-07,2.437550e+04
-4.200000e-07,2.441620e+04
-1.250000e-06,2.444850e+04
-1.830000e-06,2.447170e+04
-1.960000e-06,2.449160e+04
-1.770000e-06,2.450780e+04
-1.210000e-06,2.451490e+04
-5.400000e-07,2.451430e+04
1.700000e-07,2.451340e+04
7.900000e-07,2.451350e+04
9.200000e-07,2.451410e+04
8.300000e-07,24515
7.500000e-07,2.451280e+04
9.000000e-08,2.450630e+04
-1.260000e-06,2.449770e+04
-2.380000e-06,2.448950e+04
-2.780000e-06,2.448680e+04
-2.800000e-06,2.449010e+04
-2.470000e-06,2.449360e+04
-1.660000e-06,2.449470e+04
-7.400000e-07,2.449430e+04
-2.400000e-07,2.449160e+04
-1.900000e-07,2.448670e+04
-1.900000e-07,2.448180e+04
-6.000000e-08,2.447850e+04
4.700000e-07,2.447640e+04
1.230000e-06,2.447530e+04
1.600000e-06,2.447390e+04
1.420000e-06,2.447340e+04
5.900000e-07,2.447690e+04
-6.800000e-07,2.448160e+04
-1.920000e-06,2.448430e+04
-2.910000e-06,2.448350e+04
-3.380000e-06,2.447810e+04
-3.410000e-06,2.447360e+04
-3.280000e-06,2.447450e+04
-2.910000e-06,2.447780e+04
-2.460000e-06,2.447890e+04
-2.080000e-06,2.447860e+04
-1.690000e-06,2.447950e+04
-1.280000e-06,2.448230e+04
-7.700000e-07,2.448390e+04
-2.000000e-07,2.448020e+04
1.200000e-07,2.447210e+04
4.000000e-08,2.446630e+04
8.000000e-08,2.446590e+04
7.400000e-07,2.446790e+04
1.580000e-06,2.447130e+04
2.330000e-06,2.447530e+04
2.740000e-06,2.447710e+04
2.390000e-06,2.447850e+04
1.800000e-06,2.448290e+04
1.420000e-06,2.448770e+04
1.370000e-06,24489
1.600000e-06,2.448690e+04
1.850000e-06,2.448040e+04
2.290000e-06,2.446940e+04
2.770000e-06,2.445990e+04
3.170000e-06,2.445640e+04
3.550000e-06,2.445720e+04
3.840000e-06,2.445970e+04
4.240000e-06,24464
4.650000e-06,2.446930e+04
4.900000e-06,2.447120e+04
5.130000e-06,2.446760e+04
5.300000e-06,2.445840e+04
5.140000e-06,2.444420e+04
