Chord Rotation [rads],Moment [kN-mm]
3.577000e-05,3.224020e+04
3.187000e-05,3.113240e+04
2.586000e-05,2.947450e+04
1.853000e-05,27805
1.029000e-05,2.640710e+04
1.950000e-06,2.537940e+04
-4.020000e-06,2.470930e+04
-6.270000e-06,2.433830e+04
-6.850000e-06,2.418680e+04
-7.400000e-06,2.416850e+04
-8.080000e-06,2.421470e+04
-7.920000e-06,2.428650e+04
-5.820000e-06,2.436650e+04
-3.290000e-06,2.443990e+04
-2.400000e-06,24493
-2.800000e-06,2.452490e+04
-3.620000e-06,2.454040e+04
-4.620000e-06,2.454970e+04
-5.390000e-06,2.455870e+04
-5.650000e-06,2.456390e+04
-5.650000e-06,2.456170e+04
-5.780000e-06,2.455130e+04
-5.970000e-06,2.453850e+04
-5.670000e-06,2.452670e+04
-4.260000e-06,2.451270e+04
-2.080000e-06,2.449990e+04
-1.200000e-07,2.449440e+04
1.050000e-06,2.449590e+04
1.080000e-06,2.449830e+04
-1.900000e-07,2.450080e+04
-1.950000e-06,24503
-3.340000e-06,2.449790e+04
-3.970000e-06,2.448750e+04
-3.740000e-06,2.447840e+04
-3.190000e-06,2.446910e+04
-1.870000e-06,2.446140e+04
4.000000e-07,2.445810e+04
2.120000e-06,2.445530e+04
2.740000e-06,2.444870e+04
2.860000e-06,2.443890e+04
3.070000e-06,2.442680e+04
3.010000e-06,24411
1.570000e-06,2.439570e+04
-1.110000e-06,2.438530e+04
-3.370000e-06,2.437690e+04
-4.000000e-06,2.436420e+04
-3.810000e-06,24349
-3.520000e-06,2.434190e+04
-2.720000e-06,2.434250e+04
-1.760000e-06,2.434010e+04
-1.130000e-06,2.432270e+04
-6.400000e-07,24289
-3.500000e-07,2.425030e+04
-4.100000e-07,2.420840e+04
-1.120000e-06,2.416030e+04
-2.040000e-06,24110
-2.000000e-06,2.406480e+04
-1.410000e-06,2.402720e+04
-1.080000e-06,2.399730e+04
-9.000000e-07,2.397650e+04
-1.560000e-06,2.396140e+04
-3.710000e-06,2.395150e+04
-6.070000e-06,2.394610e+04
-6.830000e-06,2.393930e+04
-5.680000e-06,2.393280e+04
-3.500000e-06,2.392990e+04
-1.350000e-06,23927
-2.100000e-07,2.392240e+04
-5.400000e-07,2.391530e+04
-1.290000e-06,2.390120e+04
-9.000000e-07,2.388590e+04
-1.100000e-07,2.388170e+04
3.000000e-08,2.388370e+04
3.600000e-07,2.387960e+04
7.400000e-07,2.386370e+04
3.300000e-07,2.384220e+04
-5.600000e-07,2.383050e+04
-9.000000e-07,2.383280e+04
-8.700000e-07,2.384420e+04
-1.120000e-06,2.386060e+04
-8.900000e-07,2.387240e+04
-2.200000e-07,2.387740e+04
9.000000e-08,2.388280e+04
-3.000000e-08,2.388530e+04
-1.120000e-06,2.387880e+04
-3.170000e-06,2.387110e+04
-5.430000e-06,2.387090e+04
-7.390000e-06,2.387230e+04
-8.530000e-06,23872
-9.430000e-06,2.387760e+04
-1.016000e-05,2.388780e+04
-9.800000e-06,2.389630e+04
-8.600000e-06,2.390490e+04
-7.700000e-06,2.391440e+04
-7.420000e-06,23918
-7.200000e-06,2.391340e+04
-7.120000e-06,23910
-7.270000e-06,23917
-7.470000e-06,2.393280e+04
-7.780000e-06,2.394810e+04
-7.680000e-06,2.395840e+04
-6.870000e-06,2.396220e+04
-5.930000e-06,2.395990e+04
-4.980000e-06,2.395930e+04
-3.450000e-06,23969
