Chord Rotation [rads],Moment [kN-mm]
3.050811e-07,8.597469e+04
-3.205430e-07,8.592971e+04
3.195168e-07,8.574037e+04
2.768433e-07,8.598403e+04
-6.234170e-07,8.591624e+04
4.230493e-07,8.589503e+04
1.806220e-07,8.585141e+04
-2.248418e-07,8.583927e+04
1.967774e-07,8.585918e+04
-2.940558e-07,8.585095e+04
5.419567e-07,8.555883e+04
3.511125e-07,8.582710e+04
-7.591524e-08,8.579659e+04
1.195998e-06,8.550905e+04
3.927323e-07,8.581179e+04
-4.828615e-07,8.613447e+04
9.367644e-07,8.586866e+04
1.946822e-07,8.588640e+04
-1.269617e-08,8.618306e+04
-4.582822e-07,8.584383e+04
6.573334e-07,8.550327e+04
1.026165e-07,8.544936e+04
-1.288231e-07,8.537940e+04
8.496085e-07,8.501848e+04
4.425462e-07,8.498515e+04
4.614045e-08,8.499015e+04
5.261660e-07,8.497786e+04
5.814142e-07,8.532541e+04
2.772659e-07,8.533637e+04
3.730959e-07,8.531963e+04
1.470781e-06,8.566172e+04
-1.674605e-07,8.603272e+04
1.947577e-07,8.562527e+04
6.241082e-08,8.555192e+04
-1.491274e-07,8.551432e+04
-4.381374e-07,8.509309e+04
7.550092e-07,8.463102e+04
4.095510e-08,8.459681e+04
7.520642e-07,8.456581e+04
3.222323e-07,8.449371e+04
1.701209e-07,8.485569e+04
1.177039e-07,8.477329e+04
3.943297e-08,8.468746e+04
1.086573e-06,8.459056e+04
-4.736332e-07,8.499637e+04
3.863104e-08,8.446389e+04
1.911347e-07,8.492234e+04
6.207050e-07,8.535542e+04
-7.996256e-07,8.528719e+04
2.989466e-07,8.528290e+04
-4.927891e-07,8.526579e+04
-5.082250e-07,8.521713e+04
2.431715e-07,8.520935e+04
-3.740906e-07,8.514323e+04
7.071438e-07,8.453331e+04
-1.184247e-07,8.444624e+04
-1.703563e-07,8.388560e+04
3.532816e-07,8.386287e+04
3.964808e-07,8.382720e+04
7.029702e-08,8.438656e+04
1.017503e-06,8.493955e+04
-5.241697e-07,8.489961e+04
3.451809e-07,8.487383e+04
-4.529532e-07,8.484081e+04
-1.608364e-06,8.422237e+04
4.124806e-07,8.354542e+04
-4.515065e-07,8.347301e+04
1.093375e-06,8.281854e+04
2.984415e-07,8.275327e+04
2.173066e-07,8.331646e+04
1.001578e-06,8.396812e+04
7.457329e-07,8.459884e+04
4.633890e-07,8.456878e+04
-7.707306e-08,8.521273e+04
-3.467282e-07,8.521604e+04
-1.655359e-07,8.451032e+04
2.668105e-07,8.379995e+04
-6.950944e-07,8.446344e+04
-1.013200e-06,8.446093e+04
6.226746e-08,8.372414e+04
9.328171e-07,8.437577e+04
-6.528723e-08,8.431308e+04
-6.323116e-07,8.427038e+04
2.584237e-07,8.350099e+04
-1.390547e-08,8.419794e+04
1.150695e-06,8.346612e+04
-1.016866e-06,8.343324e+04
5.142003e-07,8.266253e+04
-1.298371e-07,8.259190e+04
5.565163e-09,8.181386e+04
4.291508e-08,8.251391e+04
2.610201e-07,8.322268e+04
1.458189e-07,8.315638e+04
6.131253e-07,8.313177e+04
-1.658010e-07,8.304498e+04
-1.337956e-06,8.304027e+04
9.823507e-08,8.220916e+04
2.322902e-07,8.296838e+04
6.294343e-08,8.288647e+04
-1.361065e-06,8.284158e+04
1.015056e-06,8.195405e+04
-9.776223e-07,8.188846e+04
3.639122e-07,8.103188e+04
1.305527e-06,8.097256e+04
1.473583e-06,8.178397e+04
5.588191e-07,8.173603e+04
4.473629e-07,8.170757e+04
7.941777e-07,8.163637e+04
-5.558256e-07,8.246898e+04
4.670949e-07,8.153704e+04
9.210101e-07,8.147287e+04
1.500431e-07,8.228342e+04
-1.110225e-06,8.220450e+04
1.648902e-07,8.220276e+04
6.238644e-07,8.308107e+04
-8.529340e-08,8.397225e+04
2.471035e-07,8.303779e+04
-2.789575e-07,8.299636e+04
-1.268090e-07,8.202734e+04
-7.272264e-07,8.200979e+04
1.548142e-07,8.102182e+04
9.766029e-07,8.197097e+04
1.798955e-06,8.294532e+04
-1.538753e-07,8.292229e+04
8.651467e-07,8.197115e+04
-9.764975e-08,8.210233e+04
-3.365217e-07,8.162433e+04
1.766042e-07,8.255116e+04
7.691008e-08,8.339229e+04
7.156934e-07,8.415595e+04
2.618720e-07,8.468910e+04
-7.833935e-07,8.486060e+04
1.053425e-06,8.372886e+04
5.702044e-07,8.363026e+04
1.341564e-07,8.464831e+04
1.113646e-06,8.577831e+04
1.049105e-06,8.685404e+04
5.524906e-08,8.675459e+04
-4.065183e-07,8.669499e+04
-4.229539e-07,8.663747e+04
-8.378232e-07,8.657774e+04
5.582197e-07,8.649027e+04
5.646075e-07,8.754157e+04
-5.201667e-07,8.749526e+04
-6.334061e-07,8.635074e+04
-1.162648e-06,8.633577e+04
-4.551601e-07,8.516363e+04
5.439391e-07,8.509507e+04
2.733411e-07,8.494208e+04
-1.146086e-06,8.482951e+04
8.145524e-07,8.475061e+04
