Chord Rotation [rads],Moment [kN-mm]
0,0
2.324443e-03,9.353459e+04
2.296724e-03,7.361006e+04
4.243270e-05,-5.147170e+04
-4.047538e-04,-6.254088e+04
-4.759908e-04,-4.925786e+04
1.870211e-04,2.767296e+03
2.324443e-03,9.353459e+04
2.296724e-03,7.361006e+04
4.243270e-05,-5.147170e+04
-4.047538e-04,-6.254088e+04
-4.759908e-04,-4.925786e+04
2.478814e-03,1.023899e+05
3.191280e-03,1.201006e+05
3.387206e-03,1.212075e+05
3.632610e-03,1.256352e+05
2.987407e-03,7.028931e+04
1.055797e-03,-3.376101e+04
-9.603620e-05,-8.246541e+04
-1.281501e-03,-1.123522e+05
-2.324467e-03,-1.311698e+05
-3.205140e-03,-1.300629e+05
-3.595005e-03,-1.201006e+05
-2.807304e-03,-5.368553e+04
5.215434e-04,1.034969e+05
1.831697e-03,1.477736e+05
2.773720e-03,1.477736e+05
3.547513e-03,1.289560e+05
3.060631e-03,6.918239e+04
1.000382e-03,-3.597484e+04
-9.603620e-05,-8.246541e+04
-8.540308e-04,-1.167799e+05
-1.701072e-03,-1.344906e+05
-2.692573e-03,-1.378113e+05
-3.254618e-03,-1.333836e+05
-2.920144e-03,-1.079245e+05
-5.451929e-04,5.147170e+04
1.095485e-03,1.344906e+05
2.229485e-03,1.488805e+05
3.306083e-03,1.488805e+05
4.511320e-03,1.499874e+05
5.985706e-03,1.510943e+05
6.783314e-03,1.472927e+05
7.000953e-03,1.499874e+05
7.213747e-03,1.464878e+05
7.115133e-03,1.215366e+05
5.807904e-03,4.024390e+04
4.694031e-03,-1.931707e+04
3.541308e-03,-7.163415e+04
2.577847e-03,-1.159024e+05
1.846478e-03,-1.384390e+05
1.187935e-03,-1.384390e+05
-7.746362e-05,-1.408537e+05
-1.170645e-03,-1.464878e+05
-2.078770e-03,-1.505122e+05
-7.153426e-03,-1.505122e+05
-6.018415e-03,-66000
-3.893709e-03,3.621951e+04
-2.594668e-03,9.014634e+04
-8.782551e-04,1.529268e+05
-4.350952e-04,1.641951e+05
1.643798e-03,1.666098e+05
3.851743e-03,1.738537e+05
5.474416e-03,1.746585e+05
6.653817e-03,1.714390e+05
7.200686e-03,1.561463e+05
6.805119e-03,1.287805e+05
4.826843e-03,2.092683e+04
3.940968e-03,-3.058537e+04
2.788246e-03,-8.290244e+04
2.362463e-03,-1.046341e+05
1.794568e-03,-1.215366e+05
1.243939e-03,-1.416585e+05
4.220342e-04,-1.545366e+05
-1.546054e-04,-1.625854e+05
-1.105785e-03,-1.658049e+05
-6.993935e-03,-1.658049e+05
-7.166264e-03,-1.553415e+05
-5.747139e-03,-7.324390e+04
-4.056959e-03,1.609756e+04
-1.678132e-03,1.070488e+05
-8.866656e-04,1.400488e+05
-2.156180e-04,1.666098e+05
8.086094e-04,1.778780e+05
1.652209e-03,1.794878e+05
4.135746e-03,1.786829e+05
7.023929e-03,1.746585e+05
8.461545e-03,1.738537e+05
1.031244e-02,1.682195e+05
1.142311e-02,1.561463e+05
1.110922e-02,1.352195e+05
9.165369e-03,2.817073e+04
7.341598e-03,-5.070732e+04
6.416875e-03,-9.497561e+04
5.134877e-03,-1.376341e+05
3.921500e-03,-1.641951e+05
3.138222e-03,-1.698293e+05
-6.021284e-03,-1.593659e+05
-9.865074e-03,-1.505122e+05
-1.101005e-02,-1.464878e+05
-1.115217e-02,-1.416585e+05
-8.756630e-03,-1.770732e+04
-7.122010e-03,4.587805e+04
-5.087284e-03,1.215366e+05
-3.706006e-03,1.456829e+05
-2.229763e-03,1.521220e+05
1.202954e-04,1.545366e+05
2.599517e-03,1.545366e+05
5.134742e-03,1.513171e+05
8.152088e-03,1.448780e+05
9.804976e-03,1.400488e+05
1.113933e-02,1.368293e+05
1.078239e-02,1.167073e+05
9.406095e-03,4.829268e+04
8.528631e-03,9.658537e+03
7.565058e-03,-2.736585e+04
6.558542e-03,-7.082927e+04
5.624963e-03,-9.900000e+04
4.304117e-03,-1.344146e+05
3.124827e-03,-1.384390e+05
1.437628e-03,-1.416585e+05
-5.784875e-03,-1.384390e+05
-6.792058e-03,-1.384390e+05
-8.401892e-03,-1.344146e+05
-9.757828e-03,-1.271707e+05
-1.113092e-02,-1.239512e+05
-1.044725e-02,-7.807317e+04
-8.597696e-03,3.219512e+03
-7.036123e-03,5.875610e+04
-5.853073e-03,9.819512e+04
-4.609480e-03,1.191220e+05
-3.684200e-03,1.271707e+05
5.467455e-04,1.328049e+05
5.023068e-03,1.360244e+05
8.191048e-03,1.303902e+05
1.101459e-02,1.311951e+05
1.280085e-02,1.303902e+05
1.506502e-02,1.199268e+05
1.494471e-02,1.062439e+05
1.125390e-02,-3.621951e+04
9.941795e-03,-8.048780e+04
8.909157e-03,-1.046341e+05
8.001143e-03,-1.159024e+05
7.114601e-03,-1.239512e+05
5.578037e-03,-1.263659e+05
1.054344e-03,-1.279756e+05
-4.730543e-03,-1.255610e+05
-1.008079e-02,-1.175122e+05
-1.409237e-02,-1.134878e+05
-1.486292e-02,-1.070488e+05
-1.279831e-02,-1.529268e+04
-9.356633e-03,9.417073e+04
-7.497551e-03,1.159024e+05
-6.193526e-03,1.255610e+05
-3.309771e-03,1.295854e+05
5.726449e-04,1.279756e+05
6.585642e-03,1.263659e+05
1.073922e-02,1.247561e+05
1.441511e-02,1.183171e+05
1.505650e-02,1.142927e+05
1.453609e-02,8.853659e+04
1.201105e-02,-1.126829e+04
1.088810e-02,-4.024390e+04
9.700623e-03,-7.163415e+04
8.069763e-03,-9.980488e+04
6.851847e-03,-1.110732e+05
4.217785e-03,-1.183171e+05
-1.102247e-03,-1.159024e+05
-1.225897e-02,-1.014146e+05
-1.412701e-02,-9.980488e+04
-1.488462e-02,-9.578049e+04
-1.174863e-02,2.012195e+04
-9.231675e-03,8.531707e+04
-7.768605e-03,1.086585e+05
-6.107306e-03,1.167073e+05
-2.956703e-03,1.215366e+05
1.691837e-03,1.215366e+05
8.694863e-03,1.159024e+05
1.324446e-02,1.126829e+05
1.563768e-02,1.070488e+05
1.795774e-02,1.006098e+05
1.877987e-02,9.900000e+04
1.896504e-02,9.336585e+04
1.760568e-02,4.346341e+04
1.617747e-02,-8.048780e+03
1.425852e-02,-5.473171e+04
1.240386e-02,-8.451220e+04
1.066088e-02,-9.900000e+04
6.787098e-03,-9.900000e+04
-4.515827e-03,-9.336585e+04
-9.547540e-03,-8.692683e+04
-1.317174e-02,-8.290244e+04
-1.751481e-02,-7.485366e+04
-1.880179e-02,-7.324390e+04
-1.889653e-02,-7.002439e+04
-1.646590e-02,1.126829e+04
-1.433610e-02,6.197561e+04
-1.207691e-02,9.578049e+04
-1.001108e-02,1.078537e+05
-4.923477e-03,1.054390e+05
3.590324e-03,9.980488e+04
9.754068e-03,9.175610e+04
1.303826e-02,8.612195e+04
1.760944e-02,7.887805e+04
1.907727e-02,7.243902e+04
1.835022e-02,4.909756e+04
1.733064e-02,1.529268e+04
1.503725e-02,-3.380488e+04
1.339776e-02,-6.036585e+04
1.179247e-02,-7.163415e+04
8.594493e-03,-7.485366e+04
5.250089e-03,-7.243902e+04
2.099375e-03,-7.002439e+04
8.727142e-04,-7.243902e+04
-2.067156e-03,-66000
-2.992658e-03,-5.956098e+04
-3.190775e-03,-5.151220e+04
-3.104889e-03,-3.863415e+04
-2.816681e-03,-2.736585e+04
