Chord Rotation [rads],Moment [kN-mm]
0,1.544419e+02
5.779444e-03,8.715019e+03
1.148137e-02,1.795934e+04
1.712223e-02,2.480095e+04
2.112956e-02,2.777618e+04
2.586550e-02,2.962159e+04
3.242294e-02,3.180848e+04
4.080191e-02,3.325576e+04
4.918087e-02,3.454860e+04
5.828844e-02,3.641047e+04
6.557449e-02,3.762198e+04
7.541067e-02,3.920345e+04
8.378963e-02,4.003297e+04
9.143999e-02,4.067955e+04
9.945465e-02,4.176510e+04
1.074693e-01,4.200121e+04
1.147554e-01,4.244051e+04
1.366135e-01,4.267729e+04
1.559216e-01,4.146302e+04
1.704937e-01,4.048830e+04
1.857944e-01,3.884708e+04
1.970878e-01,3.747391e+04
2.149386e-01,3.535323e+04
2.174887e-01,3.425600e+04
