Chord Rotation [rads],Moment [kN-mm]
0,0
-3.000000e-06,-4.223724e+03
-3.000000e-06,-3.519240e+04
-7.000000e-06,-3.800778e+04
-1.400000e-05,-4.926922e+04
-2.400000e-05,-8.586892e+04
-3.100000e-05,-1.323222e+05
-5.600000e-05,-1.534379e+05
-4.500000e-05,-6.616143e+04
-3.800000e-05,-4.363845e+04
-3.500000e-05,-7.319984e+04
-3.800000e-05,-8.164589e+04
-4.200000e-05,-8.164589e+04
-3.800000e-05,-8.305364e+04
-3.800000e-05,-7.883051e+04
-4.200000e-05,-8.305364e+04
-4.200000e-05,-6.053066e+04
-3.500000e-05,-6.475368e+04
-3.800000e-05,-6.334604e+04
-3.800000e-05,-6.475368e+04
-3.500000e-05,-6.053066e+04
-3.100000e-05,-4.645395e+04
-2.800000e-05,-2.815399e+04
-2.400000e-05,-5.630820e+03
-1.700000e-05,-1.407705e+04
-1.700000e-05,-2.393096e+04
-1.400000e-05,-3.096937e+04
-1.700000e-05,-3.660003e+04
-1.700000e-05,-2.393096e+04
-1.400000e-05,-1.548536e+04
-1.000000e-05,-7.039134e+03
-3.000000e-06,4.222505e+03
0,-4.223724e+03
-3.000000e-06,1.126042e+04
3.000000e-06,4.222505e+03
3.000000e-06,-1.266998e+04
3.000000e-06,-3.378476e+04
0,-4.786158e+04
-3.000000e-06,-4.645395e+04
-3.000000e-06,-3.941554e+04
-3.000000e-06,-1.407705e+04
0,-1.266998e+04
3.000000e-06,-2.533871e+04
-7.000000e-06,-7.742276e+04
-2.800000e-05,-1.168380e+05
-4.200000e-05,-1.393604e+05
-6.200000e-05,-1.576603e+05
-6.900000e-05,-1.717378e+05
-1.040000e-04,-2.055220e+05
-1.080000e-04,-1.928524e+05
-1.110000e-04,-1.675142e+05
-1.180000e-04,-1.463997e+05
-1.600000e-04,-2.393062e+05
-1.630000e-04,-2.238220e+05
-1.530000e-04,-1.829985e+05
-1.350000e-04,-1.182458e+05
-1.040000e-04,-7.038434e+04
-4.500000e-05,5.208325e+04
7.000000e-06,8.023735e+04
0,1.407095e+03
-3.000000e-06,-2.815410e+03
-7.000000e-06,-1.689244e+04
-3.000000e-06,1.407581e+04
-2.100000e-05,-3.096937e+04
-1.700000e-05,-3.519240e+04
-2.400000e-05,-4.786158e+04
-2.800000e-05,-8.727655e+04
-3.500000e-05,-9.853799e+04
-3.500000e-05,-1.027611e+05
-4.200000e-05,-6.475368e+04
-3.500000e-05,-4.645395e+04
3.000000e-06,6.756862e+04
2.800000e-05,7.179108e+04
2.100000e-05,-1.266998e+04
1.000000e-05,1.689119e+04
0,-2.111557e+04
-7.000000e-06,-4.082317e+04
-7.000000e-06,-4.223081e+04
-1.000000e-05,-1.830075e+04
-1.000000e-05,-2.674635e+04
-1.000000e-05,-4.645395e+04
-1.000000e-05,-5.912302e+04
-2.100000e-05,-2.111557e+04
-1.000000e-05,2.815410e+03
-3.000000e-06,1.407581e+04
7.000000e-06,4.222991e+04
2.100000e-05,6.193784e+04
5.600000e-05,9.853325e+03
7.600000e-05,2.815410e+03
1.040000e-04,5.630820e+03
1.350000e-04,-3.096937e+04
1.700000e-04,4.222505e+03
1.980000e-04,1.407095e+03
2.150000e-04,2.956117e+04
2.400000e-04,4.082283e+04
2.670000e-04,5.349157e+04
2.850000e-04,8.023735e+04
3.090000e-04,8.727531e+04
3.330000e-04,1.055761e+05
3.580000e-04,1.055761e+05
3.680000e-04,1.041677e+05
3.850000e-04,1.013524e+05
4.060000e-04,1.112068e+05
4.240000e-04,1.224671e+05
4.340000e-04,1.351368e+05
4.510000e-04,1.534367e+05
4.720000e-04,1.661053e+05
4.900000e-04,1.858131e+05
5.100000e-04,1.942591e+05
5.280000e-04,2.111524e+05
5.450000e-04,2.181905e+05
5.560000e-04,2.266366e+05
5.760000e-04,2.477511e+05
5.900000e-04,2.533815e+05
6.110000e-04,2.590129e+05
6.180000e-04,2.744972e+05
6.350000e-04,2.759050e+05
6.530000e-04,2.801275e+05
6.670000e-04,2.899814e+05
6.810000e-04,2.899814e+05
6.940000e-04,2.984274e+05
7.120000e-04,3.040578e+05
7.190000e-04,3.040578e+05
7.430000e-04,3.125049e+05
7.530000e-04,3.322128e+05
7.710000e-04,3.420655e+05
7.850000e-04,3.392498e+05
7.990000e-04,3.434734e+05
7.990000e-04,3.434734e+05
8.130000e-04,3.519206e+05
8.160000e-04,3.505116e+05
7.990000e-04,2.252276e+05
7.670000e-04,1.773670e+05
7.260000e-04,1.562525e+05
6.910000e-04,1.280986e+05
6.630000e-04,1.112068e+05
6.250000e-04,9.712979e+04
5.830000e-04,8.445981e+04
5.590000e-04,8.164443e+04
5.140000e-04,6.193784e+04
4.690000e-04,5.912234e+04
4.440000e-04,4.926787e+04
4.200000e-04,4.082283e+04
3.920000e-04,3.800745e+04
3.650000e-04,3.519206e+04
3.440000e-04,1.829951e+04
3.230000e-04,1.689119e+04
2.880000e-04,8.446230e+03
2.710000e-04,-2.815410e+03
2.400000e-04,-1.126164e+04
2.190000e-04,-1.970794e+04
1.910000e-04,-3.096937e+04
1.670000e-04,-4.223081e+04
1.390000e-04,-4.926922e+04
1.150000e-04,-6.616143e+04
9.000000e-05,-6.475368e+04
6.600000e-05,-8.305364e+04
3.800000e-05,-8.446117e+04
1.000000e-05,-1.013534e+05
-1.000000e-05,-1.027611e+05
-4.200000e-05,-1.126148e+05
-6.200000e-05,-1.309143e+05
-9.000000e-05,-1.379536e+05
-1.110000e-04,-1.463997e+05
-1.280000e-04,-1.590682e+05
-1.530000e-04,-1.661064e+05
