Chord Rotation [rads],Moment [kN-mm]
-9.756098e-05,-1.800358e+04
3.024390e-03,8.686043e+05
-2.634146e-03,-7.475647e+05
-9.756098e-05,-1.800358e+04
2.829268e-03,8.652806e+05
-2.829268e-03,-7.345466e+05
-9.756098e-05,-1.800358e+04
3.024390e-03,8.522625e+05
-2.439024e-03,-7.278993e+05
-4.878049e-04,-4.099266e+04
3.219512e-03,8.882697e+05
-2.439024e-03,-7.605828e+05
-9.756098e-05,-5.068708e+04
3.024390e-03,8.686043e+05
-2.829268e-03,-7.672301e+05
-2.926829e-04,-2.132724e+04
3.219512e-03,8.719279e+05
-2.829268e-03,-7.182049e+05
-9.756098e-05,-1.800358e+04
5.365854e-03,1.888993e+06
-4.975610e-03,-1.637220e+06
-9.756098e-05,-1.661831e+03
5.756098e-03,1.911982e+06
-4.975610e-03,-1.604536e+06
-4.878049e-04,4.071609e+04
5.756098e-03,1.895641e+06
-5.170732e-03,-1.656885e+06
-9.756098e-05,3.102167e+04
5.756098e-03,1.895641e+06
-4.975610e-03,-1.669903e+06
-4.878049e-04,-8.309155e+03
5.365854e-03,1.938018e+06
-5.170732e-03,-1.607860e+06
-9.756098e-05,-1.661831e+03
5.756098e-03,1.911982e+06
-4.975610e-03,-1.637220e+06
-2.926829e-04,4.403976e+04
7.707317e-03,2.468155e+06
-7.317073e-03,-2.265407e+06
-9.756098e-05,-1.661831e+03
8.292683e-03,2.478126e+06
-7.121951e-03,-2.278425e+06
-9.756098e-05,3.102167e+04
7.707317e-03,2.451813e+06
-6.926829e-03,-2.275101e+06
-2.926829e-04,4.403976e+04
7.707317e-03,2.500838e+06
-7.512195e-03,-2.334097e+06
-9.756098e-05,3.102167e+04
7.707317e-03,2.468155e+06
-7.317073e-03,-2.281748e+06
-4.878049e-04,-8.309155e+03
7.902439e-03,2.455137e+06
-7.317073e-03,-2.363457e+06
-6.829268e-04,-4.431632e+04
9.853659e-03,2.635449e+06
9.658537e-03,2.272607e+06
9.073171e-03,2.082877e+06
-2.634146e-03,-1.679044e+06
-5.560976e-03,-2.382569e+06
-7.317073e-03,-2.543216e+06
-8.487805e-03,-2.628525e+06
-1.004878e-02,-2.573406e+06
-8.878049e-03,-2.128578e+06
-6.731707e-03,-1.422006e+06
-6.536585e-03,-1.435024e+06
-4.585366e-03,-7.644596e+05
2.829268e-03,1.404558e+06
7.707317e-03,2.566205e+06
1.004878e-02,2.622431e+06
7.512195e-03,1.598718e+06
4.585366e-03,5.847003e+05
-3.804878e-03,-1.911429e+06
-5.560976e-03,-2.366228e+06
-8.682927e-03,-2.599165e+06
-9.853659e-03,-2.521057e+06
-4.780488e-03,-7.841250e+05
2.829268e-03,1.437242e+06
7.512195e-03,2.562882e+06
1.004878e-02,2.638773e+06
7.707317e-03,1.618384e+06
4.780488e-03,5.880240e+05
-3.609756e-03,-1.875422e+06
-5.365854e-03,-2.362904e+06
-8.292683e-03,-2.543493e+06
-1.004878e-02,-2.508039e+06
-4.585366e-03,-7.317761e+05
3.219512e-03,1.427547e+06
8.097561e-03,2.605536e+06
1.043902e-02,2.612737e+06
7.512195e-03,1.631402e+06
4.780488e-03,5.553405e+05
-4.000000e-03,-1.931095e+06
-5.170732e-03,-2.359580e+06
-8.487805e-03,-2.563158e+06
-9.658537e-03,-2.501392e+06
-4.390244e-03,-7.774776e+05
3.024390e-03,1.424224e+06
7.707317e-03,2.566205e+06
1.024390e-02,2.609413e+06
1.141463e-02,2.662038e+06
1.434146e-02,2.679210e+06
1.492683e-02,2.460396e+06
4.585366e-03,-9.023989e+05
1.268293e-03,-1.775989e+06
-8.780488e-04,-2.319143e+06
-1.658537e-03,-2.414147e+06
-3.219512e-03,-2.555128e+06
-4.780488e-03,-2.630743e+06
-1.492683e-02,-2.738206e+06
-1.453659e-02,-2.388382e+06
-5.170732e-03,6.799852e+05
-6.829268e-04,1.802301e+06
2.634146e-03,2.365398e+06
5.756098e-03,2.565652e+06
1.434146e-02,2.679210e+06
1.473171e-02,2.473414e+06
4.780488e-03,-8.990753e+05
1.463415e-03,-1.756323e+06
-8.780488e-04,-2.172067e+06
-2.634146e-03,-2.381740e+06
-4.975610e-03,-2.486991e+06
-1.160976e-02,-2.567312e+06
-1.356098e-02,-2.567865e+06
-1.473171e-02,-2.506098e+06
-1.121951e-02,-1.269666e+06
-4.780488e-03,6.702908e+05
-4.878049e-04,1.805625e+06
6.829268e-04,2.021668e+06
2.439024e-03,2.165973e+06
5.560976e-03,2.251835e+06
1.082927e-02,2.276207e+06
1.473171e-02,2.228288e+06
1.980488e-02,2.118602e+06
1.980488e-02,1.971527e+06
1.960976e-02,1.723077e+06
1.746341e-02,9.838213e+05
1.434146e-02,1.789222e+05
1.239024e-02,-3.609087e+05
1.004878e-02,-8.583616e+05
8.097561e-03,-1.185750e+06
6.146341e-03,-1.382404e+06
4.780488e-03,-1.454695e+06
3.024390e-03,-1.484608e+06
1.463415e-03,-1.331438e+06
