Chord Rotation [rads],Moment [kN-mm]
-1.342282e-04,-9.024448e+02
2.718121e-03,5.299646e+05
-3.322148e-03,-5.602661e+05
-3.020134e-04,-2.030501e+03
2.885906e-03,5.442129e+05
-3.489933e-03,-5.679543e+05
-3.020134e-04,-8.590630e+03
2.885906e-03,5.245325e+05
-3.154362e-03,-5.656982e+05
3.355705e-05,-6.334518e+03
2.550336e-03,5.222764e+05
-3.322148e-03,-5.537060e+05
-3.020134e-04,-1.515076e+04
3.221477e-03,5.267886e+05
-3.322148e-03,-5.733863e+05
3.355705e-05,-6.334518e+03
2.885906e-03,5.179724e+05
-3.154362e-03,-5.656982e+05
3.355705e-05,6.785740e+03
4.395973e-03,8.102104e+05
-4.664430e-03,-9.300976e+05
2.013423e-04,1.353667e+03
4.731544e-03,8.059064e+05
-4.664430e-03,-9.432179e+05
-1.342282e-04,-7.462574e+03
4.395973e-03,7.970902e+05
-4.496644e-03,-9.486500e+05
3.355705e-05,-1.945478e+04
4.395973e-03,8.036503e+05
-4.664430e-03,-9.300976e+05
3.355705e-05,-1.289465e+04
4.395973e-03,8.102104e+05
-4.832215e-03,-9.181054e+05
-3.020134e-04,-2.171089e+04
4.395973e-03,8.298908e+05
-5.000000e-03,-9.323537e+05
3.355705e-05,-1.289465e+04
7.248322e-03,1.170514e+06
-7.181208e-03,-1.563671e+06
5.369128e-04,-2.950350e+03
7.080537e-03,1.169386e+06
-7.013423e-03,-1.555982e+06
7.046980e-04,4.737835e+03
7.248322e-03,1.163954e+06
-6.845638e-03,-1.554854e+06
8.724832e-04,-7.254367e+03
7.080537e-03,1.195627e+06
-7.181208e-03,-1.557110e+06
1.040268e-03,4.338183e+02
6.912752e-03,1.187938e+06
-7.013423e-03,-1.575663e+06
7.046980e-04,-8.382423e+03
6.912752e-03,1.187938e+06
-7.013423e-03,-1.562543e+06
7.046980e-04,-1.822294e+03
7.080537e-03,9.725822e+05
8.422819e-03,9.947269e+05
9.597315e-03,9.698226e+05
9.765101e-03,8.331880e+05
9.261745e-03,6.789208e+05
2.382550e-03,-5.284723e+05
-6.375839e-04,-1.067028e+06
-2.147651e-03,-1.195262e+06
-4.161074e-03,-1.300641e+06
-6.677852e-03,-1.343802e+06
-9.026846e-03,-1.379275e+06
-1.003356e-02,-1.386044e+06
-8.187919e-03,-8.291444e+05
-4.496644e-03,-1.811149e+05
-2.315436e-03,1.681164e+05
1.040268e-03,5.908454e+05
2.382550e-03,7.573130e+05
3.557047e-03,8.373708e+05
4.899329e-03,8.923161e+05
6.912752e-03,9.255332e+05
9.093960e-03,9.205175e+05
9.765101e-03,7.872671e+05
9.093960e-03,6.121915e+05
8.758389e-03,5.443341e+05
1.208054e-03,-7.528530e+05
-8.053691e-04,-1.074716e+06
-2.483221e-03,-1.190958e+06
-3.993289e-03,-1.247032e+06
-6.677852e-03,-1.278201e+06
-8.691275e-03,-1.304858e+06
-9.865772e-03,-1.279954e+06
-8.523490e-03,-8.510809e+05
-4.664430e-03,-2.019233e+05
-2.147651e-03,1.692445e+05
1.208054e-03,5.985336e+05
2.382550e-03,7.638731e+05
3.724832e-03,8.253786e+05
5.067114e-03,8.868841e+05
7.080537e-03,8.676201e+05
8.255034e-03,8.689564e+05
9.261745e-03,8.363639e+05
9.429530e-03,6.800489e+05
9.093960e-03,5.400301e+05
2.550336e-03,-5.076639e+05
1.375839e-03,-7.517249e+05
-4.697987e-04,-1.052779e+06
-1.476510e-03,-1.138269e+06
-3.657718e-03,-1.172614e+06
-6.510067e-03,-1.204911e+06
-8.355705e-03,-1.210760e+06
-9.697987e-03,-1.193544e+06
-8.187919e-03,-8.160241e+05
-4.496644e-03,-1.614345e+05
-2.315436e-03,1.681164e+05
8.724832e-04,5.765971e+05
2.382550e-03,7.441927e+05
5.906040e-03,7.678819e+05
7.583893e-03,7.529219e+05
9.261745e-03,7.182816e+05
9.093960e-03,6.056313e+05
2.550336e-03,-5.470246e+05
1.208054e-03,-7.528530e+05
-8.053691e-04,-1.048475e+06
-3.489933e-03,-1.099325e+06
-7.013423e-03,-1.129574e+06
-9.530201e-03,-1.133375e+06
-6.845638e-03,-5.380344e+05
-4.496644e-03,-1.942351e+05
-2.147651e-03,1.626844e+05
1.375839e-03,5.996617e+05
2.382550e-03,6.654712e+05
4.228188e-03,6.975602e+05
7.751678e-03,6.753284e+05
1.010067e-02,6.780010e+05
1.312081e-02,6.589452e+05
1.446309e-02,6.286089e+05
1.496644e-02,5.532715e+05
1.144295e-02,-4.114890e+04
5.234899e-03,-8.373018e+05
3.389262e-03,-1.007154e+06
2.550336e-03,-1.045594e+06
1.040268e-03,-1.068867e+06
-2.483221e-03,-1.066316e+06
-7.348993e-03,-1.046548e+06
-1.171141e-02,-1.029957e+06
-1.439597e-02,-1.034886e+06
-1.473154e-02,-9.124993e+05
-1.456376e-02,-7.276876e+05
-1.271812e-02,-4.725543e+05
-1.036913e-02,-2.271570e+05
-7.348993e-03,8.179373e+04
-6.342282e-03,2.656855e+05
-5.000000e-03,3.993524e+05
-3.489933e-03,4.816664e+05
-8.053691e-04,5.915571e+05
2.214765e-03,5.987418e+05
5.234899e-03,5.928063e+05
9.429530e-03,5.750868e+05
1.295302e-02,5.725355e+05
1.446309e-02,5.498873e+05
1.395973e-02,5.661836e+05
1.463087e-02,5.050945e+05
1.161074e-02,-5.314110e+04
6.912752e-03,-5.898566e+05
4.563758e-03,-7.827729e+05
2.885906e-03,-8.858952e+05
7.046980e-04,-9.464809e+05
-2.818792e-03,-9.439295e+05
-7.516779e-03,-9.295942e+05
-1.154362e-02,-9.304270e+05
-1.338926e-02,-9.165951e+05
-1.473154e-02,-8.993791e+05
-1.355705e-02,-6.487579e+05
-1.187919e-02,-4.997146e+05
-1.053691e-02,-3.332471e+05
