Chord Rotation [rads],Moment [kN-mm]
-1.321586e-04,4.329854e+03
2.951542e-03,3.091607e+05
-2.511013e-03,-2.392994e+05
-1.321586e-04,4.329854e+03
3.039648e-03,3.187621e+05
-2.599119e-03,-2.395348e+05
-1.321586e-04,-1.914158e+03
3.127753e-03,3.127536e+05
-2.511013e-03,-2.361774e+05
-1.321586e-04,4.329854e+03
2.951542e-03,3.154047e+05
-2.511013e-03,-2.361774e+05
-2.202643e-04,9.724120e+02
3.127753e-03,3.189976e+05
-2.687225e-03,-2.366482e+05
-4.405286e-05,-1.678721e+03
2.951542e-03,3.122827e+05
-2.511013e-03,-2.455434e+05
-1.321586e-04,7.451860e+03
4.625551e-03,4.447582e+05
-4.713656e-03,-4.293836e+05
-1.321586e-04,1.057387e+04
4.801762e-03,4.421071e+05
-4.625551e-03,-4.229042e+05
-4.405286e-05,-1.678721e+03
4.537445e-03,4.476448e+05
-4.889868e-03,-4.329765e+05
-1.321586e-04,4.329854e+03
4.801762e-03,4.452291e+05
-4.889868e-03,-4.267325e+05
4.405286e-05,7.922733e+03
4.713656e-03,4.481157e+05
-4.801762e-03,-4.296191e+05
-1.321586e-04,1.369587e+04
4.801762e-03,4.483511e+05
-4.713656e-03,-4.293836e+05
-1.321586e-04,-1.914158e+03
7.533040e-03,7.241422e+05
-7.356828e-03,-6.986952e+05
2.202643e-04,-9.724120e+02
7.533040e-03,7.241422e+05
-7.268722e-03,-6.953378e+05
2.202643e-04,-9.724120e+02
7.709251e-03,7.308570e+05
-7.268722e-03,-7.047038e+05
3.964758e-04,2.620467e+03
7.444934e-03,7.207847e+05
-7.356828e-03,-6.955732e+05
1.321586e-04,5.036164e+03
7.533040e-03,7.178981e+05
-7.268722e-03,-6.953378e+05
2.202643e-04,5.271600e+03
7.709251e-03,7.246130e+05
-7.268722e-03,-7.015818e+05
3.083700e-04,-6.980988e+03
7.533040e-03,7.272642e+05
7.797357e-03,7.467025e+05
8.325991e-03,7.855792e+05
8.766520e-03,7.961224e+05
9.647577e-03,7.797447e+05
1.000000e-02,7.494664e+05
1.017621e-02,7.031072e+05
9.911894e-03,6.337168e+05
9.823789e-03,5.928952e+05
8.766520e-03,5.088978e+05
3.303965e-03,1.975589e+04
-2.511013e-03,-4.953039e+05
-4.096916e-03,-5.994459e+05
-5.066079e-03,-6.613538e+05
-6.123348e-03,-6.953991e+05
-7.092511e-03,-6.979889e+05
-8.502203e-03,-6.830239e+05
-9.647577e-03,-6.673525e+05
-9.911894e-03,-6.555708e+05
-6.035242e-03,-2.174968e+05
-2.863436e-03,9.381351e+04
-1.277533e-03,2.260536e+05
8.370044e-04,4.065364e+05
2.422907e-03,5.138005e+05
4.713656e-03,5.854839e+05
6.740088e-03,6.189970e+05
8.149780e-03,5.977880e+05
1.000000e-02,5.434140e+05
9.823789e-03,4.492830e+05
8.414097e-03,3.487338e+05
6.828194e-03,2.196157e+05
4.713656e-03,6.723095e+04
3.039648e-03,-4.651255e+04
1.277533e-03,-1.854675e+05
-1.277533e-03,-3.671275e+05
-2.775330e-03,-4.429361e+05
-5.682819e-03,-5.443657e+05
-8.325991e-03,-5.607948e+05
-9.911894e-03,-5.587886e+05
-9.471366e-03,-4.858053e+05
-7.797357e-03,-3.189877e+05
-3.303965e-03,7.390429e+04
1.365639e-03,3.767290e+05
3.568282e-03,4.450550e+05
6.916300e-03,4.540016e+05
8.942731e-03,4.313186e+05
1.000000e-02,3.717037e+05
1.000000e-02,3.061416e+05
5.682819e-03,6.045473e+04
1.321586e-04,-2.322363e+05
-1.629956e-03,-3.181172e+05
-3.215859e-03,-3.348431e+05
-5.066079e-03,-3.304212e+05
-5.859031e-03,-3.106861e+05
-5.947137e-03,-2.547254e+05
