Chord Rotation [rads],Moment [kN-mm]
0,3.148862e+03
3.095238e-03,1.437831e+05
-4.285714e-03,-1.000163e+05
-2.380952e-04,6.864050e+03
3.333333e-03,1.447912e+05
-4.523810e-03,-9.393945e+04
-9.523810e-04,-3.245202e+03
3.095238e-03,1.390598e+05
-4.285714e-03,-9.765464e+04
-4.761905e-04,1.132653e+03
2.857143e-03,1.380517e+05
-4.523810e-03,-1.033860e+05
-2.380952e-04,1.158734e+04
3.571429e-03,1.434377e+05
-4.047619e-03,-1.013698e+05
-9.523810e-04,1.478091e+03
3.095238e-03,1.414215e+05
-4.285714e-03,-9.529300e+04
-9.523810e-04,3.839737e+03
5.000000e-03,2.014425e+05
-5.714286e-03,-1.391280e+05
-4.761905e-04,1.294089e+04
4.761905e-03,2.004344e+05
-5.476190e-03,-1.357582e+05
-7.142857e-04,9.571135e+03
4.761905e-03,2.004344e+05
-5.476190e-03,-1.381199e+05
-1.190476e-03,9.916572e+03
4.761905e-03,1.980728e+05
-5.714286e-03,-1.296814e+05
-9.523810e-04,8.563030e+03
5.238095e-03,2.024506e+05
-5.714286e-03,-1.367663e+05
-1.428571e-03,-5.381180e+02
4.523810e-03,1.970647e+05
-5.238095e-03,-1.347501e+05
-9.523810e-04,1.328632e+04
6.904762e-03,2.591019e+05
-8.571429e-03,-1.984581e+05
-1.666667e-03,8.154240e+02
7.142857e-03,2.577484e+05
-8.333333e-03,-1.974500e+05
-1.190476e-03,2.831633e+03
6.904762e-03,2.591019e+05
-8.095238e-03,-1.988036e+05
-1.190476e-03,1.227822e+04
6.904762e-03,2.685485e+05
-8.095238e-03,-1.988036e+05
-1.190476e-03,7.554926e+03
7.142857e-03,2.624717e+05
-8.571429e-03,-2.008198e+05
-9.523810e-04,1.092468e+04
7.380952e-03,2.729264e+05
-8.809524e-03,-2.041895e+05
-4.761905e-04,3.494300e+03
1.047619e-02,3.474346e+05
-1.119048e-02,-2.520569e+05
-1.190476e-03,5.193279e+03
1.047619e-02,3.427113e+05
-1.142857e-02,-2.507034e+05
-1.666667e-03,8.154240e+02
1.047619e-02,3.427113e+05
-1.166667e-02,-2.517115e+05
-1.428571e-03,4.185175e+03
1.047619e-02,3.427113e+05
-1.047619e-02,-2.466710e+05
-1.190476e-03,1.227822e+04
1.380952e-02,4.182275e+05
1.380952e-02,3.898878e+05
1.285714e-02,3.433457e+05
1.047619e-02,2.883934e+05
-1.119048e-02,-2.827583e+05
-1.500000e-02,-3.319511e+05
-6.190476e-03,-6.320984e+04
1.023810e-02,3.605963e+05
1.404762e-02,4.239589e+05
1.357143e-02,4.148578e+05
1.404762e-02,3.908959e+05
1.285714e-02,3.480690e+05
1.095238e-02,2.904096e+05
-1.095238e-02,-2.817502e+05
-1.476190e-02,-3.309430e+05
-6.428571e-03,-6.185630e+04
1.023810e-02,3.605963e+05
1.380952e-02,4.229508e+05
1.809524e-02,4.859680e+05
1.952381e-02,4.707618e+05
1.357143e-02,3.322002e+05
6.428571e-03,1.177486e+05
1.428571e-03,9.197488e+03
-4.285714e-03,-1.566958e+05
