Chord Rotation [rads],Moment [kN-mm]
0,0
-2.172300e-05,-1.311200e+03
1.402200e-06,8.463800e+01
-8.367000e-06,-5.050400e+02
-1.010000e-05,-6.096400e+02
-1.367500e-05,-8.254300e+02
-2.431700e-05,-1.467800e+03
-1.301300e-05,-7.854700e+02
-1.396000e-05,-8.426300e+02
9.914400e-06,5.984400e+02
-5.398100e-06,-3.258300e+02
-4.780500e-07,-2.885500e+01
-1.670800e-05,-1.008500e+03
-1.383400e-05,-8.350300e+02
-9.034100e-06,-5.453000e+02
9.544800e-06,5.761300e+02
-3.691800e-05,-2.228400e+03
1.632300e-05,9.852700e+02
-1.364700e-05,-8.237400e+02
-1.978100e-05,-1194
-5.347500e-06,-3.227800e+02
5.140300e-06,3.102700e+02
-1.280900e-05,-7.731600e+02
-2.424300e-05,-1.463300e+03
-1.832200e-07,-1.105900e+01
9.088000e-06,5.485600e+02
-1.033900e-05,-6.240700e+02
2.707500e-06,1.634300e+02
-1.129900e-05,-6.820100e+02
-9.195700e-06,-5.550600e+02
-4.286900e-06,-2.587600e+02
4.171900e-06,2.518200e+02
-2.581000e-06,-1.557900e+02
-2.203600e-05,-1.330100e+03
-2.133400e-05,-1.287700e+03
-1.493500e-05,-9.014900e+02
-6.481600e-06,-3.912300e+02
-3.359500e-06,-2.027800e+02
-2.402000e-05,-1.449900e+03
2.789700e-08,1.683900e+00
-1.020300e-05,-6.158600e+02
-3.517200e-06,-2.123000e+02
-4.774800e-06,-2.882100e+02
-1.122500e-05,-6.775500e+02
-1.657100e-07,-1.000200e+01
1.653900e-05,9.983000e+02
-6.082200e-06,-3.671300e+02
8.395400e-07,5.067500e+01
-1.577400e-06,-9.521300e+01
-8.926500e-06,-5.388100e+02
-2.333500e-05,-1.408500e+03
-1.826900e-05,-1.102700e+03
2.387800e-05,1.441300e+03
-6.435100e-06,-3.884300e+02
-8.403800e-06,-5.072600e+02
-1.335000e-06,-8.058100e+01
-3.293200e-07,-1.987800e+01
-9.517600e-06,-5.744900e+02
-1.352200e-05,-8.162000e+02
-3.106800e-06,-1.875300e+02
-1.226300e-05,-7.402000e+02
1.983800e-06,1.197400e+02
-5.520600e-06,-3.332300e+02
-1.096500e-05,-6.618500e+02
-6.449300e-06,-3.892800e+02
-2.966500e-06,-1.790600e+02
-1.705500e-05,-1.029400e+03
-1.752500e-05,-1.057800e+03
-1.252500e-06,-7.560200e+01
3.096600e-07,1.869100e+01
-1.900600e-06,-1.147200e+02
1.200100e-05,7.243900e+02
-1.955200e-06,-1.180200e+02
-6.158500e-06,-3.717300e+02
-1.152000e-05,-6.953500e+02
-5.770600e-06,-3.483200e+02
-8.766000e-06,-5.291200e+02
-1.164300e-05,-7.027800e+02
-7.876400e-07,-4.754200e+01
-7.179300e-06,-4.333500e+02
4.017400e-06,2.424900e+02
-2.051300e-06,-1.238200e+02
-5.320400e-05,-3.211400e+03
-3.903900e-06,-2.356400e+02
1.944300e-06,1.173600e+02
-7.945300e-06,-4.795800e+02
1.511300e-05,9.122300e+02
-7.891600e-06,-4.763400e+02
-7.149800e-06,-4.315700e+02
-1.171800e-05,-7.073100e+02
-5.143700e-06,-3.104800e+02
8.063700e-06,4.867300e+02
-8.442900e-06,-5.096200e+02
2.148900e-06,1.297100e+02
-7.446900e-06,-4.495000e+02
2.411900e-06,1.455800e+02
3.228100e-06,1.948500e+02
-1.068100e-05,-6.447100e+02
1.041100e-06,6.284100e+01
-1.017300e-05,-6.140500e+02
1.569600e-05,9.474200e+02
8.860800e-06,5.348400e+02
-3.315600e-07,-2.001300e+01
1.165600e-05,7.035600e+02
-1.185700e-05,-7.157000e+02
-8.822700e-06,-5.325400e+02
-6.854200e-06,-4.137200e+02
-8.764100e-06,-5.290100e+02
2.075900e-05,1253
1.030200e-05,6.218300e+02
2.291300e-06,1.383000e+02
1.735500e-05,1.047600e+03
1.770900e-05,1.068900e+03
7.526100e-06,4.542800e+02
1.664200e-05,1.004500e+03
1.073700e-06,6.480900e+01
1.430300e-05,8.633400e+02
1.679100e-05,1.013500e+03
1.487200e-05,8.976800e+02
3.054300e-05,1.843600e+03
3.212200e-05,1.938900e+03
2.623200e-05,1.583400e+03
3.046000e-05,1.838600e+03
3.807400e-05,2.298200e+03
3.545300e-05,2140
3.024400e-05,1.825500e+03
4.274200e-05,2.579900e+03
4.534100e-05,2.736800e+03
5.271000e-05,3.181600e+03
4.908900e-05,2963
5.083100e-05,3.068200e+03
5.841600e-05,3526
4.372200e-05,2.639100e+03
7.049800e-05,4.255300e+03
5.620800e-05,3.392700e+03
5.150800e-05,3.109100e+03
4.045800e-05,2.442100e+03
3.047200e-05,1.839300e+03
4.412100e-05,2.663200e+03
5.880600e-05,3.549600e+03
6.215000e-05,3.751400e+03
3.362100e-05,2.029400e+03
5.128400e-05,3.095500e+03
6.671800e-05,4.027100e+03
5.869100e-05,3.542600e+03
6.714200e-05,4.052700e+03
4.620600e-05,2789
5.323500e-05,3.213300e+03
6.964800e-05,4204
6.399700e-05,3.862900e+03
9.838600e-05,5.938600e+03
8.185200e-05,4.940600e+03
5.044700e-05,3045
5.610800e-05,3.386700e+03
6.345800e-05,3.830400e+03
6.344700e-05,3.829700e+03
6.632600e-05,4.003500e+03
6.403900e-05,3.865400e+03
7.125800e-05,4.301200e+03
8.127800e-05,4906
6.224000e-05,3.756800e+03
7.279100e-05,4.393700e+03
7.766300e-05,4.687800e+03
6.563900e-05,3962
6.464300e-05,3.901900e+03
7.852200e-05,4.739600e+03
6.754900e-05,4.077300e+03
7.042800e-05,4.251100e+03
6.706200e-05,4.047900e+03
6.917800e-05,4.175600e+03
8.187300e-05,4.941900e+03
6.750100e-05,4.074400e+03
7.618900e-05,4.598800e+03
6.837200e-05,4127
7.009400e-05,4.230900e+03
7.098200e-05,4.284500e+03
7.188100e-05,4.338800e+03
5.769100e-05,3.482300e+03
6.527900e-05,3.940300e+03
7.445900e-05,4.494400e+03
6.959500e-05,4.200800e+03
8.427700e-05,5087
8.588800e-05,5.184200e+03
9.971000e-05,6.018600e+03
8.989900e-05,5.426400e+03
8.218600e-05,4.960800e+03
5.816000e-05,3.510600e+03
8.151400e-05,4.920200e+03
9.662200e-05,5.832200e+03
9.181800e-05,5.542200e+03
7.486600e-05,4519
6.062100e-05,3.659100e+03
7.359500e-05,4.442200e+03
9.239400e-05,5577
1.261700e-04,7.615700e+03
8.806200e-05,5.315500e+03
8.636900e-05,5.213300e+03
8.713800e-05,5.259700e+03
9.440400e-05,5.698300e+03
9.150800e-05,5.523500e+03
9.644800e-05,5.821700e+03
9.644900e-05,5.821700e+03
8.944800e-05,5.399100e+03
1.181800e-04,7.133400e+03
1.015400e-04,6129
8.761000e-05,5.288200e+03
1.058900e-04,6.391600e+03
9.935900e-05,5.997400e+03
1.010000e-04,6.096400e+03
9.607500e-05,5.799100e+03
1.061000e-04,6.404300e+03
9.854700e-05,5.948400e+03
1.000100e-04,6.036700e+03
1.242800e-04,7.501600e+03
9.690500e-05,5.849200e+03
1.057300e-04,6.381900e+03
1.051200e-04,6.345100e+03
9.855200e-05,5.948700e+03
9.731100e-05,5.873700e+03
1.082600e-04,6.534600e+03
1.010000e-04,6.096400e+03
1.130100e-04,6.821300e+03
1.195400e-04,7.215500e+03
1.151000e-04,6.947500e+03
1.162700e-04,7.018100e+03
1.066600e-04,6.438100e+03
1.129200e-04,6.815900e+03
1.274000e-04,7.689900e+03
1.222100e-04,7.376700e+03
1.194400e-04,7.209500e+03
1.212000e-04,7.315700e+03
1.060600e-04,6.401800e+03
1.296800e-04,7.827600e+03
1.093000e-04,6.597400e+03
1.100800e-04,6.644500e+03
1.125800e-04,6.795400e+03
1.086400e-04,6.557600e+03
1.295100e-04,7.817300e+03
1.027200e-04,6.200200e+03
1.344200e-04,8.113700e+03
1.165400e-04,7.034400e+03
1.206200e-04,7.280700e+03
1.180500e-04,7.125600e+03
1.310100e-04,7.907800e+03
1.255200e-04,7.576500e+03
1.133700e-04,6.843100e+03
1.006900e-04,6.077700e+03
1.255700e-04,7.579500e+03
1.298200e-04,7836
1.215600e-04,7.337400e+03
1.058700e-04,6.390400e+03
1.290400e-04,7.788900e+03
1.213700e-04,7326
1.283100e-04,7.744900e+03
1.292100e-04,7.799200e+03
1.156400e-04,6.980100e+03
9.837600e-05,5938
1.423000e-04,8.589300e+03
1.159200e-04,6997
1.173400e-04,7.082700e+03
1.247200e-04,7.528200e+03
1.071100e-04,6.465200e+03
1.390800e-04,8.394900e+03
1.346200e-04,8.125700e+03
1.163700e-04,7.024200e+03
1.262000e-04,7.617500e+03
1.243300e-04,7.504600e+03
1.204400e-04,7.269800e+03
1.282100e-04,7.738800e+03
1.080400e-04,6.521400e+03
1.221600e-04,7.373600e+03
1.252200e-04,7.558300e+03
1.480600e-04,8937
1.121600e-04,6770
1.369200e-04,8.264600e+03
1.265400e-04,7638
1.272400e-04,7.680300e+03
1.296900e-04,7.828200e+03
1.299400e-04,7.843300e+03
1.307900e-04,7.894600e+03
1.446300e-04,8.729900e+03
1.233300e-04,7.444300e+03
1.155300e-04,6.973500e+03
1.374700e-04,8.297800e+03
1.332900e-04,8.045500e+03
1.357300e-04,8.192700e+03
1.738400e-04,10493
1.265900e-04,7641
1.427400e-04,8.615900e+03
1.345500e-04,8.121500e+03
1.248200e-04,7.534200e+03
1.352500e-04,8.163800e+03
1.269500e-04,7.662800e+03
1.394400e-04,8.416700e+03
1.377000e-04,8.311600e+03
1.440700e-04,8.696100e+03
1.382200e-04,8343
1.635200e-04,9.870200e+03
1.402000e-04,8.462600e+03
1.446500e-04,8.731200e+03
1.477200e-04,8.916500e+03
1.429400e-04,8.627900e+03
1.328500e-04,8.018900e+03
1.167600e-04,7.047700e+03
1.321600e-04,7.977300e+03
1.441100e-04,8.698600e+03
1.567900e-04,9.463900e+03
1.433800e-04,8.654500e+03
1.523100e-04,9.193500e+03
1.505800e-04,9.089100e+03
1.418800e-04,8564
1.459000e-04,8.806600e+03
1.412800e-04,8.527700e+03
1.549900e-04,9.355300e+03
1.277300e-04,7.709900e+03
1.526300e-04,9.212800e+03
1.573600e-04,9.498300e+03
1.477000e-04,8.915300e+03
1.268400e-04,7.656100e+03
1.609200e-04,9.713200e+03
1.639900e-04,9.898500e+03
1.548200e-04,9345
1.446700e-04,8.732400e+03
1.631500e-04,9.847800e+03
1.743800e-04,10526
1.618700e-04,9.770600e+03
1.504400e-04,9.080600e+03
1.548700e-04,9348
1.554800e-04,9.384900e+03
1.717400e-04,10366
1.698700e-04,10253
1.583500e-04,9.558100e+03
1.548100e-04,9.344400e+03
1.728200e-04,10432
1.823300e-04,11006
1.591800e-04,9.608200e+03
1.780900e-04,10750
1.619400e-04,9.774800e+03
1.542300e-04,9.309400e+03
1.537400e-04,9.279800e+03
1.659400e-04,10016
1.604500e-04,9.684900e+03
1.511900e-04,9.125900e+03
1.411500e-04,8.519900e+03
1.614900e-04,9.747600e+03
1.576500e-04,9.515800e+03
1.715500e-04,10355
1.694200e-04,10226
1.725400e-04,10415
1.639800e-04,9.897900e+03
1.725600e-04,10416
1.666200e-04,10057
1.646300e-04,9.937200e+03
1.655700e-04,9.993900e+03
1.599200e-04,9.652900e+03
1.558600e-04,9.407800e+03
1.506100e-04,9.090900e+03
1.704100e-04,10286
1.657900e-04,10007
1.596500e-04,9.636600e+03
1.601000e-04,9.663700e+03
1.613700e-04,9.740400e+03
1.582100e-04,9.549600e+03
1.634600e-04,9.866500e+03
1.539300e-04,9.291300e+03
1.609900e-04,9.717400e+03
1.837100e-04,11089
1.611800e-04,9.728900e+03
2.128400e-04,12847
1.649400e-04,9.955900e+03
1.602000e-04,9.669800e+03
1.632500e-04,9.853900e+03
1.614200e-04,9.743400e+03
1.702300e-04,10275
1.733500e-04,10464
1.641000e-04,9.905200e+03
1.605400e-04,9.690300e+03
1.560900e-04,9.421700e+03
1.996900e-04,12053
1.566000e-04,9.452500e+03
1.639200e-04,9.894300e+03
1.783700e-04,10767
1.698800e-04,10254
1.614100e-04,9.742800e+03
1.788400e-04,10795
1.791300e-04,10812
1.597300e-04,9.641400e+03
1.681600e-04,10150
1.667100e-04,10063
1.671400e-04,10089
1.748900e-04,10556
1.662500e-04,10035
1.675300e-04,10112
1.744000e-04,10527
1.620800e-04,9.783200e+03
1.354900e-04,8.178300e+03
1.805200e-04,10896
1.689500e-04,10198
1.666500e-04,10059
1.543800e-04,9.318500e+03
1.691000e-04,10207
1.637700e-04,9.885200e+03
1.627900e-04,9.826100e+03
1.750700e-04,10567
1.529000e-04,9.229100e+03
1.740300e-04,10505
1.615500e-04,9.751200e+03
1.681400e-04,10149
1.622700e-04,9.794700e+03
1.581000e-04,9543
1.546900e-04,9.337200e+03
1.581900e-04,9.548400e+03
1.631900e-04,9.850200e+03
1.621700e-04,9.788700e+03
1.700400e-04,10264
1.629300e-04,9.834500e+03
1.676100e-04,10117
1.615900e-04,9.753700e+03
1.600400e-04,9.660100e+03
1.652300e-04,9.973400e+03
1.635200e-04,9.870200e+03
1.689300e-04,10197
1.484100e-04,8.958100e+03
1.400400e-04,8.452900e+03
1.802700e-04,10881
1.677900e-04,10128
1.718300e-04,10372
1.625600e-04,9.812200e+03
1.591400e-04,9.605800e+03
1.667000e-04,10062
1.608900e-04,9.711400e+03
1.915600e-04,11563
2.354900e-04,14214
2.917800e-04,17612
3.145000e-04,18983
3.927700e-04,23708
4.352200e-04,26270
4.861300e-04,29343
5.069000e-04,30597
5.719600e-04,34524
5.983500e-04,36117
6.614000e-04,39922
6.969100e-04,42066
7.361800e-04,44436
7.805900e-04,47117
8.479500e-04,51183
8.942200e-04,53976
9.495900e-04,57318
1.013100e-03,61151
1.060200e-03,63994
1.133000e-03,68389
1.158800e-03,71222
1.206600e-03,73646
1.280400e-03,76074
1.312400e-03,78944
1.356600e-03,81815
1.432300e-03,84364
1.454100e-03,87224
1.513500e-03,89539
1.595200e-03,92745
1.632600e-03,95349
1.665800e-03,97830
1.736300e-03,101190
1.764500e-03,103290
1.811200e-03,106060
1.885500e-03,108940
1.935500e-03,111900
1.996900e-03,114690
2.052000e-03,117000
2.079600e-03,120050
2.159500e-03,122350
2.182400e-03,125810
2.247000e-03,1.284200e+05
2.274600e-03,1.306700e+05
2.341000e-03,133400
2.396300e-03,136120
2.479600e-03,139280
2.501600e-03,142040
2.566500e-03,144660
2.606300e-03,147520
2.658500e-03,150210
2.700100e-03,152940
2.782600e-03,155460
2.826400e-03,158190
2.880600e-03,161050
2.923400e-03,163400
2.952300e-03,166810
3.034600e-03,169090
3.080100e-03,171750
3.130600e-03,174470
3.200700e-03,177280
3.274700e-03,180110
3.323300e-03,183120
3.352400e-03,185280
3.413400e-03,188160
3.438900e-03,190760
3.516300e-03,193380
3.559600e-03,196300
3.599000e-03,198770
3.671200e-03,201710
3.717300e-03,204380
3.759700e-03,207290
3.835900e-03,210220
3.874300e-03,212460
3.942500e-03,215540
4.005400e-03,217940
4.038300e-03,220820
4.103400e-03,223330
4.156400e-03,226140
4.209400e-03,228780
4.268000e-03,231490
4.323400e-03,234520
4.385100e-03,237610
4.420000e-03,240230
4.497100e-03,242340
4.557000e-03,245320
