Chord Rotation [rads],Moment [kN-mm]
1.415000e-05,25943
1.132000e-05,25796
7.070000e-06,2.557380e+04
3.420000e-06,2.535160e+04
1.150000e-06,2.516340e+04
2.200000e-07,25017
7.000000e-07,24921
1.520000e-06,2.487370e+04
1.390000e-06,2.485230e+04
7.500000e-07,2.484310e+04
5.100000e-07,2.484620e+04
4.800000e-07,2.485530e+04
1.300000e-07,2.486130e+04
-8.000000e-07,24867
-2.130000e-06,2.487850e+04
-3.440000e-06,2.488660e+04
-4.530000e-06,2.488910e+04
-5.100000e-06,24900
-5.070000e-06,24918
-4.140000e-06,2.493440e+04
-2.340000e-06,2.494260e+04
-6.900000e-07,2.493610e+04
2.400000e-07,2.492530e+04
4.900000e-07,2.492350e+04
-1.300000e-07,2.492420e+04
-1.630000e-06,2.492150e+04
-2.820000e-06,2.491960e+04
-2.590000e-06,2.491620e+04
-1.830000e-06,2.490570e+04
-1.670000e-06,2.489550e+04
-2.190000e-06,2.489180e+04
-3.050000e-06,2.488980e+04
-3.850000e-06,2.488680e+04
-4.270000e-06,2.488820e+04
-4.410000e-06,2.489390e+04
-4.250000e-06,2.489410e+04
-3.400000e-06,2.489140e+04
-1.800000e-06,2.488770e+04
-5.500000e-07,2.487740e+04
-3.000000e-07,2.486780e+04
-2.500000e-07,2.486220e+04
2.900000e-07,2.485730e+04
1.580000e-06,2.485820e+04
3.270000e-06,2.486650e+04
4.750000e-06,2.487490e+04
5.360000e-06,2.487990e+04
4.770000e-06,2.488210e+04
3.510000e-06,2.488250e+04
1.440000e-06,24884
-1.300000e-06,2.488580e+04
-2.660000e-06,2.488290e+04
-2.120000e-06,2.488040e+04
-1.150000e-06,2.488540e+04
-1.000000e-07,2.489570e+04
9.800000e-07,2.490270e+04
1.320000e-06,2.490210e+04
9.000000e-07,2.490230e+04
6.300000e-07,2.490740e+04
8.400000e-07,2.491410e+04
9.700000e-07,2.491830e+04
2.400000e-07,24916
-1.100000e-06,2.490830e+04
-1.620000e-06,2.490160e+04
-7.200000e-07,2.489870e+04
3.000000e-07,2.489610e+04
4.400000e-07,2.489180e+04
4.100000e-07,2.488730e+04
2.200000e-07,2.488570e+04
-6.200000e-07,2.489020e+04
-1.360000e-06,2.489730e+04
-1.370000e-06,2.490230e+04
-1.310000e-06,2.490770e+04
-1.850000e-06,2.491220e+04
-1.920000e-06,2.491330e+04
-1.040000e-06,2.491250e+04
-1.180000e-06,2.490620e+04
-2.990000e-06,2.489110e+04
-4.890000e-06,2.487180e+04
-5.570000e-06,2.486070e+04
-5.080000e-06,2.486480e+04
-4.240000e-06,2.487130e+04
-3.150000e-06,2.487340e+04
-2.470000e-06,2.487510e+04
-2.930000e-06,2.487380e+04
-4.010000e-06,2.487130e+04
-5.190000e-06,24871
-6.340000e-06,2.487410e+04
-6.700000e-06,2.488310e+04
-5.480000e-06,2.489360e+04
-3.630000e-06,2.489630e+04
-2.180000e-06,2.488760e+04
-1.260000e-06,2.487220e+04
-8.800000e-07,2.485820e+04
-5.500000e-07,2.484970e+04
-5.000000e-07,2.484550e+04
-1.120000e-06,2.484180e+04
-6.300000e-07,2.483430e+04
1.180000e-06,2.482180e+04
2.080000e-06,2.480850e+04
1.950000e-06,2.480160e+04
1.020000e-06,2.480150e+04
-5.400000e-07,2.480480e+04
-1.280000e-06,2.480710e+04
-1.180000e-06,2.480610e+04
-1.240000e-06,2.480130e+04
-1.030000e-06,2.479310e+04
1.200000e-07,2.478220e+04
1.130000e-06,2.476470e+04
1.230000e-06,2.473740e+04
9.800000e-07,2.470510e+04
4.000000e-07,2.467770e+04
-3.400000e-07,2.465270e+04
-9.600000e-07,2.462390e+04
-1.250000e-06,2.459570e+04
-1.230000e-06,2.457010e+04
-1.500000e-06,2.454780e+04
-2.220000e-06,2.452870e+04
-2.260000e-06,2.450970e+04
-1.270000e-06,2.449170e+04
-5.700000e-07,24477
-4.100000e-07,2.446650e+04
1.500000e-07,2.445990e+04
1.450000e-06,2.445180e+04
2.690000e-06,2.443980e+04
2.940000e-06,2.442520e+04
2.280000e-06,2.440730e+04
1.330000e-06,2.438830e+04
8.100000e-07,2.436950e+04
6.000000e-07,2.434950e+04
2.900000e-07,2.432750e+04
-1.800000e-07,2.430580e+04
-5.400000e-07,2.428780e+04
-8.400000e-07,2.427690e+04
-1.600000e-06,2.427130e+04
-1.750000e-06,2.426720e+04
-1.080000e-06,2.426680e+04
-2.700000e-07,2.426620e+04
1.050000e-06,24261
2.090000e-06,2.425660e+04
2.210000e-06,2.425110e+04
2.460000e-06,2.423680e+04
3.210000e-06,2.421590e+04
3.570000e-06,2.419480e+04
3.200000e-06,2.417470e+04
2.730000e-06,2.415610e+04
2.210000e-06,2.414380e+04
8.200000e-07,2.413650e+04
-1.160000e-06,2.412620e+04
-2.130000e-06,2.411380e+04
-1.590000e-06,2.410710e+04
-3.300000e-07,2.410660e+04
7.300000e-07,2.411170e+04
5.400000e-07,2.412110e+04
-5.600000e-07,2.412650e+04
-1.410000e-06,2.412450e+04
-1.550000e-06,2.412570e+04
-1.400000e-06,2.413760e+04
-1.560000e-06,24153
-2.070000e-06,2.416560e+04
-2.530000e-06,2.417210e+04
-2.280000e-06,2.417450e+04
-1.400000e-06,2.418380e+04
-1.180000e-06,2.419950e+04
-2.170000e-06,2.421130e+04
-3.230000e-06,24219
-3.200000e-06,2.422820e+04
-2.410000e-06,2.423890e+04
-1.890000e-06,2.425080e+04
-1.990000e-06,2.426140e+04
-2.920000e-06,2.426270e+04
-4.040000e-06,2.425890e+04
-4.110000e-06,2.426240e+04
-3.880000e-06,2.427360e+04
-4.280000e-06,2.428680e+04
-4.520000e-06,2.429660e+04
-4.570000e-06,2.429830e+04
-4.740000e-06,2.429120e+04
-4.640000e-06,2.427380e+04
-4.760000e-06,2.425180e+04
-4.730000e-06,2.424250e+04
-3.380000e-06,2.425510e+04
-1.420000e-06,24277
1.300000e-07,2.428860e+04
1.040000e-06,2.428370e+04
1.090000e-06,2.427320e+04
3.100000e-07,2.427070e+04
-6.800000e-07,24275
-1.350000e-06,2.427990e+04
-1.750000e-06,2.429130e+04
-1.250000e-06,2.430870e+04
-5.000000e-08,2.432170e+04
-1.000000e-08,2.433030e+04
-5.700000e-07,2.433760e+04
-2.400000e-07,2.434530e+04
2.400000e-07,2.436110e+04
3.300000e-07,2.439220e+04
5.400000e-07,2.443510e+04
4.000000e-07,2.448870e+04
-2.000000e-07,2.455730e+04
-3.100000e-07,2.463610e+04
-1.800000e-07,2.472340e+04
1.100000e-07,24819
1.010000e-06,2.490540e+04
2.300000e-06,2.497050e+04
3.220000e-06,2.502080e+04
3.540000e-06,2.505760e+04
3.590000e-06,2.507430e+04
3.760000e-06,2.506880e+04
4.440000e-06,2.504590e+04
5.250000e-06,2.501550e+04
5.470000e-06,2.498860e+04
4.960000e-06,2.497020e+04
4.230000e-06,2.495470e+04
3.240000e-06,2.493860e+04
1.860000e-06,24927
4.600000e-07,2.491970e+04
-4.500000e-07,2.491120e+04
-2.900000e-07,2.490140e+04
6.100000e-07,2.489240e+04
1.990000e-06,2.488310e+04
3.700000e-06,2.487050e+04
4.880000e-06,2.485820e+04
4.760000e-06,2.485050e+04
3.540000e-06,2.484630e+04
2.370000e-06,2.484470e+04
1.510000e-06,24847
8.000000e-07,2.485550e+04
-1.400000e-07,2.486590e+04
-1.630000e-06,2.487090e+04
-3.200000e-06,24870
-4.410000e-06,2.487060e+04
-3.890000e-06,2.487660e+04
-1.430000e-06,2.487990e+04
2.700000e-07,2.487420e+04
2.900000e-07,2.486490e+04
7.000000e-08,2.485740e+04
-4.100000e-07,2.485230e+04
-1.810000e-06,2.484910e+04
-3.550000e-06,2.484510e+04
-4.980000e-06,2.484140e+04
-5.560000e-06,24843
-4.840000e-06,2.484960e+04
-3.490000e-06,24853
-2.640000e-06,24845
-2.440000e-06,2.483240e+04
-2.430000e-06,2.482410e+04
-2.810000e-06,2.482160e+04
-3.340000e-06,24827
-2.850000e-06,2.483570e+04
-1.640000e-06,2.484240e+04
-1.140000e-06,24847
-1.900000e-06,2.484980e+04
-3.640000e-06,2.485110e+04
