Chord Rotation [rads],Moment [kN-mm]
1.829100e-04,2.945520e+04
1.550000e-04,2.872010e+04
1.121600e-04,2.762210e+04
6.830000e-05,2.651680e+04
3.211000e-05,2.558510e+04
6.330000e-06,2.489650e+04
-9.960000e-06,2.445130e+04
-1.848000e-05,2.421180e+04
-2.151000e-05,2.412230e+04
-2.132000e-05,2.412470e+04
-1.957000e-05,2.417850e+04
-1.767000e-05,2.425230e+04
-1.605000e-05,24317
-1.395000e-05,2.436190e+04
-1.128000e-05,2.439160e+04
-8.620000e-06,2.441550e+04
-6.320000e-06,2.443490e+04
-5.140000e-06,2.445090e+04
-4.650000e-06,24474
-4.190000e-06,24504
-4.660000e-06,2.453250e+04
-5.600000e-06,2.456030e+04
-6.080000e-06,2.459210e+04
-6.710000e-06,2.462550e+04
-8.320000e-06,2.465860e+04
-1.095000e-05,2.469290e+04
-1.321000e-05,2.472440e+04
-1.437000e-05,2.474950e+04
-1.514000e-05,2.476940e+04
-1.580000e-05,2.479020e+04
-1.622000e-05,2.481260e+04
-1.599000e-05,2.483220e+04
-1.563000e-05,24847
-1.657000e-05,2.485460e+04
-1.785000e-05,2.485950e+04
-1.740000e-05,2.486930e+04
-1.543000e-05,2.487760e+04
-1.376000e-05,2.487920e+04
-1.333000e-05,2.487920e+04
-1.340000e-05,2.488080e+04
-1.309000e-05,2.488290e+04
-1.305000e-05,2.488480e+04
-1.327000e-05,2.489090e+04
-1.288000e-05,2.490750e+04
-1.215000e-05,2.492910e+04
-1.181000e-05,2.494280e+04
-1.213000e-05,2.494330e+04
-1.247000e-05,2.493460e+04
-1.159000e-05,2.492720e+04
-9.270000e-06,2.492640e+04
-7.740000e-06,2.492670e+04
-8.750000e-06,2.492760e+04
-1.044000e-05,2.492640e+04
-1.079000e-05,2.491760e+04
-1.045000e-05,2.490180e+04
-9.820000e-06,2.488020e+04
-8.260000e-06,2.485480e+04
-6.550000e-06,2.482480e+04
-6.050000e-06,2.479050e+04
-6.910000e-06,2.475950e+04
-8.980000e-06,2.473990e+04
-1.111000e-05,2.472950e+04
-1.135000e-05,2.473030e+04
-1.012000e-05,2.474840e+04
-9.210000e-06,2.477930e+04
-9.090000e-06,2.482740e+04
-9.470000e-06,2.489930e+04
-1.038000e-05,2.498540e+04
-1.213000e-05,2.506920e+04
-1.495000e-05,2.513340e+04
-1.748000e-05,2.517230e+04
-1.856000e-05,2.518960e+04
-1.897000e-05,2.518820e+04
-1.886000e-05,2.517760e+04
-1.797000e-05,2.516620e+04
-1.712000e-05,2.515850e+04
-1.730000e-05,2.516080e+04
-1.817000e-05,2.517020e+04
-1.849000e-05,2.517730e+04
-1.727000e-05,2.518180e+04
-1.547000e-05,2.519120e+04
-1.443000e-05,2.520850e+04
-1.424000e-05,2.522940e+04
-1.429000e-05,2.525090e+04
-1.345000e-05,2.527140e+04
-1.281000e-05,2.528570e+04
-1.345000e-05,2.529450e+04
-1.365000e-05,2.530350e+04
-1.275000e-05,2.531360e+04
-1.215000e-05,2.532020e+04
-1.244000e-05,2.532170e+04
-1.294000e-05,2.532480e+04
-1.283000e-05,2.533730e+04
-1.176000e-05,2.535730e+04
-1.084000e-05,2.537790e+04
-1.091000e-05,25400
-1.163000e-05,2.543050e+04
-1.291000e-05,2.546950e+04
-1.456000e-05,2.550880e+04
-1.569000e-05,2.554870e+04
-1.568000e-05,2.559390e+04
-1.529000e-05,2.563880e+04
-1.571000e-05,2.568080e+04
-1.646000e-05,2.572140e+04
-1.634000e-05,25757
-1.535000e-05,2.578870e+04
-1.413000e-05,2.581990e+04
-1.308000e-05,2.584590e+04
-1.211000e-05,2.586470e+04
-1.099000e-05,25886
-1.017000e-05,2.591640e+04
-1.038000e-05,2.595570e+04
-1.220000e-05,2.599770e+04
-1.487000e-05,2.603170e+04
-1.645000e-05,2.605370e+04
-1.710000e-05,2.606590e+04
-1.811000e-05,2.607110e+04
-1.933000e-05,2.607170e+04
-1.963000e-05,2.606760e+04
-1.884000e-05,2.605740e+04
-1.845000e-05,2.604330e+04
-1.875000e-05,2.602950e+04
-1.833000e-05,2.601580e+04
-1.690000e-05,2.599980e+04
-1.586000e-05,2.598520e+04
-1.577000e-05,2.597610e+04
-1.571000e-05,2.596890e+04
-1.466000e-05,2.596160e+04
-1.321000e-05,2.595330e+04
-1.274000e-05,2.593890e+04
