Chord Rotation [rads],Moment [kN-mm]
4.855450e-05,-3.754056e+04
4.756177e-05,-3.681608e+04
4.733048e-05,-3.607858e+04
4.778858e-05,-3.559375e+04
4.695413e-05,-3.540193e+04
4.749733e-05,-3.536362e+04
4.917389e-05,-3.539791e+04
4.838460e-05,-3.538226e+04
4.800123e-05,-3.542988e+04
4.797984e-05,-3.543839e+04
4.772767e-05,-3.544049e+04
4.805869e-05,-3.541655e+04
4.833601e-05,-3.532107e+04
4.755162e-05,-3.526783e+04
4.754293e-05,-3.520858e+04
4.911875e-05,-3.529039e+04
4.758922e-05,-3.534084e+04
4.814608e-05,-3.530432e+04
4.832746e-05,-3.524580e+04
4.743807e-05,-3.520937e+04
4.745534e-05,-3.527395e+04
4.911456e-05,-3.526425e+04
4.757794e-05,-3.524382e+04
4.795450e-05,-3.519840e+04
4.718120e-05,-3.516697e+04
4.869742e-05,-3.514032e+04
4.738907e-05,-3.511812e+04
4.853411e-05,-3.509261e+04
4.870907e-05,-3.511974e+04
4.845777e-05,-3.508580e+04
4.660032e-05,-3.507750e+04
4.811666e-05,-3.499992e+04
4.740104e-05,-3.499302e+04
4.838358e-05,-3.500447e+04
4.725175e-05,-3.500782e+04
4.737247e-05,-3.497291e+04
4.794736e-05,-3.495274e+04
4.665444e-05,-3.495897e+04
4.878452e-05,-3.501998e+04
4.616011e-05,-3.497054e+04
4.759358e-05,-3.493993e+04
4.741669e-05,-3.499166e+04
4.703610e-05,-3.509212e+04
4.752122e-05,-3.509267e+04
4.836841e-05,-3.498656e+04
4.828174e-05,-3.498424e+04
4.713379e-05,-3.506279e+04
4.720660e-05,-3.511367e+04
4.787177e-05,-3.508733e+04
4.640060e-05,-3.510297e+04
4.793908e-05,-3.514078e+04
4.763265e-05,-3.511297e+04
4.675315e-05,-3.507129e+04
4.788282e-05,-3.504894e+04
4.720338e-05,-3.505343e+04
4.664494e-05,-3.506466e+04
4.688316e-05,-3.502600e+04
4.798895e-05,-3.505916e+04
4.769544e-05,-3.504056e+04
4.745738e-05,-3.502959e+04
4.790949e-05,-3.503223e+04
4.826512e-05,-3.512424e+04
4.738761e-05,-3.519028e+04
4.795265e-05,-3.522401e+04
4.798621e-05,-3.519916e+04
4.863916e-05,-3.523288e+04
4.794977e-05,-3.523896e+04
4.833062e-05,-3.524708e+04
4.652772e-05,-3.523910e+04
4.887976e-05,-3.519700e+04
4.801694e-05,-3.513600e+04
4.685807e-05,-3.508877e+04
4.792995e-05,-3.511691e+04
4.909066e-05,-3.512710e+04
4.816458e-05,-3.515914e+04
4.877124e-05,-3.516288e+04
4.747924e-05,-3.521512e+04
4.745748e-05,-3.521943e+04
4.788136e-05,-3.528225e+04
4.650508e-05,-3.526166e+04
4.787585e-05,-3.531381e+04
4.709733e-05,-3.530232e+04
4.799599e-05,-3.536911e+04
4.783242e-05,-3.536810e+04
4.839603e-05,-3.535529e+04
4.889204e-05,-3.539086e+04
4.837442e-05,-3.541816e+04
4.817065e-05,-3.550033e+04
4.762161e-05,-3.548898e+04
4.668925e-05,-3.555782e+04
4.707452e-05,-3.560271e+04
4.796213e-05,-3.568949e+04
4.798503e-05,-3.568424e+04
4.695953e-05,-3.572134e+04
4.837227e-05,-3.575034e+04
4.692469e-05,-3.580317e+04
4.768074e-05,-3.580359e+04
4.796068e-05,-3.579577e+04
4.810294e-05,-3.580377e+04
4.634422e-05,-3.581873e+04
4.795363e-05,-3.587807e+04
4.805357e-05,-3.591823e+04
4.744050e-05,-3.592687e+04
4.696490e-05,-3.593669e+04
4.839332e-05,-3.596194e+04
4.794290e-05,-3.602748e+04
4.793266e-05,-3.602177e+04
4.709667e-05,-3.601186e+04
4.856296e-05,-3.599327e+04
4.727910e-05,-3.605089e+04
4.872365e-05,-3.610187e+04
4.836114e-05,-3.613910e+04
4.814810e-05,-3.612366e+04
4.759934e-05,-3.611574e+04
4.687938e-05,-3.614517e+04
4.764388e-05,-3.613228e+04
4.718090e-05,-3.617402e+04
4.769437e-05,-3.616978e+04
4.728254e-05,-3.627235e+04
4.719994e-05,-3.632826e+04
4.749102e-05,-3.637547e+04
4.720820e-05,-3.635052e+04
4.782519e-05,-3.637104e+04
4.812865e-05,-3.638440e+04
4.714550e-05,-3.643968e+04
4.807371e-05,-3.646209e+04
4.774543e-05,-3.643737e+04
4.714665e-05,-3.641342e+04
4.726124e-05,-3.639110e+04
4.658597e-05,-3.648225e+04
4.927451e-05,-3.651987e+04
4.780131e-05,-3.654736e+04
4.846683e-05,-3.652910e+04
4.846383e-05,-3.655892e+04
4.868719e-05,-3.656849e+04
4.805683e-05,-3.661940e+04
4.813624e-05,-3.664386e+04
4.813344e-05,-3.667538e+04
4.730212e-05,-3.666532e+04
4.798428e-05,-3.669930e+04
4.794153e-05,-3.675354e+04
4.831936e-05,-3.682279e+04
4.762653e-05,-3.682477e+04
4.718129e-05,-3.686257e+04
4.753506e-05,-3.692569e+04
4.768274e-05,-3.699030e+04
4.727059e-05,-3.703693e+04
4.810363e-05,-3.700837e+04
4.669879e-05,-3.705321e+04
4.794078e-05,-3.708306e+04
4.785195e-05,-3.717533e+04
4.812411e-05,-3.720317e+04
4.786053e-05,-3.722851e+04
4.712418e-05,-3.718098e+04
4.759202e-05,-3.718777e+04
4.809750e-05,-3.718557e+04
4.822077e-05,-3.725430e+04
5.009521e-05,-3.732126e+04
4.758413e-05,-3.732780e+04
4.768558e-05,-3.734646e+04
4.790597e-05,-3.733702e+04
4.863377e-05,-3.740875e+04
4.711729e-05,-3.740938e+04
4.774652e-05,-3.741630e+04
4.711572e-05,-3.742778e+04
4.753232e-05,-3.748630e+04
4.856547e-05,-3.752882e+04
4.822251e-05,-3.756892e+04
4.697966e-05,-3.759922e+04
4.774301e-05,-3.765237e+04
4.756997e-05,-3.763477e+04
4.840317e-05,-3.762698e+04
4.752133e-05,-3.764721e+04
4.689267e-05,-3.768062e+04
4.814091e-05,-3.769277e+04
4.775497e-05,-3.770144e+04
4.695520e-05,-3.771711e+04
4.800992e-05,-3.772416e+04
4.751638e-05,-3.773567e+04
4.783344e-05,-3.776170e+04
4.799029e-05,-3.774821e+04
4.777326e-05,-3.774601e+04
4.719263e-05,-3.775358e+04
4.889944e-05,-3.779766e+04
4.750155e-05,-3.776854e+04
4.805640e-05,-3.777710e+04
4.651843e-05,-3.782203e+04
4.795774e-05,-3.783532e+04
4.803714e-05,-3.779612e+04
4.772596e-05,-3.775588e+04
4.791027e-05,-3.778118e+04
4.744675e-05,-3.784051e+04
4.782121e-05,-3.784968e+04
4.775055e-05,-3.786672e+04
4.777248e-05,-3.786181e+04
4.685520e-05,-3.788192e+04
4.685111e-05,-3.785822e+04
4.688312e-05,-3.783786e+04
4.810404e-05,-3.781336e+04
4.694052e-05,-3.781124e+04
4.799434e-05,-3.781009e+04
4.740260e-05,-3.787370e+04
4.763831e-05,-3.791658e+04
4.751654e-05,-3.787778e+04
4.674385e-05,-3.781485e+04
4.710300e-05,-3.783591e+04
4.736143e-05,-3.790778e+04
4.840622e-05,-3.794145e+04
4.768502e-05,-3.787531e+04
4.741135e-05,-3.782721e+04
4.750905e-05,-3.781058e+04
4.880961e-05,-3.780112e+04
4.698872e-05,-3.775071e+04
4.756345e-05,-3.680948e+04
4.725471e-05,-3.598690e+04
4.740002e-05,-3.510441e+04
4.723748e-05,-3.487279e+04
4.868400e-05,-3.420484e+04
4.755031e-05,-3.357925e+04
4.740176e-05,-3.320025e+04
4.816901e-05,-3.327099e+04
4.718267e-05,-3.350777e+04
4.881527e-05,-3.378491e+04
4.754860e-05,-3.391841e+04
4.670365e-05,-3.389742e+04
4.786797e-05,-3.381266e+04
4.837872e-05,-3.376504e+04
4.828238e-05,-3.380441e+04
4.828938e-05,-3.386260e+04
4.772374e-05,-3.392814e+04
4.806104e-05,-3.396752e+04
4.724664e-05,-3.397097e+04
4.745723e-05,-3.400463e+04
4.811008e-05,-3.402075e+04
4.699971e-05,-3.400864e+04
4.735141e-05,-3.396965e+04
4.857942e-05,-3.392178e+04
4.845085e-05,-3.391824e+04
4.746287e-05,-3.391214e+04
4.739850e-05,-3.394979e+04
4.814834e-05,-3.398429e+04
4.826391e-05,-3.397393e+04
4.837069e-05,-3.394056e+04
4.723747e-05,-3.394053e+04
4.872712e-05,-3.395618e+04
4.778414e-05,-3.395526e+04
4.776917e-05,-3.394597e+04
4.786128e-05,-3.395615e+04
4.819442e-05,-3.397300e+04
4.792817e-05,-3.397603e+04
4.815842e-05,-3.400938e+04
4.751407e-05,-3.401084e+04
4.713195e-05,-3.402372e+04
4.647446e-05,-3.398570e+04
4.784587e-05,-3.398156e+04
4.934691e-05,-3.398456e+04
4.732637e-05,-3.395027e+04
4.713510e-05,-3.398610e+04
4.684933e-05,-3.399360e+04
4.813810e-05,-3.401767e+04
4.750864e-05,-3.397768e+04
4.767352e-05,-3.393533e+04
4.792034e-05,-3.397451e+04
4.735382e-05,-3.397129e+04
4.923600e-05,-3.397238e+04
4.779432e-05,-3.400071e+04
4.704789e-05,-3.400458e+04
4.774032e-05,-3.406496e+04
4.788826e-05,-3.396288e+04
4.799875e-05,-3.398546e+04
4.917728e-05,-3.396554e+04
4.818749e-05,-3.405391e+04
4.800475e-05,-3.406804e+04
4.807554e-05,-3.405839e+04
4.815976e-05,-3.402075e+04
4.828678e-05,-3.406604e+04
4.816123e-05,-3.410229e+04
4.787528e-05,-3.407037e+04
4.684574e-05,-3.401748e+04
4.705691e-05,-3.397990e+04
4.713127e-05,-3.400810e+04
4.781445e-05,-3.392234e+04
4.787827e-05,-3.393560e+04
4.755775e-05,-3.393452e+04
4.837767e-05,-3.404707e+04
4.787489e-05,-3.399693e+04
4.731076e-05,-3.400852e+04
4.767059e-05,-3.390070e+04
4.779346e-05,-3.388676e+04
4.748674e-05,-3.385612e+04
4.750064e-05,-3.390407e+04
4.763580e-05,-3.395503e+04
4.655819e-05,-3.395096e+04
4.791176e-05,-3.394833e+04
4.788218e-05,-3.394669e+04
4.777961e-05,-3.394253e+04
4.792950e-05,-3.388281e+04
4.632499e-05,-3.382491e+04
4.847550e-05,-3.379521e+04
4.821280e-05,-3.385252e+04
4.753491e-05,-3.386256e+04
4.801920e-05,-3.387191e+04
4.699464e-05,-3.383636e+04
4.872916e-05,-3.383525e+04
4.864135e-05,-3.383755e+04
4.711556e-05,-3.384253e+04
4.817231e-05,-3.383370e+04
4.770670e-05,-3.379441e+04
4.740153e-05,-3.372396e+04
4.764686e-05,-3.369939e+04
4.730135e-05,-3.369533e+04
4.854710e-05,-3.362943e+04
4.854279e-05,-3.360254e+04
4.821338e-05,-3.356087e+04
4.716079e-05,-3.361999e+04
4.753995e-05,-3.351258e+04
4.752475e-05,-3.352564e+04
4.750893e-05,-3.355000e+04
4.811195e-05,-3.358929e+04
4.872806e-05,-3.348297e+04
4.818978e-05,-3.344929e+04
4.774565e-05,-3.351733e+04
4.866464e-05,-3.357337e+04
4.706905e-05,-3.355632e+04
4.751457e-05,-3.357845e+04
4.681193e-05,-3.362574e+04
4.773411e-05,-3.365509e+04
4.777254e-05,-3.356780e+04
4.791610e-05,-3.352548e+04
4.762177e-05,-3.344895e+04
4.877066e-05,-3.346095e+04
4.722189e-05,-3.349817e+04
4.737160e-05,-3.354650e+04
4.867922e-05,-3.353214e+04
4.795819e-05,-3.351920e+04
4.922600e-05,-3.349452e+04
4.813505e-05,-3.351229e+04
4.748183e-05,-3.350519e+04
4.741007e-05,-3.352106e+04
4.798897e-05,-3.351494e+04
4.763369e-05,-3.347922e+04
4.743850e-05,-3.346955e+04
4.751103e-05,-3.344666e+04
4.828372e-05,-3.345088e+04
4.824779e-05,-3.344117e+04
4.880964e-05,-3.344192e+04
4.824966e-05,-3.343371e+04
4.804324e-05,-3.342500e+04
4.749856e-05,-3.345611e+04
4.804645e-05,-3.346152e+04
4.788590e-05,-3.343596e+04
4.787115e-05,-3.336013e+04
4.799502e-05,-3.336174e+04
4.761220e-05,-3.342569e+04
4.759835e-05,-3.344337e+04
4.804307e-05,-3.344020e+04
4.791097e-05,-3.336273e+04
4.691170e-05,-3.332496e+04
4.709524e-05,-3.330861e+04
4.836550e-05,-3.329154e+04
4.741886e-05,-3.332372e+04
4.758087e-05,-3.332769e+04
4.856394e-05,-3.335544e+04
4.811590e-05,-3.335025e+04
4.864382e-05,-3.337895e+04
4.674204e-05,-3.342953e+04
4.712949e-05,-3.347630e+04
4.760189e-05,-3.344360e+04
4.712457e-05,-3.336918e+04
4.660885e-05,-3.328701e+04
4.774269e-05,-3.326889e+04
4.723722e-05,-3.326085e+04
4.685991e-05,-3.319756e+04
4.744706e-05,-3.316433e+04
4.830694e-05,-3.312838e+04
4.698342e-05,-3.318219e+04
4.862625e-05,-3.311340e+04
4.738186e-05,-3.312959e+04
4.710434e-05,-3.307660e+04
4.800032e-05,-3.307498e+04
4.860595e-05,-3.299055e+04
4.795803e-05,-3.298247e+04
4.743810e-05,-3.293616e+04
4.737934e-05,-3.293043e+04
4.730185e-05,-3.287032e+04
4.718618e-05,-3.288660e+04
4.880020e-05,-3.286660e+04
4.676791e-05,-3.282707e+04
4.805318e-05,-3.274910e+04
4.742267e-05,-3.272207e+04
4.832582e-05,-3.273386e+04
4.655598e-05,-3.272049e+04
4.812576e-05,-3.266285e+04
4.815520e-05,-3.259768e+04
4.814658e-05,-3.258388e+04
4.836030e-05,-3.259145e+04
4.898943e-05,-3.254408e+04
4.796454e-05,-3.253692e+04
4.869516e-05,-3.255303e+04
4.750726e-05,-3.256067e+04
4.805710e-05,-3.258287e+04
4.830950e-05,-3.252175e+04
4.758737e-05,-3.255290e+04
4.669851e-05,-3.248299e+04
4.823429e-05,-3.246346e+04
4.841412e-05,-3.241892e+04
4.714279e-05,-3.238635e+04
4.793857e-05,-3.237887e+04
4.654681e-05,-3.237590e+04
4.850628e-05,-3.241029e+04
4.784816e-05,-3.239300e+04
4.724926e-05,-3.235866e+04
4.799709e-05,-3.237812e+04
4.854558e-05,-3.237127e+04
4.876661e-05,-3.240095e+04
4.850612e-05,-3.233757e+04
4.649835e-05,-3.236621e+04
4.773080e-05,-3.234336e+04
4.749219e-05,-3.236746e+04
4.720527e-05,-3.234240e+04
4.708235e-05,-3.235179e+04
4.749621e-05,-3.227261e+04
4.769326e-05,-3.226407e+04
4.712371e-05,-3.226223e+04
4.734658e-05,-3.233533e+04
4.740689e-05,-3.230388e+04
4.773841e-05,-3.229769e+04
4.758980e-05,-3.227707e+04
4.751443e-05,-3.228807e+04
4.768110e-05,-3.227684e+04
4.883694e-05,-3.222933e+04
4.741650e-05,-3.220024e+04
4.693543e-05,-3.218656e+04
4.775406e-05,-3.218532e+04
4.645309e-05,-3.215457e+04
4.828858e-05,-3.211657e+04
4.719540e-05,-3.208933e+04
4.724897e-05,-3.210145e+04
4.779209e-05,-3.208445e+04
4.722329e-05,-3.209298e+04
4.857299e-05,-3.209957e+04
4.785176e-05,-3.210791e+04
4.812268e-05,-3.211820e+04
4.759782e-05,-3.209618e+04
4.813225e-05,-3.207044e+04
4.738177e-05,-3.198666e+04
4.717647e-05,-3.192614e+04
4.784764e-05,-3.190632e+04
4.720867e-05,-3.192695e+04
4.766807e-05,-3.192708e+04
4.829080e-05,-3.188422e+04
4.905102e-05,-3.183075e+04
4.692093e-05,-3.182987e+04
4.667354e-05,-3.182938e+04
4.714952e-05,-3.186573e+04
4.769076e-05,-3.180139e+04
4.737808e-05,-3.180051e+04
4.877872e-05,-3.173573e+04
4.749306e-05,-3.173042e+04
4.869506e-05,-3.172431e+04
4.857119e-05,-3.167341e+04
4.781262e-05,-3.164821e+04
4.755845e-05,-3.155505e+04
4.874106e-05,-3.156142e+04
4.746565e-05,-3.153024e+04
4.713272e-05,-3.148237e+04
4.701515e-05,-3.145276e+04
