Chord Rotation [rads],Moment [kN-mm]
0,-3.405573e+02
1.362667e-03,7.730650e+04
-1.198919e-03,-7.594427e+04
1.419820e-03,7.730650e+04
1.814109e-03,7.832817e+04
-1.141766e-03,-7.594427e+04
1.311297e-03,7.628483e+04
2.588369e-03,1.232817e+05
4.294435e-03,1.651703e+05
5.048308e-03,1.733437e+05
4.376787e-03,1.304334e+05
6.184197e-04,-7.390093e+04
-5.732657e-04,-1.157895e+05
-4.861424e-03,-1.760681e+05
-2.249845e-03,-1.362229e+03
-9.715009e-05,1.130650e+05
1.459904e-03,1.610836e+05
2.378766e-03,1.804954e+05
4.893513e-03,1.804954e+05
5.168399e-03,1.723220e+05
3.033057e-03,5.482972e+04
1.541003e-03,-2.486068e+04
-5.212088e-04,-1.249845e+05
-1.570355e-03,-1.617647e+05
-2.380694e-03,-1.801548e+05
-3.694533e-03,-1.903715e+05
-4.529385e-03,-1.842415e+05
-5.113174e-03,-1.719814e+05
-2.682560e-03,-2.588235e+04
-5.645697e-04,9.467492e+04
1.288444e-03,1.610836e+05
1.402063e-03,1.713003e+05
1.744296e-03,1.815170e+05
3.852497e-03,1.927554e+05
7.733140e-03,1.937771e+05
1.016250e-02,1.886687e+05
1.039180e-02,1.784520e+05
6.485111e-03,-2.996904e+04
5.095108e-03,-9.739938e+04
3.128475e-03,-1.740248e+05
2.364408e-03,-2.005882e+05
-1.727496e-03,-2.046749e+05
-5.270315e-03,-2.148916e+05
-9.327514e-03,-2.251084e+05
-9.599367e-03,-1.770898e+05
-3.377339e-03,1.069350e+05
-2.581342e-04,2.121672e+05
2.056232e-03,2.172755e+05
5.313972e-03,2.172755e+05
7.828719e-03,2.172755e+05
9.966529e-03,2.131889e+05
1.037817e-02,2.111455e+05
7.719631e-03,5.482972e+04
6.067685e-03,-2.690402e+04
4.529358e-03,-9.842105e+04
3.651672e-03,-1.352012e+05
2.659680e-03,-1.719814e+05
1.358784e-03,-2.046749e+05
7.964968e-05,-2.210217e+05
-1.977183e-03,-2.312384e+05
-6.126240e-03,-2.353251e+05
-8.492663e-03,-2.312384e+05
-9.584361e-03,-2.302167e+05
-9.757884e-03,-1.995666e+05
-9.719458e-03,-1.760681e+05
-8.393080e-03,-9.739938e+04
-4.553047e-03,8.241486e+04
-1.793427e-03,1.804954e+05
-1.257286e-03,1.968421e+05
1.412515e-04,2.223839e+05
2.530123e-03,2.244272e+05
5.804528e-03,2.315789e+05
1.045130e-02,2.285139e+05
1.279459e-02,2.285139e+05
1.507562e-02,2.193189e+05
1.555668e-02,2.050155e+05
1.560364e-02,1.866254e+05
1.551894e-02,1.713003e+05
1.115296e-02,-6.470588e+03
6.877459e-03,-1.699381e+05
5.182961e-03,-2.138700e+05
4.195378e-03,-2.312384e+05
3.950245e-04,-2.363467e+05
-1.256859e-02,-2.179567e+05
-1.523882e-02,-2.005882e+05
-1.512010e-02,-1.811765e+05
-1.182131e-02,-2.690402e+04
-7.836675e-03,1.273684e+05
-5.463497e-03,1.927554e+05
-4.527282e-03,2.091022e+05
-2.836506e-03,2.234056e+05
-1.373656e-03,2.274923e+05
6.331164e-03,2.193189e+05
1.239011e-02,2.091022e+05
1.424215e-02,2.050155e+05
1.538590e-02,1.947988e+05
1.566079e-02,1.866254e+05
1.559276e-02,1.784520e+05
1.468105e-02,1.375851e+05
1.274334e-02,5.585139e+04
1.140980e-02,-1.362229e+03
9.504732e-03,-5.857585e+04
8.318831e-03,-1.014861e+05
7.400656e-03,-1.311146e+05
6.773345e-03,-1.515480e+05
5.500682e-03,-1.791331e+05
4.272917e-03,-1.944582e+05
3.215924e-03,-1.995666e+05
-5.476480e-03,-2.087616e+05
-7.876920e-03,-2.087616e+05
-9.557503e-03,-2.046749e+05
-1.203823e-02,-2.005882e+05
-1.403860e-02,-2.005882e+05
-1.525686e-02,-1.873065e+05
-1.562939e-02,-1.719814e+05
-1.464965e-02,-1.229412e+05
-1.355561e-02,-7.390093e+04
-1.108685e-02,1.498452e+04
-9.359024e-03,7.321981e+04
-8.543588e-03,1.008050e+05
-7.339647e-03,1.304334e+05
-6.637830e-03,1.478019e+05
-5.724752e-03,1.682353e+05
-4.240140e-03,1.886687e+05
-2.863364e-03,1.978638e+05
1.423137e-03,1.978638e+05
1.026524e-02,1.907121e+05
1.187132e-02,1.896904e+05
1.387168e-02,1.896904e+05
1.739274e-02,1.835604e+05
2.044500e-02,1.794737e+05
2.127986e-02,1.733437e+05
2.110330e-02,1.641486e+05
2.065392e-02,1.324768e+05
1.845289e-02,5.687307e+04
1.646890e-02,-1.668731e+04
1.288669e-02,-1.208978e+05
1.012432e-02,-1.781115e+05
8.353940e-03,-1.985449e+05
6.770999e-03,-2.016099e+05
-1.740555e-02,-1.913932e+05
-1.952091e-02,-1.811765e+05
-2.058438e-02,-1.750464e+05
-2.055105e-02,-1.607430e+05
-1.884126e-02,-8.922601e+04
-1.637250e-02,-3.405573e+02
-1.393708e-02,7.424149e+04
-1.049024e-02,1.518885e+05
-9.313844e-03,1.661920e+05
-7.382886e-03,1.784520e+05
-5.273997e-03,1.794737e+05
4.297688e-04,1.815170e+05
5.287802e-03,1.815170e+05
1.399825e-02,1.774303e+05
1.850248e-02,1.692570e+05
2.064029e-02,1.651703e+05
2.122917e-02,1.621053e+05
1.888629e-02,7.117647e+04
1.742688e-02,1.600619e+04
1.534525e-02,-5.040248e+04
1.301188e-02,-1.127245e+05
1.065977e-02,-1.515480e+05
9.106439e-03,-1.699381e+05
7.284004e-03,-1.811765e+05
4.487396e-04,-1.852632e+05
-6.895808e-03,-1.801548e+05
-1.210833e-02,-1.781115e+05
-1.780700e-02,-1.709598e+05
-1.996216e-02,-1.638080e+05
-2.085417e-02,-1.576780e+05
-2.087221e-02,-1.443963e+05
-2.078172e-02,-1.300929e+05
-1.726313e-02,-1.464396e+04
-1.515190e-02,3.643963e+04
-1.265863e-02,1.008050e+05
-1.007281e-02,1.488235e+05
-8.153425e-03,1.631269e+05
-4.633054e-03,1.672136e+05
-1.635257e-04,1.651703e+05
6.911920e-03,1.672136e+05
1.223296e-02,1.661920e+05
2.264134e-02,1.549536e+05
2.609946e-02,1.498452e+05
2.676864e-02,1.426935e+05
2.656963e-02,1.273684e+05
2.417469e-02,4.563467e+04
2.273773e-02,-3.405573e+03
1.977057e-02,-7.492260e+04
1.842409e-02,-1.096594e+05
1.649451e-02,-1.423529e+05
1.547222e-02,-1.535913e+05
1.333510e-02,-1.597214e+05
7.631332e-03,-1.617647e+05
1.527494e-03,-1.638080e+05
-1.928905e-04,-1.627864e+05
-1.266457e-02,-1.505263e+05
-1.934063e-02,-1.423529e+05
-2.599934e-02,-1.372446e+05
-2.610277e-02,-1.290712e+05
-2.130642e-02,2.315789e+04
-1.933841e-02,7.934985e+04
-1.628958e-02,1.263467e+05
-1.320468e-02,1.467802e+05
-8.547026e-03,1.518885e+05
1.518491e-04,1.498452e+05
7.587567e-03,1.488235e+05
1.653819e-02,1.426935e+05
2.454613e-02,1.314551e+05
2.694147e-02,1.222601e+05
2.703333e-02,1.161300e+05
2.674825e-02,1.059133e+05
2.517963e-02,5.993808e+04
2.330279e-02,7.832817e+03
1.870339e-02,-9.842105e+04
1.588758e-02,-1.260062e+05
1.383653e-02,-1.372446e+05
4.600830e-03,-1.413313e+05
-7.030217e-03,-1.362229e+05
-1.047677e-02,-1.331579e+05
-1.290613e-02,-1.280495e+05
-1.711303e-02,-1.219195e+05
-2.246878e-02,-1.147678e+05
-2.443513e-02,-1.106811e+05
-2.525263e-02,-1.076161e+05
-2.637324e-02,-1.014861e+05
-2.543193e-02,-7.594427e+04
-2.319620e-02,-6.470588e+03
-2.115947e-02,4.767802e+04
-1.861924e-02,9.365325e+04
-1.432323e-02,1.222601e+05
-1.151184e-02,1.304334e+05
-9.065815e-03,1.324768e+05
-1.750188e-03,1.324768e+05
1.087560e-02,1.232817e+05
1.606568e-02,1.151084e+05
2.102714e-02,1.069350e+05
2.379942e-02,1.018266e+05
2.687482e-02,9.365325e+04
2.706941e-02,8.956656e+04
2.704696e-02,8.343653e+04
2.261902e-02,-2.281734e+04
2.062071e-02,-5.346749e+04
1.906738e-02,-7.185759e+04
1.724494e-02,-8.309598e+04
1.535957e-02,-9.331269e+04
1.373105e-02,-9.842105e+04
1.099347e-02,-9.944272e+04
8.661751e-03,-1.014861e+05
6.032697e-03,-1.014861e+05
4.089484e-03,-1.014861e+05
1.500231e-03,-9.842105e+04
-1.717708e-03,-9.535604e+04
-5.633055e-03,-9.024768e+04
-6.901997e-03,-8.820433e+04
-7.103065e-03,-7.287926e+04
-6.475753e-03,-5.244582e+04
-5.522874e-03,-2.894737e+04
-4.518626e-03,-4.427245e+03
