Chord Rotation [rads],Moment [kN-mm]
0,0
7.000000e-06,1.689221e+04
2.100000e-05,3.378431e+04
0,-3.941565e+04
-7.000000e-06,-3.800733e+04
-3.000000e-06,-1.266862e+04
3.000000e-06,-2.393028e+04
3.000000e-06,-5.489977e+04
-3.000000e-06,-5.771516e+04
-3.000000e-06,-5.630684e+04
-1.400000e-05,-6.475312e+04
-1.700000e-05,-7.601478e+04
-1.700000e-05,-4.645350e+04
-3.000000e-06,4.926877e+04
1.700000e-05,7.038401e+03
1.000000e-05,5.630696e+03
3.000000e-06,-3.237645e+04
-1.000000e-05,-5.208438e+04
-1.700000e-05,-2.252321e+04
3.000000e-06,5.630718e+04
1.000000e-05,2.815410e+03
1.000000e-05,4.363811e+04
1.000000e-05,4.223047e+04
1.700000e-05,1.829985e+04
1.000000e-05,-2.815286e+03
1.000000e-05,-1.548401e+04
0,-1.970771e+04
-3.000000e-06,-2.815286e+03
7.000000e-06,-8.446105e+03
7.000000e-06,-1.829940e+04
-7.000000e-06,-3.941565e+04
-2.100000e-05,-6.193773e+04
-2.400000e-05,-5.489977e+04
-2.800000e-05,-1.829940e+04
-1.000000e-05,5.067652e+04
3.000000e-06,7.460703e+04
1.400000e-05,5.630696e+03
1.000000e-05,8.446105e+03
7.000000e-06,-5.630696e+03
-3.000000e-06,-2.674567e+04
-1.400000e-05,-5.630684e+04
-2.100000e-05,-4.926900e+04
-2.400000e-05,-3.941565e+04
-1.400000e-05,3.800733e+04
-3.000000e-06,5.912246e+04
0,4.082272e+04
0,-7.039010e+03
-5.900000e-05,-9.431429e+04
-6.300000e-05,-8.868351e+04
-5.600000e-05,-7.460759e+04
-5.600000e-05,-6.897682e+04
-6.600000e-05,-1.210604e+05
-8.300000e-05,-1.224683e+05
-4.500000e-05,2.815410e+03
-2.400000e-05,3.237656e+04
1.400000e-05,9.712990e+04
1.000000e-05,1.689221e+04
1.700000e-05,1.013529e+05
0,-2.111490e+04
1.400000e-05,1.013529e+05
4.200000e-05,6.616087e+04
3.500000e-05,1.675142e+05
