Chord Rotation [rads],Moment [kN-mm]
0,0
2.848776e-03,7.532764e+05
-3.102041e-03,-7.886004e+05
2.938776e-03,7.544185e+05
-3.102041e-03,-7.886004e+05
-3.265306e-04,-1.484701e+04
3.102041e-03,7.029735e+05
-3.102041e-03,-7.564903e+05
0,-2.140674e+04
3.102041e-03,7.029735e+05
-3.102041e-03,-7.564903e+05
1.632653e-04,-1.933491e+04
2.938776e-03,7.437151e+05
-3.591837e-03,-7.841125e+05
1.632653e-04,2.071823e+03
3.265306e-03,7.264520e+05
-3.428571e-03,-7.927441e+05
1.632653e-04,-8.631546e+03
5.061224e-03,1.134563e+06
-5.224490e-03,-1.168745e+06
0,0
5.224490e-03,1.115228e+06
-5.387755e-03,-1.160114e+06
-1.632653e-04,-1.277519e+04
5.061224e-03,1.123860e+06
-5.387755e-03,-1.160114e+06
0,-2.140674e+04
5.061224e-03,1.113157e+06
-5.224490e-03,-1.168745e+06
-3.265306e-04,-4.143645e+03
5.387755e-03,1.106597e+06
-5.061224e-03,-1.145267e+06
-1.632653e-04,-2.071823e+03
5.061224e-03,1.113157e+06
-5.224490e-03,-1.190152e+06
0,1.070337e+04
6.530612e-03,1.506421e+06
7.510204e-03,1.476038e+06
-4.408163e-03,-1.404564e+06
-7.510204e-03,-1.433225e+06
5.224490e-03,1.425626e+06
7.346939e-03,1.409746e+06
-3.755102e-03,-1.257133e+06
-7.183673e-03,-1.289937e+06
3.591837e-03,1.265764e+06
7.346939e-03,1.324119e+06
-3.428571e-03,-1.156659e+06
-7.346939e-03,-1.217086e+06
2.775510e-03,1.159075e+06
7.183673e-03,1.225717e+06
-2.938776e-03,-1.075520e+06
-7.020408e-03,-1.073798e+06
2.448980e-03,1.090711e+06
6.693878e-03,1.155282e+06
-2.612245e-03,-9.964523e+05
-6.857143e-03,-1.007506e+06
1.795918e-03,1.050313e+06
7.183673e-03,1.118684e+06
-2.122449e-03,-9.367200e+05
-6.857143e-03,-9.218793e+05
1.469388e-03,9.819496e+05
9.632653e-03,1.032024e+06
9.795918e-04,-7.903217e+05
-9.469388e-03,-8.694015e+05
-4.897959e-04,9.249776e+05
9.469388e-03,9.336217e+05
1.795918e-03,-6.408188e+05
-9.795918e-03,-7.665115e+05
-2.448980e-03,7.074551e+05
9.632653e-03,8.179565e+05
2.938776e-03,-5.192824e+05
-9.959184e-03,-6.508462e+05
-3.428571e-03,5.879905e+05
9.306122e-03,7.281859e+05
3.755102e-03,-4.447030e+05
-9.469388e-03,-5.054870e+05
-3.428571e-03,5.344736e+05
1.534694e-02,5.586659e+05
1.453061e-02,2.593158e+05
1.142857e-02,-1.439634e+05
6.530612e-03,-4.415921e+05
-1.502041e-02,-3.404548e+05
-1.453061e-02,-1.522821e+05
-1.110204e-02,1.374036e+05
-7.836735e-03,3.286873e+05
-8.163265e-04,3.963689e+05
