Chord Rotation [rads],Moment [kN-mm]
0,0
3.583815e-03,7.370630e+05
-3.815029e-03,-8.530331e+05
3.583815e-03,7.370630e+05
-3.583815e-03,-8.520541e+05
3.583815e-03,7.370630e+05
-3.815029e-03,-8.530331e+05
3.583815e-03,7.242862e+05
-3.815029e-03,-8.274795e+05
3.583815e-03,7.242862e+05
-3.583815e-03,-8.776077e+05
3.815029e-03,7.380419e+05
-4.046243e-03,-8.540121e+05
3.583815e-03,7.242862e+05
5.202312e-03,1.050559e+06
-4.508671e-03,-9.581844e+05
5.433526e-03,1.051538e+06
-4.277457e-03,-9.572054e+05
5.202312e-03,1.063336e+06
-4.508671e-03,-9.581844e+05
5.433526e-03,1.064315e+06
-4.508671e-03,-9.581844e+05
5.202312e-03,1.050559e+06
-4.508671e-03,-9.709612e+05
4.971098e-03,1.049580e+06
-4.277457e-03,-9.699822e+05
5.433526e-03,1.051538e+06
7.745665e-03,1.380747e+06
-7.514451e-03,-1.443652e+06
7.745665e-03,1.393524e+06
-7.052023e-03,-1.454471e+06
7.514451e-03,1.392545e+06
-7.283237e-03,-1.417120e+06
8.208092e-03,1.408259e+06
-7.283237e-03,-1.481004e+06
8.208092e-03,1.382705e+06
-7.052023e-03,-1.467248e+06
7.745665e-03,1.355194e+06
-7.283237e-03,-1.442673e+06
7.976879e-03,1.381726e+06
1.028902e-02,1.710936e+06
-7.514451e-03,-1.533090e+06
-9.595376e-03,-1.771883e+06
1.028902e-02,1.698159e+06
-7.283237e-03,-1.506557e+06
-9.595376e-03,-1.746329e+06
1.028902e-02,1.736490e+06
-7.283237e-03,-1.532111e+06
-9.826590e-03,-1.785639e+06
1.005780e-02,1.722734e+06
-7.052023e-03,-1.518355e+06
-9.595376e-03,-1.759106e+06
1.028902e-02,1.736490e+06
1.398844e-02,1.918251e+06
1.491329e-02,1.858283e+06
1.468208e-02,1.678429e+06
1.213873e-02,1.322687e+06
9.826590e-03,9.807007e+05
3.583815e-03,-6.787516e+04
-3.468208e-04,-6.978038e+05
-2.427746e-03,-1.051588e+06
-9.595376e-03,-1.822990e+06
-1.398844e-02,-2.135457e+06
-1.445087e-02,-1.971317e+06
-1.098266e-02,-1.458337e+06
-6.589595e-03,-7.242360e+05
-1.040462e-03,1.425278e+05
1.028902e-02,1.698159e+06
1.398844e-02,1.918251e+06
1.514451e-02,1.833709e+06
1.445087e-02,1.677450e+06
1.190751e-02,1.308931e+06
9.826590e-03,9.934774e+05
3.583815e-03,-6.787516e+04
-3.468208e-04,-6.978038e+05
-2.427746e-03,-1.038811e+06
-9.364162e-03,-1.822011e+06
-1.375723e-02,-2.121701e+06
-1.445087e-02,-1.984093e+06
-1.121387e-02,-1.484869e+06
-6.820809e-03,-7.379917e+05
-1.040462e-03,1.425278e+05
1.028902e-02,1.723713e+06
1.398844e-02,1.905475e+06
1.953757e-02,2.107845e+06
2.000000e-02,1.892597e+06
1.930636e-02,1.723562e+06
1.722543e-02,1.446439e+06
7.745665e-03,2.640704e+04
5.433526e-03,-3.666865e+05
1.734104e-03,-8.423147e+05
-3.352601e-03,-1.489915e+06
-1.121387e-02,-2.110932e+06
-1.491329e-02,-2.267141e+06
-1.907514e-02,-2.374200e+06
-1.976879e-02,-2.211038e+06
-1.815029e-02,-1.897542e+06
-5.202312e-03,-2.861596e+03
1.040462e-03,8.540623e+05
6.127168e-03,1.450555e+06
1.653179e-02,2.018458e+06
