Chord Rotation [rads],Moment [kN-mm]
1.731602e-04,4.295748e+03
5.021645e-03,1.512960e+05
1.177489e-02,3.330805e+05
1.558442e-02,4.008676e+05
2.008658e-02,4.662435e+05
2.372294e-02,4.941091e+05
2.943723e-02,5.111784e+05
4.346320e-02,5.189075e+05
5.454545e-02,5.248605e+05
6.926407e-02,5.230532e+05
6.978355e-02,4.789392e+05
6.909091e-02,4.083175e+05
6.476190e-02,2.795483e+05
5.610390e-02,7.010475e+04
4.502165e-02,-1.709786e+05
3.636364e-02,-2.913576e+05
2.961039e-02,-3.627021e+05
2.043290e-02,-4.104664e+05
-7.619048e-03,-4.704568e+05
-3.982684e-02,-5.213239e+05
-6.043290e-02,-5.284127e+05
-6.857143e-02,-5.272457e+05
-6.874459e-02,-4.656337e+05
-6.857143e-02,-4.346186e+05
-5.229437e-02,-5.397508e+04
-4.259740e-02,1.367107e+05
-3.341991e-02,2.664143e+05
-2.493506e-02,3.415279e+05
-1.575758e-02,3.857296e+05
-8.658009e-03,4.193520e+05
0,4.381975e+05
5.887446e-03,4.577813e+05
1.696970e-02,4.975788e+05
2.320346e-02,5.132850e+05
3.099567e-02,5.249021e+05
4.329004e-02,5.484563e+05
5.558442e-02,5.524163e+05
5.922078e-02,5.428747e+05
5.974026e-02,4.613535e+05
5.679654e-02,3.829820e+05
4.935065e-02,2.089525e+05
3.809524e-02,-2.217622e+04
2.891775e-02,-1.875057e+05
1.939394e-02,-3.044254e+05
3.463203e-04,-4.046679e+05
-1.090909e-02,-4.434173e+05
-2.389610e-02,-4.805919e+05
-4.000000e-02,-5.024629e+05
-5.835498e-02,-5.249585e+05
-5.922078e-02,-4.769670e+05
-4.831169e-02,-2.152413e+05
-3.757576e-02,1.903185e+04
-2.822511e-02,1.833132e+05
-1.748918e-02,3.053650e+05
-1.731602e-03,4.077090e+05
8.311688e-03,4.502327e+05
1.679654e-02,4.825953e+05
3.030303e-02,5.166255e+05
4.225108e-02,5.369321e+05
4.883117e-02,5.345105e+05
4.935065e-02,4.832713e+05
4.692641e-02,4.070992e+05
4.484848e-02,3.644567e+05
3.497835e-02,1.338494e+05
2.632035e-02,-3.818704e+04
1.575758e-02,-2.147257e+05
3.636364e-03,-3.301739e+05
-9.696970e-03,-4.097845e+05
-2.458874e-02,-4.585865e+05
-4.831169e-02,-5.073729e+05
-4.917749e-02,-4.914446e+05
-4.848485e-02,-4.457609e+05
-4.086580e-02,-2.727796e+05
-3.411255e-02,-1.159332e+05
-2.320346e-02,1.012602e+05
-1.489177e-02,2.219541e+05
-6.926407e-03,3.144624e+05
5.021645e-03,4.113645e+05
1.696970e-02,4.690781e+05
2.857143e-02,5.021687e+05
4.000000e-02,5.042442e+05
3.878788e-02,4.688300e+05
3.601732e-02,3.822852e+05
2.285714e-02,1.003406e+05
1.541126e-02,-6.656365e+04
5.714286e-03,-2.162797e+05
-1.056277e-02,-3.778245e+05
-2.961039e-02,-4.638167e+05
-3.844156e-02,-4.905205e+05
-3.896104e-02,-4.428439e+05
-3.030303e-02,-2.619010e+05
-1.783550e-02,3.136125e+04
-6.233766e-03,2.229867e+05
6.753247e-03,3.670387e+05
1.748918e-02,4.427770e+05
2.614719e-02,4.936857e+05
3.238095e-02,5.004855e+05
3.757576e-02,5.046676e+05
3.930736e-02,4.888425e+05
3.567100e-02,3.826001e+05
2.268398e-02,9.960744e+04
1.506494e-02,-6.981127e+04
6.060606e-03,-2.112508e+05
-1.038961e-02,-3.753100e+05
-2.943723e-02,-4.613023e+05
-3.809524e-02,-4.854916e+05
-3.896104e-02,-4.499690e+05
-3.030303e-02,-2.619010e+05
-1.835498e-02,2.559916e+04
-6.060606e-03,2.272824e+05
6.580087e-03,3.663055e+05
1.748918e-02,4.445583e+05
2.545455e-02,4.782840e+05
2.961039e-02,4.887548e+05
2.787879e-02,4.244218e+05
2.043290e-02,2.539550e+05
1.333333e-02,9.386095e+04
9.696970e-03,7.212823e+03
2.597403e-03,-1.350683e+05
-2.770563e-03,-2.130165e+05
-1.419913e-02,-3.415636e+05
-2.528139e-02,-4.187682e+05
-2.978355e-02,-4.449557e+05
-2.458874e-02,-3.178646e+05
-1.506494e-02,-9.584874e+04
-8.311688e-03,5.030994e+04
-2.597403e-03,1.706941e+05
5.714286e-03,2.842629e+05
1.194805e-02,3.587518e+05
1.662338e-02,4.070479e+05
2.216450e-02,4.518847e+05
2.770563e-02,4.806900e+05
2.961039e-02,4.887548e+05
2.805195e-02,4.251550e+05
2.043290e-02,2.539550e+05
1.367965e-02,9.532728e+04
1.004329e-02,6.897866e+03
2.770563e-03,-1.325539e+05
-2.597403e-03,-2.158459e+05
-1.419913e-02,-3.397823e+05
-2.528139e-02,-4.187682e+05
-2.978355e-02,-4.467370e+05
-2.476190e-02,-3.168164e+05
-1.489177e-02,-9.155300e+04
-8.311688e-03,4.674736e+04
-2.597403e-03,1.706941e+05
5.541126e-03,2.817485e+05
1.194805e-02,3.569705e+05
1.662338e-02,4.070479e+05
1.904762e-02,4.226561e+05
1.766234e-02,3.865089e+05
1.073593e-02,2.075538e+05
1.904762e-03,-2.622908e+03
-8.658009e-03,-2.058809e+05
-1.489177e-02,-3.088704e+05
-1.887446e-02,-3.506713e+05
-6.406926e-03,-6.275298e+04
3.809524e-03,1.657581e+05
9.350649e-03,2.854091e+05
1.679654e-02,3.988746e+05
1.922078e-02,4.287332e+05
1.783550e-02,3.854607e+05
1.073593e-02,2.128977e+05
2.077922e-03,-5.452322e+03
-8.831169e-03,-2.066141e+05
-1.523810e-02,-3.103368e+05
-1.922078e-02,-3.503564e+05
-6.406926e-03,-6.453427e+04
3.982684e-03,1.664912e+05
8.831169e-03,2.849909e+05
1.558442e-02,3.973051e+05
8.484848e-03,2.140542e+05
0,-2.493807e+04
-5.194805e-03,-1.181847e+05
-8.831169e-03,-1.905825e+05
-1.489177e-02,-2.803698e+05
-5.714286e-03,-6.872677e+04
1.904762e-03,9.712936e+04
6.926407e-03,2.163622e+05
1.038961e-02,2.951520e+05
1.558442e-02,3.990863e+05
1.541126e-02,3.965719e+05
8.484848e-03,2.158355e+05
-1.731602e-04,-2.032736e+04
-5.021645e-03,-1.192328e+05
-1.489177e-02,-2.785885e+05
-5.714286e-03,-6.694548e+04
1.108225e-02,3.034285e+05
-1.731602e-04,-1.676478e+04
-5.021645e-03,-1.085451e+05
-1.142857e-02,-2.087052e+05
2.770563e-03,1.097016e+05
1.073593e-02,2.930557e+05
-1.731602e-04,-2.032736e+04
-1.108225e-02,-2.072388e+05
2.943723e-03,1.086535e+05
1.108225e-02,3.069911e+05
1.731602e-04,-1.351716e+04
-1.160173e-02,-2.058757e+05
2.943723e-03,1.122161e+05
1.073593e-02,2.966183e+05
-1.731602e-04,-2.032736e+04
-1.142857e-02,-2.015800e+05
8.484848e-03,2.407736e+05
-7.965368e-03,-1.406031e+05
7.965368e-03,2.136360e+05
-8.138528e-03,-1.431176e+05
8.138528e-03,2.161505e+05
-7.445887e-03,-1.366223e+05
8.658009e-03,2.468506e+05
-7.445887e-03,-1.330597e+05
8.658009e-03,2.397255e+05
-8.311688e-03,-1.420694e+05
8.658009e-03,2.432880e+05
-7.619048e-03,-1.373555e+05
5.887446e-03,1.709935e+05
-5.194805e-03,-8.077759e+04
5.367965e-03,1.527624e+05
-4.848485e-03,-8.109255e+04
5.194805e-03,1.502479e+05
-5.021645e-03,-8.004443e+04
5.194805e-03,1.520292e+05
-5.021645e-03,-8.182572e+04
6.060606e-03,1.699454e+05
-5.021645e-03,-7.470055e+04
4.675325e-03,1.480484e+05
-5.021645e-03,-7.470055e+04
4.329004e-03,1.358943e+05
-3.809524e-03,-5.531806e+04
4.155844e-03,1.209109e+05
-3.809524e-03,-5.531806e+04
4.329004e-03,1.216440e+05
-3.290043e-03,-4.955598e+04
3.982684e-03,1.183964e+05
-3.463203e-03,-5.385173e+04
4.329004e-03,1.180814e+05
-3.636364e-03,-5.636619e+04
4.155844e-03,1.173483e+05
-3.463203e-03,-5.563302e+04
0,0
