Chord Rotation [rads],Moment [kN-mm]
0,0
2.656250e-03,7.099382e+05
-3.750000e-03,-8.068852e+05
-1.562500e-04,-2.285389e+04
2.968750e-03,6.926158e+05
-3.750000e-03,-8.068852e+05
3.300000e-03,6.914846e+05
-3.593750e-03,-8.055640e+05
0,-3.229899e+04
2.656250e-03,6.576744e+05
-3.750000e-03,-8.068852e+05
-1.562500e-04,-2.285389e+04
2.968750e-03,6.926158e+05
-3.437500e-03,-8.365418e+05
1.562500e-04,1.321230e+03
3.125000e-03,6.939370e+05
-3.593750e-03,-8.163303e+05
0,-1.076633e+04
4.062500e-03,8.956583e+05
-5.000000e-03,-1.118912e+06
-1.562500e-04,-3.362022e+04
4.062500e-03,8.848920e+05
-5.000000e-03,-1.086613e+06
-1.562500e-04,-1.321230e+03
4.531250e-03,8.996220e+05
-5.312500e-03,-1.121555e+06
-3.125000e-04,-1.340879e+04
4.062500e-03,8.956583e+05
-5.000000e-03,-1.129679e+06
-1.562500e-04,-2.285389e+04
4.218750e-03,9.077459e+05
-5.156250e-03,-1.141766e+06
0,-4.306532e+04
3.906250e-03,8.620381e+05
-5.000000e-03,-1.097380e+06
-1.562500e-04,-2.285389e+04
7.031250e-03,1.642106e+06
-7.031250e-03,-1.577508e+06
0,-3.229899e+04
7.187500e-03,1.643427e+06
-6.718750e-03,-1.574865e+06
0,-3.229899e+04
7.187500e-03,1.654193e+06
-6.562500e-03,-1.595077e+06
-1.562500e-04,-1.208756e+04
7.031250e-03,1.631339e+06
-6.875000e-03,-1.597719e+06
1.562500e-04,1.208756e+04
7.031250e-03,1.663638e+06
-7.187500e-03,-1.621894e+06
-1.562500e-04,-1.208756e+04
6.718750e-03,1.628697e+06
-7.343750e-03,-1.601683e+06
1.562500e-04,1.208756e+04
8.281250e-03,1.706507e+06
9.218750e-03,1.746734e+06
-5.312500e-03,-1.509143e+06
-7.500000e-03,-1.742966e+06
-9.843750e-03,-1.752019e+06
6.093750e-03,1.612646e+06
8.906250e-03,1.787157e+06
9.375000e-03,1.758821e+06
-5.156250e-03,-1.529354e+06
-7.343750e-03,-1.741645e+06
-1.031250e-02,-1.766749e+06
6.093750e-03,1.601879e+06
9.218750e-03,1.779033e+06
9.531250e-03,1.727843e+06
-5.312500e-03,-1.519909e+06
-7.031250e-03,-1.717470e+06
-9.687500e-03,-1.729165e+06
6.250000e-03,1.624733e+06
9.062500e-03,1.734646e+06
-5.312500e-03,-1.487610e+06
-6.875000e-03,-1.662317e+06
-1.031250e-02,-1.680618e+06
5.937500e-03,1.600558e+06
1.093750e-02,1.772034e+06
1.453125e-02,1.823954e+06
8.125000e-03,1.978999e+05
-2.343750e-03,-1.559404e+06
-4.687500e-03,-1.686885e+06
-8.281250e-03,-1.760339e+06
-1.453125e-02,-1.780889e+06
1.406250e-03,1.497645e+06
4.687500e-03,1.719184e+06
9.375000e-03,1.758821e+06
1.328125e-02,1.759553e+06
1.453125e-02,1.716291e+06
1.390625e-02,1.484913e+06
9.375000e-03,4.883943e+05
