Chord Rotation [rads],Moment [kN-mm]
0,0
-7.673700e-06,-4.783300e+02
4.732700e-06,2.950100e+02
-1.184100e-05,-7.380900e+02
1.666900e-06,1.039000e+02
3.446800e-07,2.148500e+01
-6.603000e-06,-4.115900e+02
1.278800e-05,7.971200e+02
8.181600e-06,5.099900e+02
2.198600e-08,1.370500e+00
-1.286700e-06,-8.020500e+01
2.024500e-06,1.261900e+02
-2.008100e-06,-1.251700e+02
1.345800e-05,8.388900e+02
4.704900e-06,2.932700e+02
6.838500e-06,4.262700e+02
4.933200e-07,3.075000e+01
9.101800e-06,5.673500e+02
1.603900e-06,9.997700e+01
-1.493900e-06,-9.312000e+01
-5.251800e-06,-3.273600e+02
-2.494600e-07,-1.555000e+01
4.921100e-06,3.067500e+02
2.913500e-06,1.816100e+02
4.704900e-06,2.932700e+02
1.058700e-06,6.599300e+01
-6.819200e-06,-4.250700e+02
-2.252100e-06,-1.403800e+02
-7.663700e-06,-4.777100e+02
2.547500e-06,1.588000e+02
5.431800e-06,3.385800e+02
4.284300e-07,2.670600e+01
-6.580300e-06,-4.101700e+02
-8.898700e-06,-5.546900e+02
-8.860100e-07,-5.522800e+01
-1.166200e-05,-7.269400e+02
-1.313700e-06,-8.188800e+01
1.306600e-06,8.144500e+01
1.975500e-06,1.231400e+02
2.119800e-05,1.321400e+03
-7.887100e-06,-4.916300e+02
-1.818900e-06,-1.133800e+02
2.406900e-06,1.500300e+02
6.788700e-06,4.231700e+02
-5.875700e-06,-3.662500e+02
4.992300e-06,3.111900e+02
-5.113300e-07,-3.187300e+01
1.071200e-06,6.677200e+01
-1.244600e-06,-7.758100e+01
-1.533200e-06,-9.557000e+01
-1.477900e-05,-9.212300e+02
1.975700e-06,1.231500e+02
-2.158500e-06,-1.345500e+02
-3.529500e-06,-2.200100e+02
-2.851500e-06,-1.777400e+02
-1.300500e-06,-8.106500e+01
7.646500e-06,4.766400e+02
1.143800e-05,7.129700e+02
1.304600e-05,8.132100e+02
2.137800e-06,1.332600e+02
-5.486300e-06,-3.419800e+02
4.273400e-06,2.663800e+02
3.611900e-06,2.251400e+02
1.314900e-06,8.196300e+01
-5.988900e-06,-3.733100e+02
1.465900e-05,9.137500e+02
4.784700e-07,2.982500e+01
-8.753400e-06,-5.456300e+02
1.165400e-05,7.264400e+02
-2.754900e-06,-1.717200e+02
-6.309200e-07,-3.932800e+01
2.592400e-06,1.615900e+02
-1.220000e-05,-7.604700e+02
3.206700e-06,1.998900e+02
8.205800e-06,5.115000e+02
-1.761000e-05,-1.097700e+03
7.589800e-07,4.731000e+01
4.222000e-06,2.631700e+02
-2.906300e-06,-1.811600e+02
1.419800e-05,8.850100e+02
7.893300e-06,4.920200e+02
-1.703900e-05,-1.062100e+03
-1.062200e-05,-6.621100e+02
3.403800e-06,2.121700e+02
3.168100e-06,1.974800e+02
-1.504700e-06,-9.379400e+01
1.216700e-06,7.584100e+01
7.971600e-06,4.969000e+02
-3.024200e-06,-1.885100e+02
2.788100e-06,1.737900e+02
-2.803000e-06,-1.747200e+02
-1.436500e-05,-8.954200e+02
1.411800e-06,8.800300e+01
1.737800e-05,1.083200e+03
2.240400e-06,1.396500e+02
3.168000e-06,1.974700e+02
2.510700e-06,1.565000e+02
-1.058600e-05,-6.598700e+02
-2.080100e-06,-1.296600e+02
6.524100e-06,4.066700e+02
3.432800e-07,2.139800e+01
-7.341100e-07,-4.576000e+01
4.497900e-06,2.803700e+02
-2.411700e-06,-1.503300e+02
3.099400e-06,1.932000e+02
-1.291700e-05,-8.051700e+02
9.968900e-07,6.214000e+01
-6.990100e-07,-4.357200e+01
-1.335600e-06,-8.325300e+01
7.513300e-06,4.683300e+02
1.205400e-05,7.513700e+02
-6.198000e-06,-3.863400e+02
-1.802200e-06,-1.123400e+02
3.164300e-05,1.972400e+03
5.513400e-06,3.436700e+02
1.140700e-05,7.110400e+02
1.055100e-05,6.576800e+02
4.090600e-06,2.549800e+02
5.235300e-06,3.263400e+02
7.075000e-06,4.410100e+02
1.558200e-05,9.712800e+02
9.197200e-06,5.733000e+02
1.015100e-05,6.327500e+02
6.501500e-06,4.052600e+02
1.989100e-05,1.239900e+03
6.265100e-06,3.905300e+02
1.748400e-05,1.089800e+03
8.231500e-06,5.131000e+02
2.408200e-05,1.501100e+03
1.566000e-05,9.761500e+02
1.579600e-05,9.846200e+02
3.054400e-05,1.903900e+03
1.641100e-05,1.023000e+03
2.453200e-05,1.529200e+03
2.027900e-05,1.264100e+03
1.809200e-05,1.127700e+03
1.612600e-05,1.005200e+03
1.338100e-05,8.340900e+02
2.473600e-05,1.541900e+03
2.498500e-05,1.557400e+03
7.849900e-06,4.893100e+02
2.694100e-05,1.679300e+03
2.169100e-05,1.352100e+03
3.075700e-05,1.917200e+03
1.855900e-05,1.156900e+03
1.132200e-05,7.057400e+02
2.122900e-05,1.323300e+03
2.082900e-05,1.298300e+03
3.023600e-05,1.884700e+03
2.816500e-05,1.755600e+03
3.659400e-05,2281
4.116000e-05,2.565700e+03
3.205300e-05,1998
2.247700e-05,1.401100e+03
2.827500e-05,1.762500e+03
2.840000e-05,1.770300e+03
2.539200e-05,1.582800e+03
2.485900e-05,1.549600e+03
3.094700e-05,1929
3.252900e-05,2.027700e+03
3.137100e-05,1.955500e+03
3.102500e-05,1.933900e+03
3.310800e-05,2.063700e+03
2.505200e-05,1.561600e+03
3.362000e-05,2.095700e+03
4.640400e-05,2.892500e+03
5.068400e-05,3.159300e+03
3.896300e-05,2.428700e+03
5.213500e-05,3.249800e+03
4.442600e-05,2.769200e+03
4.062900e-05,2.532600e+03
2.983300e-05,1.859600e+03
5.090400e-05,3173
3.803000e-05,2.370600e+03
2.743300e-05,1710
4.081200e-05,2544
4.499800e-05,2.804900e+03
3.740100e-05,2.331300e+03
4.531900e-05,2.824900e+03
5.113600e-05,3.187500e+03
4.856800e-05,3.027400e+03
5.004400e-05,3.119400e+03
5.086400e-05,3.170500e+03
4.498300e-05,2804
3.921100e-05,2.444200e+03
4.010600e-05,2500
4.268700e-05,2.660800e+03
4.098800e-05,2.554900e+03
3.364000e-05,2.096900e+03
4.956700e-05,3.089700e+03
3.631700e-05,2.263800e+03
3.939300e-05,2.455500e+03
3.752500e-05,2.339100e+03
4.458500e-05,2.779200e+03
7.225800e-05,4.504100e+03
4.926400e-05,3.070800e+03
4.997400e-05,3.115100e+03
4.441600e-05,2.768600e+03
4.341500e-05,2.706200e+03
3.472000e-05,2.164200e+03
3.932300e-05,2.451200e+03
4.688900e-05,2.922800e+03
3.581900e-05,2.232700e+03
4.159700e-05,2.592900e+03
3.641000e-05,2.269600e+03
4.994000e-05,3.112900e+03
2.391500e-05,1.490700e+03
5.450300e-05,3.397400e+03
4.990200e-05,3.110600e+03
4.988300e-05,3.109400e+03
4.848300e-05,3.022100e+03
4.173700e-05,2.601600e+03
3.921500e-05,2.444400e+03
3.706600e-05,2.310500e+03
4.679300e-05,2.916800e+03
4.160100e-05,2.593100e+03
3.444400e-05,2147
4.164300e-05,2.595800e+03
5.061800e-05,3.155200e+03
4.271400e-05,2.662500e+03
5.335000e-05,3.325500e+03
5.278800e-05,3.290500e+03
5.251500e-05,3.273500e+03
4.499400e-05,2.804600e+03
4.927400e-05,3.071400e+03
4.691600e-05,2.924500e+03
4.394700e-05,2.739400e+03
4.826600e-05,3.008600e+03
5.135400e-05,3.201100e+03
5.989800e-05,3.733700e+03
4.842800e-05,3.018700e+03
4.086200e-05,2.547100e+03
5.673200e-05,3.536300e+03
4.685100e-05,2.920400e+03
4.973900e-05,3.100400e+03
5.134500e-05,3.200500e+03
5.146900e-05,3.208300e+03
3.945000e-05,2.459100e+03
5.042200e-05,3143
4.869200e-05,3.035200e+03
4.326400e-05,2.696800e+03
4.682100e-05,2.918500e+03
4.653900e-05,2901
4.587700e-05,2.859700e+03
3.930800e-05,2.450200e+03
4.498400e-05,2804
5.215600e-05,3.251100e+03
3.861200e-05,2.406800e+03
3.973100e-05,2.476600e+03
4.200600e-05,2.618400e+03
5.016000e-05,3.126700e+03
3.619000e-05,2.255900e+03
3.769900e-05,2.349900e+03
3.977800e-05,2.479500e+03
3.596500e-05,2.241800e+03
5.060200e-05,3.154200e+03
4.403200e-05,2.744700e+03
4.442500e-05,2.769200e+03
4.975400e-05,3.101400e+03
5.273100e-05,3.286900e+03
5.551200e-05,3.460300e+03
4.393400e-05,2.738600e+03
5.487800e-05,3.420800e+03
5.105900e-05,3.182700e+03
4.522200e-05,2.818900e+03
5.302600e-05,3.305300e+03
3.670600e-05,2288
5.479400e-05,3.415500e+03
3.191700e-05,1.989500e+03
4.720600e-05,2.942500e+03
4.906300e-05,3.058300e+03
4.341800e-05,2.706400e+03
3.537900e-05,2.205300e+03
4.798200e-05,2.990900e+03
4.735200e-05,2.951600e+03
4.261600e-05,2.656400e+03
4.322000e-05,2.694100e+03
4.807000e-05,2.996400e+03
5.108500e-05,3.184300e+03
3.920200e-05,2.443600e+03
3.321800e-05,2.070600e+03
3.888000e-05,2.423500e+03
3.918500e-05,2.442500e+03
3.556200e-05,2.216700e+03
3.425500e-05,2.135200e+03
5.201200e-05,3.242100e+03
3.967900e-05,2.473300e+03
3.192200e-05,1.989800e+03
3.873200e-05,2.414300e+03
4.928500e-05,3.072100e+03
4.885100e-05,3.045100e+03
4.873900e-05,3.038100e+03
4.103600e-05,2.557900e+03
4.120800e-05,2.568600e+03
5.144200e-05,3.206600e+03
4.917800e-05,3.065400e+03
5.992400e-05,3.735300e+03
3.881900e-05,2.419700e+03
3.842500e-05,2.395200e+03
4.677800e-05,2.915800e+03
3.990300e-05,2.487300e+03
4.742800e-05,2.956400e+03
3.659000e-05,2.280800e+03
4.077000e-05,2.541300e+03
3.897600e-05,2.429500e+03
4.225600e-05,2634
4.787300e-05,2.984100e+03
3.208100e-05,1.999700e+03
4.515200e-05,2.814500e+03
4.665300e-05,2.908100e+03
3.169500e-05,1.975700e+03
4.286000e-05,2.671600e+03
5.293200e-05,3.299500e+03
4.157700e-05,2.591700e+03
3.983400e-05,2483
4.341400e-05,2.706200e+03
5.177800e-05,3.227500e+03
3.790800e-05,2.362900e+03
4.397900e-05,2.741400e+03
4.685800e-05,2.920800e+03
4.914400e-05,3.063300e+03
4.588600e-05,2.860200e+03
3.578800e-05,2.230800e+03
4.771700e-05,2.974400e+03
3.533700e-05,2.202700e+03
6.041700e-05,3766
4.494800e-05,2.801800e+03
2.606000e-05,1.624400e+03
4.016500e-05,2.503600e+03
4.051000e-05,2.525100e+03
2.676500e-05,1.668400e+03
3.372000e-05,2.101900e+03
5.997900e-05,3.738700e+03
5.240600e-05,3.266700e+03
3.984000e-05,2.483400e+03
4.309400e-05,2.686200e+03
4.689400e-05,2.923100e+03
