Chord Rotation [rads],Moment [kN-mm]
0,0
8.600500e-06,4.862800e+02
8.416400e-07,4.758700e+01
1.048400e-05,5.927700e+02
-7.048300e-06,-3.985100e+02
4.317200e-06,2.441000e+02
-7.948700e-06,-4.494200e+02
-2.708500e-06,-1.531400e+02
5.613500e-06,3.173900e+02
2.127600e-06,1.203000e+02
-1.323100e-07,-7.480900e+00
9.030300e-06,5.105800e+02
7.600700e-06,4.297500e+02
3.596100e-06,2.033200e+02
1.156400e-05,6.538300e+02
3.946400e-07,2.231300e+01
7.606400e-06,4.300700e+02
-5.426500e-06,-3.068200e+02
1.126200e-05,6.367600e+02
2.822800e-06,1.596000e+02
6.547400e-06,3.701900e+02
-8.512700e-06,-4.813100e+02
2.990600e-06,1.690900e+02
1.882100e-06,1.064100e+02
6.100100e-07,3.449000e+01
9.467300e-06,5.352800e+02
1.910700e-06,1.080300e+02
1.298200e-06,7.340100e+01
2.018300e-06,1.141200e+02
7.482200e-06,4.230500e+02
6.564300e-06,3.711500e+02
-6.382800e-06,-3.608900e+02
7.017200e-06,3.967500e+02
8.435600e-06,4.769500e+02
-2.819400e-07,-1.594100e+01
-3.066200e-06,-1.733600e+02
-4.996400e-06,-2.825000e+02
-9.641800e-06,-5.451500e+02
3.993200e-06,2.257800e+02
4.026400e-06,2.276500e+02
8.142900e-06,4.604000e+02
-2.146100e-06,-1.213400e+02
2.447600e-06,1.383900e+02
-6.209400e-06,-3.510800e+02
-3.139100e-06,-1.774900e+02
8.735300e-06,4.939000e+02
3.887600e-06,2.198100e+02
3.908400e-06,2.209800e+02
4.584200e-06,2.591900e+02
4.179300e-06,2.363000e+02
1.853500e-05,1048
3.006500e-06,1.699900e+02
2.990200e-07,1.690700e+01
5.762100e-06,3.257900e+02
-6.447200e-06,-3.645300e+02
5.023000e-06,284
-1.568800e-06,-8.870000e+01
-1.718900e-06,-9.718700e+01
2.211400e-07,1.250300e+01
-1.278600e-06,-7.229200e+01
-7.214700e-06,-4.079200e+02
-2.850200e-06,-1.611500e+02
