Chord Rotation [rads],Moment [kN-mm]
7.880911e-04,8.264463e+01
3.765324e-03,5.950413e+03
-3.590193e-03,-7.272727e+03
3.765324e-03,5.867769e+03
-3.765324e-03,-7.438017e+03
3.940455e-03,5.950413e+03
6.917688e-03,9.586777e+03
-3.765324e-03,-7.355372e+03
-6.917688e-03,-1.049587e+04
4.115587e-03,6.776860e+03
6.917688e-03,9.586777e+03
-3.415061e-03,-6.942149e+03
-6.567426e-03,-1.057851e+04
6.917688e-03,9.917355e+03
1.322242e-02,1.578512e+04
-7.092820e-03,-1.132231e+04
-1.042032e-02,-1.520661e+04
-1.357268e-02,-1.826446e+04
-9.719790e-03,-1.223140e+04
-7.618214e-03,-1.008264e+04
-5.341506e-03,-7.438017e+03
8.318739e-03,1.173554e+04
1.322242e-02,1.595041e+04
9.719790e-03,1.123967e+04
-6.742557e-03,-1.090909e+04
-1.024518e-02,-1.512397e+04
-1.339755e-02,-1.834711e+04
-1.427320e-02,-1.917355e+04
-9.894921e-03,-1.206612e+04
-7.793345e-03,-9.917355e+03
8.143608e-03,1.157025e+04
1.322242e-02,1.669421e+04
1.339755e-02,1.603306e+04
1.024518e-02,1.165289e+04
-7.092820e-03,-1.082645e+04
-1.024518e-02,-1.504132e+04
-1.392294e-02,-1.933884e+04
-1.462347e-02,-1.925620e+04
-9.894921e-03,-1.231405e+04
-5.516637e-03,-7.272727e+03
8.493870e-03,1.165289e+04
1.322242e-02,1.636364e+04
1.882662e-02,2.066116e+04
8.669002e-03,7.933884e+03
7.880911e-04,-1.652893e+03
-1.357268e-02,-1.958678e+04
-1.619965e-02,-2.190083e+04
-1.690018e-02,-2.190083e+04
-1.777583e-02,-2.157025e+04
-1.269702e-02,-1.528926e+04
2.539405e-03,4.380165e+03
1.392294e-02,1.694215e+04
1.654991e-02,1.917355e+04
1.847636e-02,2.074380e+04
1.935201e-02,2.099174e+04
8.844133e-03,8.181818e+03
1.313485e-03,-1.735537e+03
-6.917688e-03,-1.140496e+04
-1.024518e-02,-1.520661e+04
-1.339755e-02,-1.983471e+04
-1.690018e-02,-2.214876e+04
-1.847636e-02,-2.289256e+04
-1.987741e-02,-2.272727e+04
-1.742557e-02,-2.049587e+04
-9.544658e-03,-1.082645e+04
6.217163e-03,8.677686e+03
1.374781e-02,1.702479e+04
1.637478e-02,1.917355e+04
1.900175e-02,2.099174e+04
2.022767e-02,2.115702e+04
8.844133e-03,7.851240e+03
-6.742557e-03,-1.123967e+04
-1.637478e-02,-2.173554e+04
-1.795096e-02,-2.272727e+04
-2.092820e-02,-2.338843e+04
-1.812609e-02,-2.107438e+04
-9.894921e-03,-1.074380e+04
8.756567e-05,1.652893e+03
1.357268e-02,1.677686e+04
1.900175e-02,2.107438e+04
2.232925e-02,2.223140e+04
2.723292e-02,2.347107e+04
2.425569e-02,2.041322e+04
2.092820e-02,1.636364e+04
5.691769e-03,-3.305785e+02
-7.880911e-04,-6.694215e+03
-6.917688e-03,-1.289256e+04
-2.145359e-02,-2.363636e+04
-2.478109e-02,-2.396694e+04
-2.548161e-02,-2.355372e+04
-2.302977e-02,-2.148760e+04
-1.882662e-02,-1.570248e+04
-7.618214e-03,-3.801653e+03
8.756567e-05,3.388430e+03
3.239930e-03,6.942149e+03
8.493870e-03,1.181818e+04
2.232925e-02,2.247934e+04
2.688266e-02,2.330579e+04
2.723292e-02,2.297521e+04
2.425569e-02,2.049587e+04
2.092820e-02,1.636364e+04
1.935201e-02,1.479339e+04
4.465849e-03,-3.305785e+02
-4.290718e-03,-9.834711e+03
-1.619965e-02,-2.190083e+04
-1.952715e-02,-2.280992e+04
-2.180385e-02,-2.347107e+04
-2.548161e-02,-2.330579e+04
-1.900175e-02,-1.561983e+04
-7.793345e-03,-3.801653e+03
-4.378284e-04,3.471074e+03
3.940455e-03,7.438017e+03
2.040280e-02,2.115702e+04
2.285464e-02,2.231405e+04
2.670753e-02,2.297521e+04
2.670753e-02,2.239669e+04
5.691769e-03,-4.132231e+02
-2.626970e-04,-6.033058e+03
-1.532399e-02,-1.975207e+04
-2.005254e-02,-2.272727e+04
-2.373030e-02,-2.322314e+04
-2.460595e-02,-2.289256e+04
-1.725044e-02,-1.429752e+04
-9.369527e-03,-6.115702e+03
3.064799e-03,6.280992e+03
1.847636e-02,1.966942e+04
2.197898e-02,2.181818e+04
2.373030e-02,2.231405e+04
2.653240e-02,2.264463e+04
2.933450e-02,2.330579e+04
3.178634e-02,2.371901e+04
3.353765e-02,2.388430e+04
2.915937e-02,1.909091e+04
9.019264e-03,8.264463e+01
4.115587e-03,-5.041322e+03
-6.129597e-04,-8.016529e+03
-1.935201e-02,-2.033058e+04
-2.338004e-02,-2.289256e+04
-2.898424e-02,-2.413223e+04
-3.283713e-02,-2.462810e+04
-2.880911e-02,-2.082645e+04
-1.549912e-02,-7.272727e+03
-3.590193e-03,2.809917e+03
2.014011e-03,6.446281e+03
2.548161e-02,2.066116e+04
2.933450e-02,2.206612e+04
3.301226e-02,2.305785e+04
2.950963e-02,1.892562e+04
9.194396e-03,8.264463e+01
4.290718e-03,-4.049587e+03
1.138354e-03,-5.785124e+03
-1.707531e-02,-1.834711e+04
-2.022767e-02,-2.041322e+04
-2.302977e-02,-2.214876e+04
-2.740806e-02,-2.363636e+04
-3.196147e-02,-2.413223e+04
-3.213660e-02,-2.338843e+04
-2.320490e-02,-1.446281e+04
-1.567426e-02,-7.024793e+03
-4.290718e-03,2.892562e+03
1.663748e-03,6.859504e+03
2.408056e-02,1.925620e+04
3.143608e-02,2.165289e+04
3.301226e-02,2.214876e+04
3.003503e-02,1.917355e+04
9.369527e-03,8.264463e+01
4.115587e-03,-3.471074e+03
-1.392294e-02,-1.561983e+04
-2.285464e-02,-1.966942e+04
-2.723292e-02,-2.148760e+04
-3.108581e-02,-2.247934e+04
-2.670753e-02,-1.760331e+04
-2.057793e-02,-1.115702e+04
-1.409807e-02,-4.958678e+03
-5.516637e-03,1.983471e+03
1.777583e-02,1.578512e+04
2.565674e-02,1.950413e+04
3.458844e-02,2.272727e+04
4.001751e-02,2.314050e+04
3.949212e-02,2.173554e+04
2.425569e-02,7.603306e+03
1.444834e-02,8.264463e+01
7.092820e-03,-5.619835e+03
1.838879e-03,-8.016529e+03
-2.530648e-02,-2.033058e+04
-3.388792e-02,-2.289256e+04
-3.984238e-02,-2.380165e+04
-2.793345e-02,-1.206612e+04
-1.549912e-02,-2.066116e+03
-3.940455e-03,5.619835e+03
