column_name,description,symbol,unit,type,example_value,nullable,group
id,Unique identifier for the specimen,,-,String,Elkady_and_Lignos_C3,False,Experimental program details
experimental_program,Names of researchers who conducted the study,,-,String,Elkady & Lignos,False,Experimental program details
date,Year of the experiment,,-,SmallInteger,2018,False,Experimental program details
section_c,Cross-section designation,,-,String,W610x217,False,Section properties
specimen_designation,Laboratory identification code,,-,String,C3,False,Experimental program details
d_c,Total depth of section,,mm,DecimalFloat,630,True,Section properties
k_c,Distance from outer face of flange to web toe of fillet,,mm,DecimalFloat,50.8,True,Section properties
k1_c,Distance from center of web to flange toe of fillet,,mm,DecimalFloat,28.6,True,Section properties
h_c,Clear distance between flanges,,mm,DecimalFloat,528.4,True,Section properties
t_cw,Web thickness,,mm,DecimalFloat,17.2,True,Section properties
h_over_t_cw,Web height-to-thickness ratio,,-,DecimalFloat,30.7,True,Slenderness and section classification
b_cf,Flange width,,mm,DecimalFloat,328,True,Section properties
t_cf,Flange thickness,,mm,DecimalFloat,26.8,True,Section properties
b_f_over_t_cf,Flange width-to-thickness ratio,,-,DecimalFloat,6.1,True,Slenderness and section classification
a_cm,Measured cross-sectional area,,mm²,DecimalFloat,27495,True,Section properties
a_cn,Nominal cross-sectional area,,mm²,DecimalFloat,27700,True,Section properties
i_xb,Strong-axis moment of inertia at base,,mm⁴,DecimalFloat,1.9E+09,True,Section properties
i_xc,Strong-axis moment of inertia at critical section,,mm⁴,DecimalFloat,157862147,True,Section properties
s_xc,Strong-axis elastic section modulus,,mm³,DecimalFloat,5951531,True,Section properties
s_yc,Weak-axis elastic section modulus,,mm³,DecimalFloat,962574,True,Section properties
z_xc,Strong-axis plastic section modulus,,mm³,DecimalFloat,6730988,True,Section properties
z_yc,Weak-axis plastic section modulus,,mm³,DecimalFloat,1484256,True,Section properties
j_c,Torsional constant,,mm⁴,DecimalFloat,5232195,True,Section properties
c_wc,Warping constant,,mm⁶,DecimalFloat,1.4E+13,True,Section properties
r_yc,Weak-axis radius of gyration,,mm,DecimalFloat,76,True,Section properties
r_xc,Strong-axis radius of gyration,,mm,DecimalFloat,261,True,Section properties
l_c,Column length,,mm,DecimalFloat,3899,True,Specimen dimensions
l_sc,Shear span length,,mm,DecimalFloat,2924,True,Specimen dimensions
l_bc,Length between lateral bracing points,,mm,DecimalFloat,3899,True,Specimen dimensions
l_b_over_r_yc,Member slenderness ratio about weak axis,,-,DecimalFloat,51.5,True,Slenderness and section classification
k_xc,Strong-axis effective length factor,,-,DecimalFloat,0.7,True,Slenderness and section classification
k_yc,Weak-axis effective length factor,,-,DecimalFloat,0.5,True,Slenderness and section classification
lambda_xc,Strong-axis slenderness parameter,,-,DecimalFloat,10,True,Slenderness and section classification
lambda_yc,Weak-axis slenderness parameter,,-,DecimalFloat,26,True,Slenderness and section classification
