id,experimental_program,date,specimen_designation,northridge,specimen_type,comments,loading_protocol,slab,connection_type,t_pl,rbs_cut,s_h,d_h,section_b,d_b,d_bg,t_bw,b_bf,t_bf,r_b,a_b,i_xb,z_xb,z_xb_bfp,r_yb,b_fb_rbs,d_gb_rbs,a_b_rbs,i_xb_rbs,z_xb_rbs,d_bm,d_bgm,t_bwm,b_bfm,t_bfm,z_xbm
Chi_and_Uang_2002_DC2,Chi_and_Uang,2002,DC2,Post,Exterior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,RBS,NA,25%,NA,NA,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,NA,62.9,228.6,455.93,24877.37,3045438700,7905329,NR,NR,NR,NR,NR,NR
Ciutina_and_Dubina_2008_CP-R-M,Ciutina_and_Dubina,2008,CP-R-M,Post,Interior_Subassembly,NA,Monotonic,NO,WUF-W,NA,NA,NA,NA,IPE 360,360,180,8,170,12.7,18,7269.99,162699869,1018997,NA,37.9,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR
Ciutina_and_Dubina_2008_CP-IIPL-M,Ciutina_and_Dubina,2008,CP-IIPL-M,Post,Interior_Subassembly,NA,Monotonic,NO,WUF-W,NA,NA,NA,NA,IPE 360,360,180,8,170,12.7,18,7269.99,162699869,1018997,NA,37.9,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR
Engelhardt_et_al_2000_DBBW,Engelhardt_et_al,2000,DBBW,Post,Interior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,RBS,NA,50%,571.5,NA,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,NA,62.9,152.4,455.93,21238.67,2328145313,6289775,NR,NR,NR,NR,NR,NR
Engelhardt_et_al_2000_DBBWWPZ,Engelhardt_et_al,2000,DBBWWPZ,Post,Interior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,RBS,NA,40%,571.5,NA,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,NA,62.9,182.88,455.93,22694.15,2615062668,6935997,NR,NR,NR,NR,NR,NR
Engelhardt_et_al_2000_DBWW,Engelhardt_et_al,2000,DBWW,Post,Interior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,RBS,NA,50%,571.5,NA,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,NA,62.9,152.4,455.93,21238.67,2328145313,6289775,NR,NR,NR,NR,NR,NR
Kosarieh_and_Danesh_2016_SN1,Kosarieh_and_Danesh,2016,SN1,Post,Exterior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,WFP,25,NA,400,NA,I-400x180x8x12,400,200,8,180,12,12.95,7780.39,198028074,1120832,NA,38.73,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR
Kosarieh_and_Danesh_2016_SN2,Kosarieh_and_Danesh,2016,SN2,Post,Exterior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,WFP,25,NA,400,NA,H-400x180x8x12,400,200,8,180,12,12.95,7780.39,198028074,1120832,NA,38.73,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR
Lee_et_al_2002_CR1,Lee_et_al,2002,CR1,Post,Interior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,WUF-W,NA,NA,NA,NA,W24x94,617.22,308.61,13.08,230.38,22.23,29.97,17870.93,1123824849,4162314,NA,50.29,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR
Lee_et_al_2002_CR2,Lee_et_al,2002,CR2,Post,Interior_Subassembly,NA,Ramped_Symmetric_Cyclic_AISC,NO,WUF-W,NA,NA,NA,NA,W24x94,617.22,308.61,13.08,230.38,22.23,29.97,17870.93,1123824849,4162314,NA,50.29,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR
Del_Caprio_et_al_2014_RBS-A,Del_Caprio_et_al,2014,RBS-A,Post,Exterior_Frame,NA,Scaled_Loma_Prieta,YES,RBS,NA,52%,238.13,NA,W14x26,353.31,176.66,6.48,127,10.67,10.16,4961.28,101976699,578463,NA,27.11,60.96,176.66,3552.25,60619473,337064,NR,NR,NR,NR,NR,NR
