Chord Rotation [rads],Moment [kN-mm]
0.000000,0.000000
0.002118,423685.875877
0.004136,827128.442386
0.005955,1191051.596285
0.007490,1498067.434390
0.008668,1733507.031100
0.009431,1886121.305751
0.009743,1948618.493025
0.009590,1918012.536581
0.008979,1795765.759993
0.007939,1587718.998320
0.006519,1303812.528544
0.004788,957611.132561
0.002828,565655.984770
0.000733,146674.330438
-0.001397,-279315.284311
-0.003460,-691959.479650
-0.005358,-1071542.507238
-0.007000,-1399928.249976
-0.008307,-1661426.748484
-0.009218,-1843543.852483
-0.009688,-1937578.179446
-0.009695,-1939036.858403
-0.009239,-1847850.195058
-0.008342,-1668375.001713
-0.007046,-1409186.432908
-0.005413,-1082668.272673
-0.003522,-704421.249065
-0.001463,-292517.646181
0.000667,133362.172443
0.002764,552870.072935
0.004730,945962.365629
0.006469,1293857.473552
0.007900,1579933.298355
0.008953,1790521.408417
0.009578,1915560.103538
0.009745,1949075.153441
0.009447,1889465.240824
0.008698,1739578.470783
0.007533,1506576.291053
0.006008,1201591.324826
0.004196,839195.464569
0.002184,436703.640825
0.000067,13346.531250
-0.002053,-410648.262932
-0.004075,-815022.672529
-0.005902,-1180456.071721
-0.007447,-1489488.399233
-0.008637,-1727354.383515
-0.009413,-1882689.013406
-0.009740,-1948070.547592
-0.009602,-1920375.118374
-0.009005,-1800925.987094
-0.007977,-1595430.319972
-0.006569,-1313706.505111
-0.004846,-969215.039225
-0.002892,-578415.397874
-0.000800,-159979.617324
0.002661,532199.675264
0.006795,1358930.589378
0.010604,2120733.088609
0.013906,2781208.971959
0.016544,3168691.490822
0.018392,3178960.833539
0.019360,3183957.802391
0.019404,3183404.674229
0.018521,3006735.218239
0.016752,2653085.468251
0.014184,2139352.473952
0.010937,1490081.910637
0.007169,736295.310116
0.003057,-85992.118655
-0.001200,-937492.262105
-0.005401,-1777521.250860
-0.009343,-2565943.296438
-0.012838,-3135854.037801
-0.015721,-3152332.258226
-0.017852,-3164303.747545
-0.019130,-3171157.546636
-0.019494,-3172527.214761
-0.018927,-3059087.523814
-0.017456,-2764783.036150
-0.015150,-2303675.341098
-0.012121,-1697795.727060
-0.008512,-976092.547438
-0.004497,-173048.095761
-0.000267,672968.925598
0.003976,1521536.625637
0.008029,2332111.244347
0.011698,3065964.295114
0.014808,3135438.610543
0.017211,3149039.797995
0.018792,3157706.974220
0.019474,3160987.057039
0.019226,3111419.847895
0.018060,2878128.067384
0.016031,2472258.175549
0.013235,1913202.250934
0.009808,1227671.455463
0.005911,448419.800455
0.001733,-387320.808979
-0.002529,-1239619.479056
-0.006669,-2067754.187556
-0.010491,-2832157.443426
-0.013812,-3118041.562113
-0.016473,-3133190.765826
-0.018347,-3143617.592005
-0.019344,-3148784.884066
-0.019417,-3148406.780979
-0.018562,-2977449.471950
-0.016820,-2629116.925747
-0.014275,-2120052.141104
-0.011048,-1474577.750685
-0.007292,-723533.908759
-0.003189,97195.222123
0.001601,1055115.720292
0.007908,2316619.957062
0.013838,3107592.625107
0.019106,3138387.959297
0.023462,3163705.953662
0.026697,3182297.965722
0.028656,3193236.714055
0.029246,3195960.582923
0.028438,3034479.219233
0.026272,2601246.746852
0.022851,1916962.602475
0.018338,1014321.233614
0.012948,-63550.011103
0.006940,-1265151.465752
0.000601,-2533071.752309
-0.005768,-3048567.218643
-0.011860,-3084307.842440
-0.017386,-3116648.377793
-0.022082,-3144004.651876
-0.025722,-3165030.635136
-0.028133,-3178682.753318
-0.029201,-3184269.748443
-0.028872,-3118657.891705
-0.027165,-2777146.337198
-0.024159,-2176052.183140
-0.020000,-1344095.138195
-0.014884,-321025.321022
-0.009058,844275.962692
-0.002799,2096131.722668
0.003594,3024108.071482
0.009816,3060619.872071
0.015568,3094317.754943
0.020576,3123552.694495
0.024602,3146888.900320
0.027452,3163172.417919
0.028990,3171586.263544
0.029143,3171689.458915
0.027904,2923833.728815
0.025331,2409335.192179
0.021548,1652776.101185
0.016736,690304.131758
0.011124,-432094.718120
0.004981,-1660793.295772
-0.001401,-2937085.548335
-0.007715,-3036598.223023
-0.013661,-3071457.909429
-0.018954,-3102401.256221
-0.023342,-3127910.846917
-0.026614,-3146728.884747
-0.028615,-3157917.288992
-0.029248,-3160902.515590
-0.028484,-3008106.889387
-0.026360,-2583118.971338
-0.022975,-1906244.281150
-0.018493,-1009823.249639
-0.013127,63313.976387
-0.007134,1261893.917926
-0.000801,2528649.561986
0.007428,3023456.968294
0.015570,3071488.015064
0.022967,3115055.665768
0.029267,3152039.326654
0.034168,3180632.980760
0.037437,3199431.477691
0.038918,3207497.670374
0.038538,3131671.235567
0.036318,2687578.649178
0.032362,1896438.233852
0.026860,796049.928393
0.020075,-561010.757465
0.012331,-2109904.751054
0.003997,-2944300.590527
-0.004528,-2994632.408572
-0.012836,-3043666.273231
-0.020531,-3089020.420231
-0.027245,-3128488.898722
-0.032657,-3160146.969514
-0.036509,-3182443.067287
-0.038617,-3194272.932919
