"Chrord Rotation, θ [rads]",Moment [kN-mm],
0.00E+00,0.00E+00,
9.82E-07,-3.28E+00,
1.36E-04,2.92E+05,
5.90E-05,-1.20E+03,
2.91E-04,4.22E+05,
4.70E-04,7.03E+05,
2.81E-04,-2.27E+04,
-3.35E-04,-3.68E+05,
-7.55E-04,-6.63E+05,
-3.86E-04,4.34E+04,
3.13E-04,4.83E+05,
4.22E-04,7.19E+05,
2.17E-04,-3.29E+04,
-4.50E-04,-3.37E+05,
-7.47E-04,-6.49E+05,
-4.48E-04,1.24E+04,
-4.40E-04,1.10E+04,
1.71E-04,2.95E+05,
3.99E-04,7.15E+05,
2.05E-04,-3.08E+04,
-4.64E-04,-3.56E+05,
-7.52E-04,-6.27E+05,
-4.12E-04,2.62E+04,
3.13E-04,4.51E+05,
4.33E-04,7.06E+05,
1.78E-04,-1.10E+04,
-4.77E-04,-3.54E+05,
-7.61E-04,-6.47E+05,
-4.53E-04,8.97E+03,
2.52E-04,3.88E+05,
4.29E-04,6.99E+05,
1.91E-04,-1.40E+04,
-5.11E-04,-3.89E+05,
-7.53E-04,-6.27E+05,
-4.41E-04,1.31E+04,
2.70E-04,4.01E+05,
4.37E-04,7.09E+05,
1.73E-04,-1.09E+04,
-3.90E-04,-3.04E+05,
-7.47E-04,-6.31E+05,
-4.14E-04,2.54E+04,
-3.99E-04,2.29E+04,
2.53E-04,3.97E+05,
5.61E-04,9.67E+05,
2.75E-04,-1.67E+04,
-4.73E-04,-3.82E+05,
-9.65E-04,-8.87E+05,
-4.62E-04,1.70E+04,
3.26E-04,4.97E+05,
5.53E-04,9.62E+05,
1.96E-04,-5.15E+03,
-5.50E-04,-4.01E+05,
-9.81E-04,-8.85E+05,
-4.74E-04,1.62E+04,
3.44E-04,5.00E+05,
5.37E-04,9.63E+05,
2.18E-04,-1.79E+04,
-5.18E-04,-3.71E+05,
-9.44E-04,-8.62E+05,
-4.61E-04,1.92E+04,
3.18E-04,4.61E+05,
5.34E-04,9.58E+05,
2.11E-04,-2.48E+04,
-5.11E-04,-3.59E+05,
-9.70E-04,-8.55E+05,
-4.43E-04,2.75E+04,
2.72E-04,4.36E+05,
5.52E-04,9.77E+05,
2.58E-04,-4.09E+04,
-5.46E-04,-3.95E+05,
-9.42E-04,-8.60E+05,
-4.73E-04,5.99E+03,
3.03E-04,4.66E+05,
5.45E-04,9.64E+05,
2.44E-04,-3.70E+04,
-5.14E-04,-3.64E+05,
-9.38E-04,-8.61E+05,
-4.72E-04,2.39E+04,
-4.59E-04,2.15E+04,
6.05E-04,1.08E+06,
1.11E-03,1.40E+06,
6.11E-04,-8.97E+04,
-5.39E-04,-7.63E+05,
-1.33E-03,-1.36E+06,
-4.62E-04,5.58E+04,
5.14E-04,7.32E+05,
1.02E-03,1.44E+06,
4.62E-04,-6.02E+04,
-7.14E-04,-6.77E+05,
-1.31E-03,-1.35E+06,
-4.54E-04,3.25E+04,
5.46E-04,7.08E+05,
1.02E-03,1.43E+06,
4.66E-04,-5.60E+04,
-7.47E-04,-6.93E+05,
-1.28E-03,-1.33E+06,
-4.29E-04,3.39E+04,
5.78E-04,7.10E+05,
1.05E-03,1.45E+06,
4.75E-04,-5.96E+04,
-7.27E-04,-6.53E+05,
-1.29E-03,-1.34E+06,
-4.61E-04,2.08E+04,
5.80E-04,7.09E+05,
1.06E-03,1.44E+06,
4.40E-04,-8.17E+04,
-7.31E-04,-6.69E+05,
-1.29E-03,-1.32E+06,
-4.47E-04,1.54E+04,
5.78E-04,6.88E+05,
1.02E-03,1.43E+06,
4.69E-04,-5.31E+04,
-7.20E-04,-6.59E+05,
-1.28E-03,-1.33E+06,
-4.31E-04,2.40E+04,
-4.17E-04,2.14E+04,
6.83E-04,9.28E+05,
1.82E-03,1.67E+06,
2.55E-03,1.74E+06,
1.95E-03,-9.38E+04,
1.49E-04,-1.07E+06,
-8.69E-04,-1.54E+06,
-2.17E-03,-1.73E+06,
-1.45E-03,-1.50E+05,
1.92E-04,7.61E+05,
1.82E-03,1.64E+06,
2.37E-03,1.77E+06,
2.42E-03,1.05E+06,
1.86E-03,6.14E+04,
-2.69E-04,-9.86E+05,
-1.21E-03,-1.45E+06,
-2.20E-03,-1.74E+06,
-2.32E-03,-1.12E+06,
-1.75E-03,-3.93E+05,
-1.39E-03,-1.38E+05,
3.81E-04,8.79E+05,
1.58E-03,1.53E+06,
2.37E-03,1.78E+06,
2.40E-03,9.64E+05,
2.08E-03,3.26E+05,
1.85E-03,3.05E+04,
1.31E-04,-6.89E+05,
-7.96E-04,-1.25E+06,
-2.21E-03,-1.74E+06,
-2.30E-03,-1.09E+06,
-1.92E-03,-5.74E+05,
-1.41E-03,-1.57E+05,
5.54E-05,5.18E+05,
9.10E-04,1.22E+06,
2.37E-03,1.77E+06,
2.44E-03,1.17E+06,
2.14E-03,5.50E+05,
1.80E-03,5.97E+04,
7.64E-05,-6.71E+05,
-6.74E-04,-1.16E+06,
-2.23E-03,-1.74E+06,
-2.36E-03,-1.23E+06,
-2.03E-03,-6.77E+05,
-1.38E-03,-1.45E+05,
-1.38E-03,-1.45E+05,
3.80E-04,8.30E+05,
1.46E-03,1.47E+06,
2.24E-03,1.74E+06,
3.48E-03,1.88E+06,
5.38E-03,1.96E+06,
7.62E-03,2.03E+06,
7.86E-03,1.25E+06,
7.54E-03,6.46E+05,
7.31E-03,2.54E+05,
6.97E-03,3.14E+03,
5.15E-03,-6.35E+05,
3.72E-03,-1.11E+06,
1.95E-03,-1.47E+06,
2.55E-04,-1.69E+06,
-9.65E-04,-1.79E+06,
-1.63E-03,-1.86E+06,
-2.86E-03,-1.93E+06,
-4.15E-03,-1.99E+06,
-4.98E-03,-2.02E+06,
-6.52E-03,-2.08E+06,
-6.91E-03,-1.62E+06,
-6.69E-03,-1.11E+06,
-6.27E-03,-5.64E+05,
-5.50E-03,-7.23E+04,
-5.05E-03,1.09E+05,
-3.60E-03,5.77E+05,
-2.22E-03,1.09E+06,
-2.31E-04,1.47E+06,
1.53E-03,1.70E+06,
2.79E-03,1.82E+06,
4.17E-03,1.94E+06,
5.62E-03,2.03E+06,
6.62E-03,2.04E+06,
7.81E-03,2.10E+06,
8.02E-03,1.42E+06,
7.68E-03,8.69E+05,
7.25E-03,2.30E+05,
6.61E-03,-2.85E+04,
5.62E-03,-3.20E+05,
4.64E-03,-7.62E+05,
2.90E-03,-1.25E+06,
1.93E-03,-1.42E+06,
7.87E-04,-1.59E+06,
-1.38E-04,-1.70E+06,
-1.69E-03,-1.85E+06,
-2.90E-03,-1.94E+06,
-4.12E-03,-2.03E+06,
-5.51E-03,-2.09E+06,
-7.18E-03,-2.14E+06,
-7.49E-03,-1.78E+06,
-7.25E-03,-1.17E+06,
-6.83E-03,-6.63E+05,
-5.96E-03,-7.74E+04,
-5.42E-03,1.44E+05,
-4.05E-03,5.76E+05,
-3.97E-03,5.63E+05,
-3.96E-03,5.61E+05,
-4.45E-03,-3.93E+03,
-3.84E-03,6.68E+05,
-3.32E-03,8.84E+05,
-2.41E-03,1.13E+06,
-7.34E-04,1.45E+06,
1.08E-03,1.69E+06,
2.54E-03,1.82E+06,
3.78E-03,1.92E+06,
5.33E-03,2.02E+06,
6.78E-03,2.09E+06,
7.00E-03,2.06E+06,
7.93E-03,2.12E+06,
1.02E-02,2.12E+06,
1.17E-02,2.17E+06,
1.33E-02,2.19E+06,
1.36E-02,2.15E+06,
1.37E-02,1.51E+06,
1.32E-02,8.25E+05,
1.27E-02,2.32E+05,
1.19E-02,-5.55E+04,
1.08E-02,-3.36E+05,
8.85E-03,-1.01E+06,
6.76E-03,-1.37E+06,
4.48E-03,-1.61E+06,
1.83E-03,-1.83E+06,
-5.74E-04,-1.97E+06,
-2.85E-03,-2.07E+06,
-4.53E-03,-2.13E+06,
-6.77E-03,-2.20E+06,
-9.14E-03,-2.24E+06,
-1.10E-02,-2.28E+06,
-1.19E-02,-2.29E+06,
-1.22E-02,-1.90E+06,
-1.15E-02,-1.02E+06,
