Chord Rotation [rads],Moment [kN-mm]
1.359857e-05,-2.035655e+05
1.951725e-04,-1.296497e+05
4.855362e-04,-8.801193e+04
6.117661e-04,-4.114880e+04
8.115947e-04,3.177061e+04
1.021445e-03,1.172077e+05
1.213166e-03,2.016191e+05
1.356281e-03,2.849986e+05
1.543875e-03,3.673593e+05
1.416320e-03,2.923101e+05
1.182879e-03,2.099672e+05
1.123629e-03,1.307598e+05
8.547599e-04,5.261012e+04
7.008297e-04,-1.615026e+04
4.646976e-04,-8.073050e+04
2.544239e-04,-1.046678e+05
2.630154e-05,-1.754648e+05
-1.037599e-04,-2.046093e+05
2.438143e-04,-1.067453e+05
5.352983e-04,-8.072572e+04
7.090888e-04,-2.031629e+04
8.793740e-04,5.573309e+04
1.059111e-03,1.349224e+05
1.249028e-03,2.214212e+05
1.471124e-03,3.037670e+05
1.618801e-03,3.913340e+05
1.731794e-03,4.726671e+05
1.943645e-03,5.602691e+05
1.936356e-03,5.550573e+05
1.858761e-03,4.799849e+05
1.671579e-03,3.944802e+05
1.410768e-03,3.069074e+05
1.244652e-03,2.245604e+05
1.143912e-03,1.390988e+05
9.506453e-04,5.573567e+04
7.238867e-04,-2.344236e+04
4.920887e-04,-8.385436e+04
3.002058e-04,-1.046665e+05
3.081370e-05,-1.817088e+05
-3.038796e-05,-2.056480e+05
-1.993228e-04,-2.733145e+05
-4.748818e-04,-4.138142e+05
-6.959017e-04,-5.157712e+05
-8.608686e-04,-5.927444e+05
-1.053486e-03,-6.655436e+05
-1.283595e-03,-7.424860e+05
-1.500698e-03,-8.162992e+05
-1.663994e-03,-8.880030e+05
-1.756429e-03,-9.565831e+05
-1.999398e-03,-1.022025e+06
-2.225381e-03,-1.086448e+06
-2.197285e-03,-1.099931e+06
-2.121483e-03,-1.013664e+06
-1.819319e-03,-9.461344e+05
-1.629982e-03,-8.785779e+05
-1.599013e-03,-8.120664e+05
-1.381625e-03,-7.393032e+05
-1.160030e-03,-6.623669e+05
-9.825514e-04,-5.822960e+05
-7.812008e-04,-4.990888e+05
-5.960044e-04,-4.044154e+05
-2.310604e-04,-2.618424e+05
-3.921886e-05,-1.816956e+05
-8.609156e-06,-1.817002e+05
-2.263410e-05,-1.712856e+05
2.049632e-04,-9.633059e+04
5.525994e-04,-7.968278e+04
7.024184e-04,-1.302409e+04
8.223945e-04,6.406668e+04
1.008221e-03,1.442989e+05
1.183142e-03,2.255892e+05
1.441728e-03,3.183577e+05
1.593090e-03,3.986342e+05
1.752567e-03,4.851763e+05
1.930846e-03,5.686057e+05
1.948704e-03,5.717399e+05
1.948020e-03,5.738247e+05
1.771060e-03,4.851945e+05
1.639749e-03,4.017792e+05
1.359137e-03,3.152472e+05
1.189289e-03,2.245585e+05
1.126326e-03,1.370131e+05
7.913511e-04,5.365130e+04
6.638613e-04,-2.552530e+04
5.134113e-04,-8.281063e+04
2.697654e-04,-1.067471e+05
-4.848035e-05,-1.817064e+05
-6.291765e-05,-1.931548e+05
-5.962821e-05,-1.921135e+05
-2.509608e-04,-2.816367e+05
-5.280746e-04,-4.252492e+05
-7.544256e-04,-5.178463e+05
-9.581979e-04,-5.916934e+05
-1.198280e-03,-6.623984e+05
-1.317162e-03,-7.393481e+05
-1.625358e-03,-8.162637e+05
-1.702548e-03,-8.879797e+05
-1.898629e-03,-9.565622e+05
-2.013182e-03,-1.023048e+06
-2.279774e-03,-1.091615e+06
-2.269209e-03,-1.086415e+06
-2.350193e-03,-1.097837e+06
-2.117796e-03,-1.018847e+06
-1.857658e-03,-9.502747e+05
-1.653457e-03,-8.848045e+05
-1.535540e-03,-8.078976e+05
-1.373036e-03,-7.361784e+05
-1.216759e-03,-6.602885e+05
-9.814750e-04,-5.874921e+05
-7.922131e-04,-5.094862e+05
-5.841419e-04,-4.231435e+05
-3.002668e-04,-2.816223e+05
-1.861260e-05,-1.816948e+05
2.930570e-06,-1.816956e+05
5.065397e-06,-1.816971e+05
1.749117e-04,-1.036163e+05
5.500583e-04,-8.072229e+04
6.653034e-04,-2.135735e+04
8.972446e-04,5.573191e+04
9.671325e-04,1.359626e+05
1.223805e-03,2.193327e+05
1.417900e-03,3.016753e+05
1.585016e-03,3.829949e+05
1.729547e-03,4.716169e+05
1.931184e-03,5.550458e+05
1.928050e-03,5.686081e+05
2.006903e-03,5.654833e+05
1.767277e-03,4.737212e+05
1.596281e-03,3.861376e+05
1.469757e-03,3.037747e+05
1.312328e-03,2.110066e+05
1.010631e-03,1.213803e+05
8.084329e-04,4.218986e+04
6.669646e-04,-3.594187e+04
4.704095e-04,-8.697372e+04
1.017257e-04,-1.150754e+05
-8.853547e-05,-1.941960e+05
-2.842201e-05,-1.921135e+05
-6.625544e-05,-2.046067e+05
-2.811651e-04,-3.066114e+05
-5.490944e-04,-4.418879e+05
-8.192877e-04,-5.209578e+05
-9.378408e-04,-6.041620e+05
-1.225972e-03,-6.873570e+05
-1.307762e-03,-7.632487e+05
-1.624023e-03,-8.370442e+05
-1.647944e-03,-9.066712e+05
-1.851077e-03,-9.773255e+05
-2.137210e-03,-1.042775e+06
-2.234905e-03,-1.081190e+06
-2.287067e-03,-1.091591e+06
-1.893202e-03,-9.762425e+05
-1.769674e-03,-9.097486e+05
-1.590401e-03,-8.380408e+05
-1.502826e-03,-7.694385e+05
-1.278644e-03,-6.925062e+05
-1.100643e-03,-6.186978e+05
-9.024412e-04,-5.417283e+05
-7.087815e-04,-4.605973e+05
-4.218556e-04,-3.440620e+05
-2.562567e-05,-2.129202e+05
-1.929832e-05,-1.816940e+05
4.376027e-05,-1.816933e+05
5.387022e-05,-1.338082e+05
3.369464e-04,-8.800557e+04
5.934669e-04,-5.364622e+04
7.755473e-04,2.447711e+04
9.973602e-04,1.047021e+05
1.210561e-03,1.880663e+05
1.283504e-03,2.683213e+05
1.529341e-03,3.548415e+05
1.701439e-03,4.413750e+05
1.853851e-03,5.310564e+05
1.946496e-03,5.686081e+05
1.979294e-03,5.686081e+05
1.752512e-03,4.445276e+05
1.557207e-03,3.600732e+05
1.414248e-03,2.725042e+05
1.200012e-03,1.880773e+05
9.533362e-04,1.005390e+05
7.879950e-04,2.135322e+04
6.270514e-04,-5.469060e+04
3.771940e-04,-8.905156e+04
8.905515e-05,-1.379792e+05
-5.823037e-05,-1.931539e+05
-4.293163e-05,-1.848240e+05
-6.274841e-05,-2.170942e+05
-3.797618e-04,-3.472000e+05
-6.319001e-04,-4.626991e+05
-8.055532e-04,-5.407179e+05
-9.905975e-04,-6.166377e+05
-1.219167e-03,-6.925392e+05
-1.355230e-03,-7.694753e+05
-1.540399e-03,-8.422428e+05
-1.693916e-03,-9.149941e+05
-1.891165e-03,-9.825182e+05
-2.157468e-03,-1.048993e+06
-2.223418e-03,-1.082235e+06
-2.235096e-03,-1.073905e+06
-1.950652e-03,-9.793589e+05
-1.727722e-03,-9.097486e+05
-1.572305e-03,-8.370004e+05
-1.470187e-03,-7.600874e+05
-1.268349e-03,-6.841935e+05
-1.045395e-03,-6.041332e+05
-8.490334e-04,-5.292504e+05
-6.507754e-04,-4.481066e+05
-3.674275e-04,-3.201253e+05
-7.655004e-05,-1.983474e+05
1.938633e-05,-1.816925e+05
4.202312e-05,-1.785704e+05
1.682951e-04,-1.223556e+05
3.821910e-04,-9.009038e+04
6.317190e-04,-4.323102e+04
7.604970e-04,2.968620e+04
9.788602e-04,1.109532e+05
1.195460e-03,1.922348e+05
1.350283e-03,2.724905e+05
1.572122e-03,3.600521e+05
1.742806e-03,4.434668e+05
1.878530e-03,5.310586e+05
1.943758e-03,5.696504e+05
1.899389e-03,5.435890e+05
1.797398e-03,4.528695e+05
1.559298e-03,3.694529e+05
1.540292e-03,2.850141e+05
1.227823e-03,1.984998e+05
1.003614e-03,1.109602e+05
8.207818e-04,3.177141e+04
