Chord Rotation [rads],Moment [kN-mm]
1.989388e-04,3.124608e+05
5.103668e-04,3.494732e+05
8.100244e-04,4.265465e+05
1.259405e-03,5.127159e+05
1.683070e-03,5.936225e+05
2.185764e-03,6.775660e+05
2.478067e-03,7.328062e+05
2.447287e-03,7.282645e+05
1.594724e-03,5.739950e+05
1.143580e-03,4.953581e+05
7.133433e-04,4.129721e+05
4.257842e-04,3.313641e+05
-4.005556e-05,2.603613e+05
-8.935175e-06,2.633790e+05
-8.320213e-05,2.512985e+05
-5.146118e-04,1.765511e+05
-9.104332e-04,1.018315e+05
-1.494562e-03,2.336846e+04
-1.955987e-03,-9.817467e+03
-2.404443e-03,-7.918193e+04
-2.715989e-03,-1.213946e+05
-2.688025e-03,-1.153618e+05
-1.948464e-03,-1.584947e+04
-1.408266e-03,1.129923e+04
-8.781769e-04,9.050967e+04
-4.702688e-04,1.622012e+05
-7.371050e-05,2.376954e+05
7.652658e-05,2.648830e+05
3.810987e-04,3.162411e+05
8.109184e-04,4.008593e+05
1.117600e-03,4.817342e+05
1.353892e-03,5.664101e+05
2.046040e-03,6.579048e+05
2.398107e-03,7.237317e+05
1.477431e-03,5.505503e+05
1.002745e-03,4.681445e+05
7.421066e-04,3.842538e+05
2.670775e-04,3.086996e+05
-5.188857e-05,2.588529e+05
4.415530e-06,2.648906e+05
-2.131965e-04,2.263825e+05
-5.571943e-04,1.539056e+05
-1.020312e-03,8.070397e+04
-1.545627e-03,6.774285e+03
-1.983013e-03,-2.188255e+04
-2.536369e-03,-9.802898e+04
-2.698137e-03,-1.251642e+05
-2.604644e-03,-1.146079e+05
-2.097067e-03,-2.866806e+04
-1.426083e-03,5.265525e+03
-9.039489e-04,8.371866e+04
-4.995509e-04,1.599397e+05
-1.162371e-04,2.309027e+05
5.296817e-05,2.588454e+05
4.449730e-04,3.321053e+05
8.511044e-04,4.114402e+05
1.169998e-03,4.923175e+05
1.686592e-03,5.996767e+05
2.283539e-03,6.873998e+05
2.449403e-03,7.328121e+05
2.441309e-03,7.222236e+05
1.740189e-03,5.944090e+05
1.211503e-03,5.051934e+05
8.754464e-04,4.288446e+05
5.206509e-04,3.434557e+05
4.974968e-05,2.679172e+05
-6.578673e-05,2.573445e+05
5.243547e-05,2.679084e+05
-3.865690e-04,1.893871e+05
-7.724653e-04,1.139068e+05
-1.260876e-03,4.071833e+04
-1.842836e-03,-5.292872e+03
-2.369655e-03,-6.787508e+04
-2.648676e-03,-1.266694e+05
-2.625492e-03,-1.146074e+05
-2.728839e-03,-1.274233e+05
-1.838562e-03,-6.800823e+03
-1.326909e-03,3.317367e+04
-7.790364e-04,1.101282e+05
-3.838392e-04,1.848496e+05
3.885464e-05,2.595980e+05
1.030314e-04,2.686609e+05
1.698399e-04,2.656420e+05
5.582086e-04,3.351245e+05
8.359267e-04,4.182400e+05
1.192873e-03,5.006339e+05
1.713590e-03,5.883357e+05
2.199170e-03,6.760552e+05
2.451697e-03,7.259981e+05
2.442456e-03,7.214652e+05
1.667969e-03,5.785290e+05
1.227852e-03,4.938478e+05
7.898353e-04,4.152371e+05
5.049454e-04,3.321189e+05
2.694940e-05,2.603623e+05
1.850796e-05,2.618696e+05
-2.803240e-05,2.528079e+05
-4.753521e-04,1.742875e+05
-7.934117e-04,1.056049e+05
-1.350915e-03,2.638553e+04
-1.849136e-03,-1.132572e+04
-2.335263e-03,-8.219821e+04
-2.572403e-03,-1.161172e+05
-2.573188e-03,-1.123476e+05
-1.921353e-03,-9.817053e+03
-1.402074e-03,2.185901e+04
-7.900222e-04,1.025816e+05
-3.187128e-04,1.712621e+05
-2.130605e-05,2.482695e+05
9.784437e-05,2.663923e+05
1.503959e-04,2.648851e+05
4.235391e-04,3.283285e+05
8.391594e-04,4.106886e+05
1.149911e-03,4.961011e+05
1.621905e-03,5.747293e+05
2.104233e-03,6.662245e+05
2.520226e-03,7.222207e+05
1.651882e-03,5.641581e+05
1.151055e-03,4.832660e+05
8.061757e-04,4.023922e+05
4.850106e-04,3.222993e+05
2.520261e-05,2.603613e+05
2.523355e-05,2.603613e+05
-1.455604e-05,2.422392e+05
-4.790625e-04,1.667385e+05
-8.436611e-04,9.353103e+04
-1.398661e-03,1.205409e+04
-1.915684e-03,-1.509603e+04
-2.450792e-03,-9.048974e+04
-2.604061e-03,-1.244092e+05
-2.660222e-03,-1.274233e+05
-1.996060e-03,-2.263578e+04
-1.467829e-03,6.019695e+03
-9.669675e-04,8.070127e+04
-4.999408e-04,1.576742e+05
-9.752459e-05,2.309027e+05
8.912687e-05,2.671481e+05
1.178907e-04,2.671514e+05
2.869288e-04,3.101977e+05
7.268352e-04,3.887723e+05
1.070621e-03,4.726654e+05
1.425526e-03,5.535600e+05
2.010869e-03,6.458008e+05
2.417408e-03,7.244871e+05
2.513121e-03,7.305309e+05
2.519138e-03,7.305427e+05
2.035755e-03,6.473376e+05
1.610857e-03,5.550929e+05
1.064290e-03,4.757051e+05
7.690078e-04,3.918080e+05
3.740186e-04,3.086996e+05
2.727983e-05,2.603613e+05
4.116255e-05,2.641337e+05
-1.171303e-04,2.384638e+05
-5.139946e-04,1.554172e+05
-8.799812e-04,8.447653e+04
-1.458014e-03,6.020049e+03
-1.935173e-03,-2.489892e+04
-2.448511e-03,-1.017971e+05
-2.622174e-03,-1.206407e+05
-2.639525e-03,-1.244076e+05
-2.086838e-03,-3.017566e+04
-1.429907e-03,6.019695e+03
-9.401566e-04,8.220996e+04
-5.530763e-04,1.584287e+05
-1.316380e-04,2.263750e+05
1.335384e-04,2.656377e+05
1.249191e-04,2.573403e+05
9.112684e-05,2.580950e+05
1.723333e-04,2.777242e+05
6.402677e-04,3.562857e+05
9.482232e-04,4.386511e+05
1.322219e-03,5.240768e+05
1.855516e-03,6.102630e+05
2.276829e-03,6.987617e+05
2.677918e-03,7.782194e+05
3.069294e-03,8.546883e+05
3.157300e-03,8.683254e+05
3.216937e-03,8.675835e+05
2.770571e-03,7.767548e+05
2.429467e-03,6.950264e+05
1.957467e-03,6.155997e+05
1.397832e-03,5.173096e+05
9.678129e-04,4.371749e+05
6.351298e-04,3.570684e+05
2.542320e-04,2.807662e+05
2.184759e-05,2.482869e+05
2.375421e-05,2.490437e+05
-1.851500e-04,2.022277e+05
-6.156220e-04,1.244767e+05
-1.094486e-03,5.580899e+04
-1.607420e-03,-3.784863e+03
-2.168312e-03,-5.883039e+04
-2.628465e-03,-1.387347e+05
-3.028745e-03,-2.171006e+05
-3.340345e-03,-2.833830e+05
-3.376725e-03,-2.939289e+05
-3.299606e-03,-2.826269e+05
-3.028757e-03,-2.291463e+05
-2.644406e-03,-1.470178e+05
-2.188784e-03,-6.636649e+04
-1.684231e-03,-4.538781e+03
-1.129019e-03,4.147263e+04
-6.183305e-04,1.206968e+05
-1.922053e-04,1.886318e+05
1.341446e-04,2.482849e+05
1.173444e-04,2.460208e+05
2.131868e-04,2.679128e+05
6.692555e-04,3.479878e+05
1.013548e-03,4.341299e+05
1.373361e-03,5.142575e+05
1.957710e-03,6.072540e+05
2.306950e-03,6.866720e+05
2.740088e-03,7.706668e+05
3.062536e-03,8.433493e+05
3.168681e-03,8.637876e+05
3.177315e-03,8.607818e+05
2.702477e-03,7.684277e+05
2.370299e-03,6.866996e+05
1.913278e-03,6.027416e+05
1.369238e-03,5.112575e+05
9.818928e-04,4.273502e+05
6.085552e-04,3.472443e+05
2.161486e-04,2.732127e+05
1.023484e-06,2.422492e+05
2.082470e-05,2.452671e+05
-2.442017e-04,1.946773e+05
-6.113121e-04,1.176839e+05
-1.069850e-03,3.921088e+04
-1.613879e-03,-3.784768e+03
-2.163829e-03,-7.315472e+04
-2.524731e-03,-1.477786e+05
-3.018900e-03,-2.291522e+05
-3.323229e-03,-2.931766e+05
-3.321107e-03,-2.833818e+05
-2.751727e-03,-1.620890e+05
-2.266057e-03,-8.370547e+04
-1.796621e-03,-7.554932e+03
-1.268073e-03,2.261410e+04
-6.727343e-04,1.048491e+05
-3.268873e-04,1.735322e+05
1.007544e-04,2.482787e+05
1.165992e-04,2.490365e+05
2.261176e-04,2.528100e+05
6.041092e-04,3.298503e+05
9.296445e-04,4.114554e+05
1.275359e-03,4.953581e+05
1.713496e-03,5.853265e+05
2.222784e-03,6.639824e+05
2.622137e-03,7.479668e+05
3.006055e-03,8.274467e+05
3.183280e-03,8.683392e+05
3.170181e-03,8.607818e+05
