Chord Rotation [rads],Moment [kN-mm]
0.000000,0.000000
0.001304,249866.029363
0.002545,487793.696792
0.003665,702415.043963
0.004609,883475.666435
0.005334,1022324.659367
0.005803,1112327.949545
0.005996,1149185.265117
0.005902,1131135.598496
0.005525,1059041.345637
0.004885,936347.101573
0.004012,768915.080936
0.002946,564745.026895
0.001740,333591.991018
0.000451,86500.246156
-0.000859,-164724.398440
-0.002129,-408078.667486
-0.003297,-631935.324781
-0.004307,-825598.711524
-0.005112,-979815.774747
-0.005672,-1087218.169413
-0.005962,-1142674.310955
-0.005966,-1143534.557520
-0.005686,-1089757.807342
-0.005133,-983913.462549
-0.004336,-831058.665561
-0.003331,-638496.673627
-0.002167,-415427.916115
-0.000900,-172510.406722
0.000410,78649.486312
0.001701,326051.581474
0.002911,557875.241269
0.003981,763044.151069
0.004861,931755.534927
0.005509,1055948.522912
0.005894,1129689.291830
0.005997,1149454.577670
0.005814,1114300.013819
0.005353,1025905.252000
0.004636,888493.710108
0.003697,708630.781307
0.002582,494910.145771
0.001344,257543.172795
0.000041,7871.031250
-0.001264,-242177.180703
-0.002508,-480654.396620
-0.003632,-696166.401271
-0.004583,-878416.235445
-0.005315,-1018696.174894
-0.005793,-1110303.777137
-0.005994,-1148862.117811
-0.005909,-1132528.915964
-0.005541,-1062084.556491
-0.004909,-940894.804086
-0.004042,-774749.990194
-0.002982,-571588.356466
-0.001780,-341116.773105
-0.000492,-94346.953807
0.001638,313861.346951
0.004181,801420.603992
0.006525,1250688.744564
0.008558,1640200.162950
0.010181,1786697.193934
0.011318,1791430.597155
0.011914,1793054.651687
0.011941,1791405.572082
0.011397,1687215.892908
0.010309,1478653.219838
0.008728,1175682.479611
0.006731,792779.326887
0.004411,348238.511195
0.001881,-136700.228850
-0.000739,-638866.980115
-0.003323,-1134268.691432
-0.005749,-1599235.538824
-0.007901,-1750134.130890
-0.009674,-1758529.179939
-0.010986,-1764266.413208
-0.011772,-1766985.521470
-0.011997,-1766470.398650
-0.011648,-1699570.068092
-0.010742,-1526005.883059
-0.009323,-1254070.575721
-0.007459,-896756.957185
-0.005238,-471137.133305
-0.002767,2453.184350
-0.000164,501386.299511
0.002447,1001823.661072
0.004941,1479854.846465
0.007199,1720844.089149
0.009113,1730045.998073
0.010592,1736744.335369
0.011564,1740532.871171
0.011984,1741144.403171
0.011832,1711912.459317
0.011114,1574330.127220
0.009865,1334970.960241
0.008145,1005271.312391
0.006036,600983.920190
0.003638,141425.251852
0.001066,-351447.415250
-0.001556,-854085.092475
-0.004104,-1342472.228257
-0.006456,-1691319.525925
-0.008500,-1701265.938843
-0.010137,-1708877.208805
-0.011290,-1713703.486889
-0.011904,-1715427.988441
-0.011949,-1713882.128753
-0.011423,-1613061.151633
-0.010351,-1407634.265410
-0.008785,-1107416.571903
-0.006799,-726752.187810
-0.004488,-283828.896417
-0.001962,200190.847436
0.000985,765118.320715
0.004867,1509082.357785
0.008516,1677906.359603
0.011758,1694744.834719
0.014438,1708353.083783
0.016429,1717994.727899
0.017634,1723122.908792
0.017997,1723406.417179
0.017500,1628173.818079
0.016167,1372677.744624
0.014062,969125.556915
0.011285,436798.595792
0.007968,-198869.061349
0.004271,-907505.816655
0.000370,-1605169.071950
-0.003549,-1625899.118888
-0.007299,-1645654.046849
-0.010699,-1663403.794445
-0.013589,-1678214.105908
-0.015829,-1689291.168937
-0.017313,-1696019.542304
-0.017970,-1697991.561048
-0.017768,-1659297.389125
-0.016717,-1457893.139031
-0.014867,-1103401.714844
-0.012307,-612760.380645
-0.009160,-9411.514107
-0.005574,677817.448083
-0.001722,1416091.357813
0.002212,1592954.232201
0.006040,1613163.956732
0.009580,1631714.191327
0.012662,1647632.433707
0.015140,1660071.935684
0.016893,1668352.159989
0.017840,1671991.295695
0.017934,1670729.278687
0.017172,1524557.950679
0.015588,1221135.736765
0.013261,774959.862590
0.010299,207348.188311
0.006846,-454579.338539
0.003065,-1179196.448437
-0.000862,-1559937.283659
-0.004748,-1580477.081753
-0.008407,-1599712.482534
-0.011664,-1616638.247133
-0.014364,-1630359.488906
-0.016378,-1640134.430271
-0.017609,-1645409.844136
-0.017999,-1645847.486570
-0.017529,-1555737.245476
-0.016221,-1305103.345088
-0.014139,-905920.835490
-0.011380,-377262.278445
-0.008078,255613.521519
-0.004390,962468.358837
-0.000493,1526892.250791
0.004571,1554206.849577
0.009581,1581209.975701
0.014133,1605580.842607
0.018010,1626068.843723
0.021027,1641608.892122
0.023038,1651372.309367
0.023949,1654806.418979
0.023716,1610088.265118
0.022350,1348187.509043
0.019915,881617.520517
0.016529,232670.571144
0.012354,-567647.269234
0.007588,-1462643.249805
0.002460,-1490327.497580
-0.002786,-1518687.488816
-0.007899,-1546282.020362
-0.012634,-1571706.462006
-0.016766,-1593659.868377
-0.020097,-1611007.136873
-0.022467,-1622833.241794
-0.023764,-1628486.953400
-0.023926,-1627611.953051
-0.022944,-1439472.829330
-0.020866,-1041219.650167
-0.017791,-451880.574797
-0.013867,300386.334628
-0.009279,1179638.478554
-0.004248,1454787.288201
0.000985,1483077.358671
0.006172,1511096.732433
0.011064,1537420.480719
0.015427,1560704.690137
0.019053,1579750.673578
0.021769,1593562.242355
0.023444,1601393.303145
0.024000,1602783.505629
0.023409,1489471.956586
0.021699,1161791.975092
0.018953,635399.799923
0.015301,-64554.049968
0.010918,-904626.443402
0.006013,-1419385.483121
0.000821,-1447435.128895
-0.004410,-1475710.374635
-0.009430,-1502774.066251
-0.014000,-1527246.936560
-0.017901,-1547873.505365
-0.020947,-1563582.065106
-0.022992,-1573535.886033
-0.023938,-1577173.194360
-0.023741,-1539331.210737
-0.022409,-1284080.967719
-0.020006,-823618.079863
-0.016648,-179943.027295
-0.012494,616190.006373
-0.007744,1384179.571781
-0.002623,1411819.651109
0.003279,1443950.926310
0.009680,1478952.005862
0.015618,1511293.804295
0.020810,1539344.871489
0.025008,1561678.764392
0.028011,1577142.201118
0.029676,1584910.163662
0.029923,1584525.316480
0.028740,1357807.404151
0.026184,867901.466819
0.022377,138214.745590
0.017500,-796389.019958
0.011788,-1335669.672088
0.005512,-1369950.267000
-0.001026,-1405745.304567
-0.007516,-1441258.342178
-0.013647,-1474706.410909
-0.019126,-1504405.204094
-0.023691,-1528849.551896
-0.027124,-1546785.336896
-0.029261,-1557269.414634
-0.030000,-1559714.676154
-0.029305,-1426626.173946
-0.027211,-1025168.575652
-0.023816,-374523.144616
-0.019284,494222.897474
-0.013830,1298675.379493
-0.007715,1332031.045243
-0.001232,1367506.242838
0.005311,1403319.811317
0.011599,1437674.422678
0.017333,1468842.456506
0.022239,1495248.544041
0.026083,1515544.837799
0.028680,1528675.410449
0.029907,1533926.706020
0.029705,1495221.655219
0.028084,1184486.939590
0.025121,616569.169175
0.020958,-181397.083512
0.015793,-1171285.747632
0.009874,-1294363.160822
0.003483,-1329307.305647
-0.003075,-1365208.275083
-0.009485,-1400264.565195
-0.015442,-1432715.030023
-0.020662,-1460923.027469
-0.024894,-1483454.616502
-0.027937,-1499147.069503
-0.029645,-1507164.426287
-0.029937,-1507037.435488
-0.028798,-1288786.136314
-0.026283,-806813.685746
-0.022513,-84148.270418
-0.017667,844681.841432
-0.011977,1257016.942138
-0.005714,1291221.830186
0.000985,1327940.988615
0.008781,1370960.728298
0.016157,1411568.096968
0.022761,1447736.723397
0.028277,1477652.315251
0.032443,1499799.344259
0.035058,1513033.456713
0.035998,1516636.149610
0.035218,1367198.549475
0.032756,895242.853839
0.028729,123318.658283
0.023329,-911692.231147
0.016814,-1203947.583952
0.009496,-1244222.307083
0.001724,-1287105.824839
-0.006130,-1330463.013746
-0.013691,-1372136.118771
-0.020598,-1410047.848813
-0.026521,-1442300.627701
-0.031177,-1467267.258583
-0.034343,-1483668.669850
-0.035868,-1490635.027961
-0.035680,-1454508.057288
-0.033787,-1091637.572327
-0.030279,-419361.180737
-0.025325,530200.389012
-0.019161,1165199.068327
-0.012081,1204103.459086
-0.004424,1246326.829715
0.003444,1289765.597944
0.011148,1332258.110959
0.018319,1371687.927122
0.024615,1406084.937546
0.029735,1433719.496029
0.033434,1453185.059912
0.035535,1463465.393349
0.035939,1463983.122095
0.034626,1212253.767916
0.031658,643434.105540
0.027178,-215298.200977
0.021399,-1127074.764051
0.014597,-1164378.180812
0.007099,-1205691.958302
-0.000739,-1248955.973748
-0.008542,-1292016.923858
-0.015936,-1332731.207607
-0.022569,-1369067.345467
-0.028124,-1399203.041566
-0.032335,-1421612.251260
-0.035001,-1435138.094099
-0.035995,-1439048.128476
-0.035269,-1299886.131412
-0.032858,-837745.967337
-0.028876,-74708.255042
-0.023516,952769.787170
-0.017031,1125128.457264
-0.009733,1165288.349097
-0.001970,1208122.269753
0.006868,1257139.199899
0.015707,1306157.351435
0.023795,1350860.375463
0.030746,1389026.214224
0.036228,1418745.150473
0.039980,1438511.051958
0.041821,1447293.332987
0.041664,1417186.113676
0.039516,1005536.749523
0.035480,232013.456778
0.029749,-866425.555164
0.022597,-1067871.855342
0.014365,-1113402.135387
0.005446,-1162878.863075
-0.003732,-1213851.897615
-0.012732,-1263799.606092
-0.021124,-1310249.344699
-0.028507,-1350895.599312
-0.034528,-1383710.140767
-0.038899,-1407038.931732
-0.041411,-1419681.155033
-0.041945,-1420946.587569
-0.040474,-1139143.671266
-0.037070,-486690.311275
-0.031895,505239.889586
-0.025196,1027673.138957
-0.017293,1071311.656301
-0.008564,1119701.009199
0.000575,1170443.010594
0.009686,1221027.066118
0.018334,1268950.127903
0.026106,1311836.287842
0.032631,1347550.296219
0.037597,1374299.581921
0.040766,1390719.899781
0.041988,1395940.512921
0.041203,1245580.658979
0.038450,717893.845377
0.033860,-161907.552338
0.027652,-988295.247766
0.020123,-1029784.538583
0.011632,-1076802.135990
0.002586,-1127015.394110
-0.006584,-1177938.981424
-0.015440,-1227053.627560
-0.023558,-1271926.491639
-0.030550,-1310327.401107
-0.036082,-1340335.407262
-0.039891,-1360430.566366
-0.041793,-1369566.561110
-0.041699,-1351501.665344
-0.039612,-951571.120292
-0.035633,-188883.228143
-0.029951,900121.506875
-0.022839,988912.975938
-0.014635,1034282.209130
-0.005731,1083672.009551
0.003938,1137466.798325
0.014238,1194887.633388
0.023858,1248396.891826
0.032337,1295351.762352
0.039272,1333422.596118
0.044330,1360704.215127
0.047271,1375806.939831
