Chord Rotation [rads],Moment [kN-mm]
3.190786e-05,-1.138832e+04
-1.167100e-05,-3.830567e+04
-3.351863e-04,-7.453979e+04
-4.264567e-04,-1.552750e+05
-7.369178e-04,-2.039081e+05
-9.298954e-04,-2.576999e+05
-1.138488e-03,-3.352894e+05
-1.235530e-03,-4.035570e+05
-1.470713e-03,-4.769723e+05
-1.599052e-03,-5.493465e+05
-1.762799e-03,-6.258448e+05
-1.901548e-03,-6.992350e+05
-2.010526e-03,-7.767401e+05
-2.238022e-03,-8.563026e+05
-2.271807e-03,-8.635380e+05
-2.107173e-03,-7.870336e+05
-1.880359e-03,-7.136589e+05
-1.694151e-03,-6.361356e+05
-1.592167e-03,-5.637801e+05
-1.464122e-03,-4.872648e+05
-1.307925e-03,-4.097166e+05
-1.200004e-03,-3.300831e+05
-9.290434e-04,-2.556075e+05
-8.096696e-04,-1.925030e+05
-5.103793e-04,-1.500853e+05
-2.513901e-04,-7.970885e+04
-5.416855e-05,3.105838e+03
2.881893e-05,1.760013e+04
9.413082e-05,9.732304e+04
3.975287e-04,1.998402e+05
6.496379e-04,3.106527e+05
8.331106e-04,4.163088e+05
9.441902e-04,5.116211e+05
1.085100e-03,6.100519e+05
1.389552e-03,7.043468e+05
1.520344e-03,8.028104e+05
1.747668e-03,8.940449e+05
1.829909e-03,9.842504e+05
2.067959e-03,1.072406e+06
2.170234e-03,1.155362e+06
2.181822e-03,1.184446e+06
2.036764e-03,1.068317e+06
1.840192e-03,9.770648e+05
1.720387e-03,8.837608e+05
1.582338e-03,7.935555e+05
1.374602e-03,6.950784e+05
1.323103e-03,6.028458e+05
1.016560e-03,5.085536e+05
8.361480e-04,4.132378e+05
6.990473e-04,3.179329e+05
4.463563e-04,2.019251e+05
2.317954e-04,9.733066e+04
-6.314704e-05,9.318123e+03
-9.171193e-05,-1.552980e+04
-3.180221e-04,-6.832754e+04
-4.702009e-04,-1.459591e+05
-7.754606e-04,-1.976969e+05
-9.381387e-04,-2.545951e+05
-1.213334e-03,-3.270049e+05
-1.361299e-03,-3.994074e+05
-1.488264e-03,-4.748862e+05
-1.689813e-03,-5.503713e+05
-1.772577e-03,-6.237621e+05
-1.986346e-03,-7.012913e+05
-2.113926e-03,-7.819115e+05
-2.231332e-03,-8.604394e+05
-2.251287e-03,-8.614542e+05
-2.241905e-03,-8.480102e+05
-2.149664e-03,-7.922011e+05
-1.880156e-03,-7.146996e+05
-1.753111e-03,-6.423475e+05
-1.611817e-03,-5.648146e+05
-1.526562e-03,-4.872734e+05
-1.304981e-03,-4.107567e+05
-1.212427e-03,-3.321555e+05
-9.216858e-04,-2.566458e+05
-8.084349e-04,-1.925030e+05
-5.134744e-04,-1.438761e+05
-2.112328e-04,-7.867436e+04
4.159039e-05,9.317514e+03
2.823357e-05,0
2.532104e-04,9.525399e+04
4.102567e-04,2.019146e+05
7.056368e-04,3.179095e+05
8.423034e-04,4.225352e+05
1.102075e-03,5.271834e+05
1.235688e-03,6.183565e+05
1.414483e-03,7.137090e+05
1.636218e-03,8.069885e+05
1.769297e-03,8.992440e+05
1.920293e-03,9.821867e+05
2.063807e-03,1.072416e+06
2.197088e-03,1.159526e+06
2.234357e-03,1.187570e+06
2.067061e-03,1.066249e+06
1.883271e-03,9.801941e+05
1.748968e-03,8.889411e+05
1.652036e-03,7.966907e+05
1.400232e-03,7.013148e+05
1.299824e-03,6.038946e+05
1.034324e-03,5.168507e+05
8.863708e-04,4.215232e+05
6.757419e-04,3.189685e+05
4.804832e-04,2.019277e+05
2.812843e-04,9.733108e+04
-7.945219e-05,1.449492e+04
-3.566832e-05,-5.176577e+03
-3.340922e-04,-6.832844e+04
-5.223239e-04,-1.459604e+05
-7.513913e-04,-1.997609e+05
-9.843040e-04,-2.556334e+05
-1.204337e-03,-3.259657e+05
-1.402562e-03,-3.963014e+05
-1.510254e-03,-4.728296e+05
-1.689511e-03,-5.493392e+05
-1.744958e-03,-6.258448e+05
-1.972509e-03,-7.044006e+05
-2.090539e-03,-7.767297e+05
-2.191413e-03,-8.625077e+05
-2.314165e-03,-8.697275e+05
-2.116229e-03,-7.860099e+05
-1.932680e-03,-7.074658e+05
-1.772887e-03,-6.330466e+05
-1.663403e-03,-5.544823e+05
-1.515917e-03,-4.790077e+05
-1.343550e-03,-4.045542e+05
-1.176151e-03,-3.280281e+05
-8.922735e-04,-2.525130e+05
-8.340836e-04,-1.925063e+05
-4.670268e-04,-1.459489e+05
-1.775809e-04,-7.453523e+04
9.162325e-05,9.317595e+03
1.835156e-05,0
2.245846e-04,9.629104e+04
4.086088e-04,2.039820e+05
6.913558e-04,3.199917e+05
8.462353e-04,4.235763e+05
1.071734e-03,5.219936e+05
1.217390e-03,6.131829e+05
1.439243e-03,7.095686e+05
1.627171e-03,8.018226e+05
1.764848e-03,8.899238e+05
1.884775e-03,9.770439e+05
2.088461e-03,1.063099e+06
2.187167e-03,1.155396e+06
2.406038e-03,1.206233e+06
2.090613e-03,1.064190e+06
1.881512e-03,9.729369e+05
1.700565e-03,8.816887e+05
1.614181e-03,7.873565e+05
1.433227e-03,6.982040e+05
1.254102e-03,6.059689e+05
1.014977e-03,5.137434e+05
8.661162e-04,4.153145e+05
6.900955e-04,3.158589e+05
4.440040e-04,2.008913e+05
2.512741e-04,9.215389e+04
-6.637562e-05,9.318123e+03
-1.217803e-04,-1.138862e+04
-3.021375e-04,-6.936250e+04
-5.152972e-04,-1.511316e+05
-7.401458e-04,-2.070106e+05
-9.830030e-04,-2.618351e+05
-1.230468e-03,-3.373516e+05
-1.367128e-03,-4.107822e+05
-1.530020e-03,-4.873059e+05
-1.716746e-03,-5.586475e+05
-1.840623e-03,-6.372267e+05
-1.987660e-03,-7.168002e+05
-2.120126e-03,-7.922365e+05
-2.261765e-03,-8.707812e+05
-2.200368e-03,-8.490634e+05
-2.164280e-03,-7.994405e+05
-1.930168e-03,-7.260736e+05
-1.763411e-03,-6.516540e+05
-1.614741e-03,-5.720558e+05
-1.520909e-03,-4.976189e+05
-1.347013e-03,-4.231688e+05
-1.214424e-03,-3.445741e+05
-9.132118e-04,-2.659560e+05
-8.282972e-04,-1.966428e+05
-4.864809e-04,-1.469795e+05
-2.635651e-04,-8.385177e+04
-3.359532e-05,-1.035302e+03
1.951704e-05,4.141262e+03
2.355410e-04,8.800641e+04
4.489821e-04,1.874182e+05
6.440771e-04,3.034160e+05
8.725887e-04,4.070061e+05
1.082340e-03,5.106053e+05
1.160410e-03,6.049018e+05
1.436229e-03,6.981740e+05
1.596098e-03,7.883418e+05
1.770208e-03,8.806149e+05
1.916844e-03,9.677025e+05
2.020216e-03,1.055837e+06
2.190512e-03,1.138817e+06
2.471915e-03,1.201052e+06
2.057259e-03,1.050710e+06
1.874191e-03,9.636075e+05
1.717735e-03,8.692559e+05
1.613314e-03,7.780325e+05
1.439556e-03,6.826624e+05
1.253726e-03,5.945644e+05
1.027549e-03,5.064930e+05
9.167270e-04,4.090950e+05
6.362208e-04,3.117192e+05
4.627222e-04,1.894998e+05
1.182705e-04,8.594127e+04
-8.298929e-05,4.141388e+03
-9.183399e-05,-1.656519e+04
-2.790797e-04,-7.867951e+04
-5.074347e-04,-1.563101e+05
-7.239625e-04,-2.049396e+05
-9.784570e-04,-2.659747e+05
-1.231595e-03,-3.373546e+05
-1.334033e-03,-4.087109e+05
-1.546479e-03,-4.883405e+05
-1.677183e-03,-5.627807e+05
-1.820602e-03,-6.434220e+05
-1.996553e-03,-7.199000e+05
-2.120445e-03,-7.953393e+05
-2.252600e-03,-8.676631e+05
-1.902905e-03,-7.291700e+05
-1.793481e-03,-6.516453e+05
-1.652358e-03,-5.803314e+05
-1.505303e-03,-5.027917e+05
-1.370509e-03,-4.293748e+05
-1.223839e-03,-3.549122e+05
-1.044993e-03,-2.783730e+05
-8.801833e-04,-2.069879e+05
-5.944631e-04,-1.604360e+05
-3.445078e-04,-9.834252e+04
-6.652185e-05,-1.345863e+04
3.539564e-05,-6.211838e+03
1.743543e-04,7.040513e+04
4.112340e-04,1.698124e+05
6.600482e-04,2.837393e+05
8.389576e-04,3.893935e+05
1.055190e-03,4.909204e+05
1.102620e-03,5.872833e+05
1.395239e-03,6.784751e+05
1.557609e-03,7.696819e+05
1.751705e-03,8.598762e+05
1.859721e-03,9.500728e+05
2.005902e-03,1.036146e+06
2.169395e-03,1.125331e+06
2.381926e-03,1.190679e+06
2.025214e-03,1.036195e+06
1.857340e-03,9.459770e+05
1.694125e-03,8.557835e+05
1.621159e-03,7.655940e+05
1.403650e-03,6.754111e+05
1.209050e-03,5.821395e+05
1.038223e-03,4.857650e+05
8.593794e-04,3.873440e+05
6.758801e-04,2.920413e+05
3.372295e-04,1.739640e+05
1.966925e-04,7.558526e+04
-1.123291e-04,-1.035347e+04
-1.208982e-04,-1.552980e+04
-3.251905e-04,-9.317311e+04
-5.152902e-04,-1.687284e+05
-7.567903e-04,-2.132153e+05
-9.521812e-04,-2.783901e+05
-1.228521e-03,-3.476937e+05
-1.393418e-03,-4.190562e+05
-1.578265e-03,-4.965998e+05
-1.696799e-03,-5.689676e+05
-1.879467e-03,-6.465167e+05
-1.999020e-03,-7.240180e+05
-2.148508e-03,-8.015448e+05
-2.222074e-03,-8.645683e+05
-1.974550e-03,-7.395062e+05
-1.747270e-03,-6.630291e+05
-1.664980e-03,-5.865356e+05
-1.514304e-03,-5.131304e+05
-1.402243e-03,-4.355787e+05
-1.189651e-03,-3.580180e+05
-1.063613e-03,-2.804439e+05
-8.495071e-04,-2.080246e+05
-5.827835e-04,-1.604325e+05
-2.914240e-04,-9.937727e+04
-6.549877e-05,-1.656447e+04
5.574416e-05,4.141208e+03
4.963167e-05,-4.141244e+03
2.040621e-04,7.144050e+04
4.245442e-04,1.656706e+05
6.669660e-04,2.868459e+05
9.870414e-04,3.925004e+05
1.062115e-03,4.950675e+05
1.184131e-03,5.945414e+05
1.408334e-03,6.836631e+05
1.582265e-03,7.759107e+05
1.799800e-03,8.629989e+05
1.870436e-03,9.521531e+05
2.056916e-03,1.041331e+06
2.220916e-03,1.130512e+06
2.447429e-03,1.196896e+06
