Total story drift angle (rad),Force in the actuator (kN)
0.000000,0.000000
0.002310,254.138340
0.004557,501.307903
0.006679,734.731003
0.008618,948.006899
0.010321,1135.287312
0.011740,1291.436788
0.012838,1412.173521
0.013584,1494.186766
0.013957,1535.227622
0.013947,1534.170699
0.013555,1491.044979
0.012791,1407.033022
0.011677,1284.438535
0.010242,1126.623206
0.008526,937.914520
0.006577,723.487095
0.004447,489.220789
0.002196,241.539463
-0.000116,-12.765164
-0.002425,-266.719755
-0.004667,-513.360572
-0.006781,-745.924427
-0.008709,-958.034141
-0.010399,-1143.873413
-0.011803,-1298.346306
-0.012884,-1417.216990
-0.013611,-1497.225888
-0.013965,-1536.179060
-0.013936,-1533.008364
-0.013525,-1487.800743
-0.012744,-1401.795845
-0.011612,-1277.352028
-0.010163,-1117.881689
-0.008434,-927.757697
-0.006474,-712.193478
-0.004337,-477.100061
-0.002081,-228.923990
0.000232,25.529452
0.002539,279.282845
0.004776,525.377968
0.006882,757.066598
0.008800,967.995556
0.010476,1152.380918
0.011865,1305.166615
0.012929,1422.163082
0.013638,1500.162135
0.013973,1537.024947
0.013925,1531.740695
0.013495,1484.454280
0.012695,1396.462352
0.011547,1270.177755
0.010082,1109.063364
0.008341,917.537127
0.006371,700.850925
0.004227,464.946551
0.001966,216.292787
-0.000348,-38.291985
-0.002653,-291.826744
-0.004885,-537.359265
-0.006983,-768.156752
-0.008890,-977.890461
-0.010553,-1160.809244
-0.011926,-1311.897247
-0.012973,-1427.011458
-0.013664,-1502.995307
-0.013980,-1537.765226
-0.013912,-1530.367781
-0.013464,-1481.005821
-0.012646,-1391.032908
-0.011481,-1262.916208
-0.010002,-1100.168834
-0.008248,-907.253514
-0.006268,-689.460217
-0.004116,-452.761095
-0.001851,-203.646723
0.000928,102.103774
0.005534,608.701185
0.009987,1098.607281
0.014167,1548.231331
0.017959,1560.255175
0.021257,1570.653954
0.023973,1579.129151
0.026032,1585.434995
0.027377,1589.385201
0.027971,1590.858080
0.027798,1571.837823
0.026863,1468.969595
0.025191,1285.074164
0.022829,1025.194165
0.019840,696.455817
0.016307,307.873519
0.012328,-129.897336
0.008010,-604.852548
0.003472,-1103.968276
-0.001160,-1497.506597
-0.005761,-1512.201713
-0.010204,-1526.375519
-0.014367,-1539.625981
-0.018136,-1551.576386
-0.021408,-1561.885668
-0.024093,-1570.257765
-0.026117,-1576.449732
-0.027425,-1580.278408
-0.027981,-1581.625435
-0.027769,-1558.381117
-0.026796,-1451.375649
-0.025089,-1263.543248
-0.022693,-1000.034505
-0.019676,-668.075145
-0.016118,-276.767890
-0.012119,163.157147
-0.007787,639.636694
-0.003242,1139.605111
0.001392,1489.007338
0.005988,1503.686203
0.010420,1517.823223
0.014566,1531.017374
0.018312,1542.893485
0.021557,1553.112528
0.024210,1561.380916
0.026199,1567.458547
0.027470,1571.165396
0.027988,1572.386446
0.027739,1544.919663
0.026728,1433.784308
0.024985,1242.027844
0.022557,974.908463
0.019510,639.750898
0.015928,245.745572
0.011909,-196.303419
0.007564,-674.274561
0.003011,-1175.061315
-0.001624,-1480.507763
-0.006214,-1495.169335
-0.010635,-1509.268565
-0.014763,-1522.405464
-0.018487,-1534.206431
-0.021704,-1544.334500
-0.024326,-1552.498577
-0.026280,-1558.461422
-0.027514,-1562.046156
-0.027994,-1563.141111
-0.027706,-1531.453751
-0.026658,-1416.196144
-0.024879,-1220.528792
-0.022418,-949.817127
-0.019343,-611.484387
-0.015736,-214.808062
-0.011699,229.334510
-0.007340,708.764408
-0.002781,1210.335089
0.002783,1475.069249
0.009661,1497.277907
0.016274,1518.612362
0.022440,1538.474227
0.027991,1556.305497
0.032775,1571.603844
0.036660,1583.936401
0.039539,1592.951623
0.041335,1598.388930
0.041997,1600.085856
0.041507,1546.227217
0.039879,1367.169309
0.037158,1067.822114
0.033418,656.394092
0.028761,144.167090
0.023316,-454.813014
0.017231,-1124.121468
0.010674,-1422.371219
0.003824,-1444.488026
-0.003130,-1466.950893
-0.009999,-1489.130491
-0.016594,-1510.405258
-0.022734,-1530.178443
-0.028250,-1547.894472
-0.032991,-1563.054179
-0.036828,-1575.228498
-0.039655,-1584.070221
-0.041395,-1589.323529
-0.042000,-1590.831000
-0.041453,-1530.648461
-0.039769,-1345.431358
-0.036994,-1040.258566
-0.033206,-623.498287
-0.028506,-106.578588
-0.023025,496.325976
-0.016913,1168.683038
-0.010337,1414.219192
-0.003477,1436.368172
0.003477,1458.831828
0.010337,1480.980808
0.016913,1502.194391
0.023025,1521.877504
0.028506,1539.477042
0.033206,1554.497034
0.036994,1566.512243
0.039769,1575.179828
0.041453,1580.248742
0.042000,1581.566620
0.041395,1515.064317
0.039655,1323.700746
0.036828,1012.723324
0.032991,590.659424
0.028250,69.082545
0.022734,-537.705052
0.016594,-1213.064525
0.009999,-1406.069509
0.003130,-1428.249107
-0.003824,-1450.711974
-0.010674,-1472.828781
-0.017231,-1493.979689
-0.023316,-1513.571344
-0.028761,-1531.053148
-0.033418,-1545.932359
-0.037158,-1557.787601
-0.039879,-1566.280418
-0.041507,-1571.164556
-0.041997,-1572.292717
-0.041335,-1499.475219
-0.039539,-1301.978328
-0.036660,-985.217644
-0.032775,-557.879124
-0.027991,-31.680902
-0.022440,578.948038
-0.016274,1257.263517
-0.009661,1397.922093
-0.002783,1420.130751
0.005561,1447.179190
0.014681,1476.785832
0.023398,1505.064027
0.031473,1531.224982
0.038685,1554.537963
0.044837,1574.350328
0.049759,1590.105429
0.053316,1601.357871
0.055412,1607.785729
0.055988,1609.199371
0.055029,1503.695786
0.052561,1232.206931
0.048651,802.177355
0.043408,225.398984
0.036974,-482.312229
0.029527,-1301.549995
0.021269,-1350.837012
0.012429,-1379.523071
0.003248,-1409.333815
-0.006023,-1439.438427
-0.015128,-1468.998034
-0.023818,-1497.188703
-0.031856,-1523.224044
-0.039019,-1546.376764
-0.045113,-1565.998619
-0.049970,-1581.538183
-0.053456,-1592.555972
-0.055477,-1598.736495
-0.055976,-1599.896903
-0.054941,-1485.986978
-0.052399,-1206.357110
-0.048420,-768.675085
-0.043113,-184.942666
-0.036624,528.833504
-0.029131,1316.116176
-0.020839,1342.992076
-0.011976,1371.753715
-0.002784,1401.599045
0.006484,1431.696299
0.015574,1461.206805
0.024238,1489.307979
0.032236,1515.215882
0.039351,1538.206719
0.045387,1557.636681
0.050178,1572.959607
0.053593,1583.741952
0.055538,1589.674681
0.055961,1590.581741
0.054849,1468.273304
0.052233,1180.521637
0.048185,735.217235
0.042815,144.570877
0.036272,-575.221206
0.028734,-1308.163341
0.020408,-1335.151865
0.011522,-1363.987075
0.002320,-1393.864906
-0.006945,-1423.952701
-0.016020,-1453.412046
-0.024655,-1481.421759
-0.032615,-1507.200412
-0.039680,-1530.027751
-0.045657,-1549.264452
-0.050382,-1564.369653
-0.053726,-1574.915780
-0.055596,-1580.600275
-0.055942,-1581.253892
-0.054754,-1450.555346
-0.052064,-1154.701650
-0.047947,-701.805468
-0.042515,-104.285754
-0.035917,621.472786
-0.028334,1300.217022
-0.019975,1327.316281
-0.011067,1356.223048
-0.001856,1386.131293
0.009257,1422.316929
0.020580,1459.196486
0.031339,1494.213756
0.041239,1526.395151
0.050008,1554.844850
0.057405,1578.769357
0.063229,1597.499263
0.067318,1610.507601
0.069562,1617.424296
0.069898,1618.046314
0.068318,1444.196721
0.064864,1064.277477
0.059632,488.706422
0.052764,-266.733596
0.044450,-1181.327508
0.034916,-1269.232424
0.024425,-1303.364448
0.013265,-1339.706727
0.001741,-1377.249342
-0.009831,-1414.949459
-0.021134,-1451.759925
-0.031857,-1486.657982
-0.041706,-1518.673313
-0.050412,-1546.914650
-0.057735,-1570.594209
-0.063476,-1589.049300
-0.067475,-1601.760490
-0.069625,-1608.365854
-0.069865,-1608.670892
-0.068189,-1424.356834
-0.064644,-1034.361569
-0.059326,-449.379235
-0.052381,314.549253
-0.044000,1230.479822
-0.034412,1261.631567
-0.023881,1295.897263
-0.012695,1332.323932
