Total story drift angle (rad),Force in the actuator (kN)
0,0
0.000641007,100.4497402
0.001288082,198.141583
0.002547123,379.161961
0.003539795,519.0629785
0.002008288,241.5428811
9.80479E-05,-7.169643575
-0.001899384,-268.7526526
-0.003769384,-523.288789
-0.002212192,-246.6672324
-0.000440411,-20.22250504
0.001819384,258.0991619
0.003603082,525.9132398
0.001858219,226.5523743
9.91712E-05,-0.941154726
-0.002100685,-265.7456548
-0.003784658,-516.1716345
-0.002073767,-229.5905097
-7.33219E-05,4.905053958
0.00161089,220.5784127
0.003590342,521.4650182
0.001705959,204.0755106
-5.16801E-05,-6.658987735
-0.001911233,-236.3962887
-0.003720822,-503.093863
-0.001820205,-192.5857542
-0.000217219,-3.768266446
0.001908836,262.0536309
0.003540548,512.3906461
0.002034041,252.4677134
-1.83171E-06,-2.520095465
-0.001837877,-223.7144089
-0.003744589,-506.5634758
-0.002123904,-235.4221282
-6.20979E-05,5.123016817
0.001894795,259.0955635
0.003590822,516.6609388
0.001556986,184.0763063
-0.000202116,-19.63978801
-0.001937603,-237.7485481
-0.003743904,-506.4300292
-0.001961027,-209.2532405
-0.00018676,-2.298396101
0.001721849,234.634793
0.003601986,519.2409074
0.001782123,211.4284209
-0.000201075,-21.00361275
-0.001811027,-220.1113494
-0.003730753,-504.6062583
-0.001973356,-213.5457744
-9.99863E-05,1.266186278
-8.81507E-05,-1.803131108
0.001847466,250.4304279
0.003539658,509.0544799
0.004934863,711.715456
0.00214363,243.8203706
-0.000201733,-28.97215693
-0.002463493,-322.0868296
-0.003769041,-515.9937056
-0.005151507,-708.4682542
-0.002552192,-279.6863813
-5.06068E-05,6.941004985
0.002460959,333.2652105
0.004970753,712.4716537
0.002434384,291.9056461
-0.000151349,-20.4244543
-0.002966712,-376.9111608
-0.005201096,-708.3792898
-0.003002192,-341.9570355
-9.95068E-05,1.99547221
0.002397603,321.1882888
0.004922329,703.886586
0.002483904,298.1954314
-0.000251322,-27.04830108
-0.003066986,-386.5949393
-0.005201438,-703.6196927
-0.00310589,-357.9483922
-0.000126171,0.202029329
0.002512055,335.2001869
0.004957877,706.6889656
0.002685616,325.5030638
-1.00233E-05,-6.977925224
-0.002440205,-297.6927824
-0.005101301,-685.559913
-0.002211712,-230.119848
5.5161E-07,10.48979618
0.002836644,382.7739169
0.004971849,706.2441434
0.002686986,326.5661888
-0.000108096,-15.12840166
-0.000108959,-14.27300865
-0.002413356,-294.0808264
-0.005176849,-698.4597556
-0.002172808,-223.8122698
-8.74521E-05,3.357339735
0.003062671,415.3082097
0.004936644,703.4417638
0.002819658,343.0601945
2.77205E-05,-3.117313697
-0.00237637,-288.7740981
-0.005126644,-689.2964191
-0.002311781,-243.5445808
-0.000138603,-1.007522192
-0.000139212,-2.259162786
0.003829795,528.9380305
0.007393151,1016.596564
0.003262808,338.2961491
0.000425753,-1.711097403
-0.003366438,-466.2181059
-0.007675342,-1035.7684
-0.003152603,-317.0736839
