Total story drift angle (rad),Force in the actuator (kN)
4.97E-04,-51.21307763
0.007169476,1082.790784
0.001064774,-36.58076974
-7.10E-05,-73.16153947
-0.001632653,-241.4330803
-0.005323869,-768.1961645
-0.006743567,-994.9969368
-0.007311446,-980.3646289
-0.001206744,-58.52923158
7.10E-05,-7.316153947
0.006601597,1119.371554
0.007311446,1148.63617
6.39E-04,-43.89692368
-4.97E-04,-153.6392329
-0.00390417,-563.3438539
-0.005891748,-885.2546276
-0.006743567,-980.3646289
-0.00461402,-563.3438539
-0.002768412,-358.4915434
-0.001348713,-153.6392329
-2.13E-04,21.94846184
0.003478261,563.3438539
0.006885537,1104.739246
0.001916593,190.2200026
3.55E-04,0
-7.81E-04,-131.6907711
-0.006885537,-980.3646289
-0.005323869,-687.7184711
-9.23E-04,-43.89692368
6.39E-04,102.4261553
0.006459627,1082.790784
0.005465839,848.6738579
0.002910382,373.1238513
7.81E-04,-21.94846184
-2.13E-04,-117.0584632
-0.002910382,-402.3884671
-0.005465839,-804.7769342
-0.007027507,-1009.629245
-0.001632653,-175.5876947
-2.13E-04,14.63230789
9.23E-04,102.4261553
0.003052351,460.9176987
0.00433008,709.6669329
0.005891748,943.7838592
0.007311446,1104.739246
0.002768412,321.9107737
0.001490683,87.79384737
9.23E-04,-7.316153947
-7.81E-04,-139.006925
-0.001774623,-263.3815421
-0.003336291,-482.8661605
-0.00418811,-629.1892395
-0.006459627,-958.4161671
-0.006885537,-973.048475
-0.005039929,-614.5569316
-0.002058563,-263.3815421
-7.10E-05,36.58076974
0.001206744,175.5876947
0.005891748,994.9969368
0.007027507,1185.216939
0.007879326,1346.172326
0.008589175,1448.598482
0.009157054,1492.495405
0.009440994,1382.753096
0.008305235,1207.165401
0.006175688,899.8869355
0.002342502,270.6976961
4.97E-04,-14.63230789
-0.002484472,-336.5430816
-0.004897959,-724.2992408
-0.006459627,-921.8353974
-0.007737356,-1104.739246
-0.008731145,-1199.849247
-0.009440994,-1273.010787
-0.010008873,-1273.010787
-0.009724933,-1141.320016
-0.008021295,-855.9900118
-0.005891748,-504.8146224
-0.00433008,-219.4846184
-0.002768412,-51.21307763
-0.001774623,36.58076974
-6.39E-04,160.9553868
0.002626442,607.2407776
0.00433008,885.2546276
0.005607808,1082.790784
0.006601597,1251.062325
0.007879326,1426.65002
0.009015084,1492.495405
0.008021295,1214.481555
0.00390417,453.6015447
0.001064774,-14.63230789
-7.10E-05,-117.0584632
-0.002910382,-402.3884671
-0.006033718,-863.3061658
-0.007311446,-1046.210014
-0.008305235,-1207.165401
-0.009724933,-1273.010787
-0.009157054,-1038.893861
-0.007453416,-746.2477026
-0.006743567,-614.5569316
-0.005181899,-351.1753895
