Total story drift angle (rad),Force in the actuator (kN)
-4.32E-04,-46.4970899
0.006140541,1015.186463
-0.007178378,-1123.679672
-9.51E-04,-23.24854495
0.006140541,1030.685493
-4.32E-04,-54.24660488
-0.007005405,-1131.429187
-0.00147027,-61.99611986
0.006659459,1084.932098
2.59E-04,-54.24660488
-0.006486486,-1092.681613
-0.001124324,-15.49902997
0.006313514,1084.932098
-6.05E-04,-61.99611986
-0.007005405,-1131.429187
8.65E-05,100.7436948
0.006486486,1115.930157
-8.65E-05,-38.74757491
-0.006486486,-1131.429187
-9.51E-04,-38.74757491
0.006486486,1146.928217
0.007697297,1232.172882
0.009772973,1332.916577
0.009772973,1232.172882
0.008735135,1030.685493
0.005621622,495.9689589
0.003891892,224.7359345
0.002162162,0
0.001297297,-77.49514983
8.65E-05,-178.2388446
-0.001297297,-348.7281742
-0.002508108,-526.9670188
-0.003718919,-689.7068334
-0.005794595,-929.9417979
-0.007178378,-1177.926277
-0.00787027,-1270.920457
-0.008735135,-1348.415607
-0.009772973,-1433.660272
-0.010810811,-1441.409787
-0.010810811,-1278.669972
-0.008043243,-813.6990732
-0.00492973,-387.4757491
-0.001989189,-15.49902997
0.001124324,379.7262341
0.003027027,635.4602286
0.00492973,875.695193
0.007178378,1177.926277
0.008389189,1270.920457
0.009254054,1340.666092
0.010118919,1332.916577
0.009427027,1154.677732
0.007697297,875.695193
0.006313514,596.7126537
0.004756757,387.4757491
0.0032,123.9922397
0.001124324,-92.99417979
2.59E-04,-193.7378746
-7.78E-04,-325.4796293
-0.002681081,-534.7165338
-0.003718919,-689.7068334
-0.005794595,-953.1903429
-0.006659459,-1100.431128
-0.007697297,-1224.423367
-0.009081081,-1356.165122
-0.009945946,-1418.161242
-0.010983784,-1394.912697
-0.011156757,-1317.417547
-0.0096,-1084.932098
-0.008735135,-929.9417979
-0.006486486,-612.2116836
-0.003545946,-185.9883596
-7.78E-04,147.2407847
0.001816216,472.7204139
0.003718919,751.7029533
0.005448649,922.1922829
0.006659459,1061.683553
0.00787027,1208.924337
0.008735135,1286.419487
0.009945946,1317.417547
0.010291892,1278.669972
0.0096,1115.930157
0.00787027,898.943738
0.007005405,751.7029533
0.005621622,495.9689589
0.004237838,278.9825394
0.002681081,0
0.001124324,-108.4932098
8.65E-05,-178.2388446
-0.00147027,-402.9747791
-0.003027027,-650.9592585
-0.004583784,-860.1961631
-0.005275676,-991.9379178
-0.00787027,-1263.170942
-0.008908108,-1379.413667
-0.009772973,-1449.159302
-0.010983784,-1394.912697
-0.009945946,-1154.677732
-0.009081081,-960.9398578
-0.005967568,-526.9670188
-0.004064865,-286.7320544
-0.001643243,23.24854495
-7.78E-04,116.2427247
7.78E-04,333.2291443
0.002162162,542.4660488
0.003718919,728.4544084
0.006659459,1053.934038
0.008562162,1278.669972
0.009772973,1371.664152
0.010637838,1418.161242
0.012194595,1511.155422
0.013232432,1549.902997
0.01427027,1542.153482
0.014443243,1441.409787
0.012540541,1177.926277
0.009081081,689.7068334
0.007178378,402.9747791
0.005967568,185.9883596
0.004756757,54.24660488
0.003718919,-61.99611986
0.002335135,-216.9864195
4.32E-04,-395.2252641
-0.003372973,-829.1981031
-0.004583784,-953.1903429
-0.006140541,-1131.429187
-0.008216216,-1301.918517
-0.010983784,-1487.906877
-0.012021622,-1557.652511
-0.013751351,-1627.398146
-0.014962162,-1635.147661
-0.015481081,-1596.400086
-0.014097297,-1309.668032
-0.009945946,-650.9592585
-0.005621622,-69.74563484
-0.004583784,30.99805993
-0.0032,162.7398146
-0.00147027,395.2252641
7.78E-04,627.7107136
0.002854054,867.945678
0.004583784,1046.184523
0.007005405,1232.172882
0.008908108,1356.165122
0.010464865,1456.908817
0.012367568,1542.153482
0.013405405,1573.151541
0.014616216,1557.652511
0.013924324,1410.411727
0.013232432,1309.668032
0.011156757,976.4388878
0.0096,774.9514983
0.008216216,573.4641087
0.006140541,286.7320544
0.005448649,123.9922397
0.004410811,0
0.003372973,-85.24466481
0.002335135,-201.4873895
0.00147027,-317.7301143
-8.65E-05,-519.2175038
-0.001643243,-681.9573185
-0.003372973,-867.945678
-0.005967568,-1092.681613
-0.00787027,-1270.920457
-0.010118919,-1495.656392
-0.011675676,-1580.901056
-0.013405405,-1642.897176
-0.014789189,-1650.646691
-0.015481081,-1549.902997
-0.014443243,-1402.662212
-0.012886486,-1100.431128
-0.011675676,-891.194223
-0.009081081,-519.2175038
-0.007524324,-294.4815693
-0.005275676,0
-0.003027027,224.7359345
-0.001816216,309.9805993
-8.65E-05,557.9650787
0.001989189,790.4505282
0.003891892,984.1884028
0.005275676,1100.431128
0.007178378,1232.172882
0.010118919,1418.161242
0.012886486,1557.652511
