Total story drift angle (rad),Force in the actuator (kN)
0.000142131,7.476002689
0.007177629,338.2891217
-0.007248694,-325.206117
-0.000142131,11.21400403
0.007106563,336.420121
0.000213197,5.607002017
-0.006893366,-317.7301143
-7.10656E-05,16.82100605
0.007177629,338.2891217
0.00795935,377.5381358
0.009451729,413.0491486
0.009522794,396.2281425
0.003269019,85.97403092
-0.007248694,-353.2411271
-0.008741072,-394.3591418
-0.008812138,-381.2761371
0.001279181,52.33201882
0.006395907,291.5641049
0.007888285,371.9311338
0.008883204,398.0971432
0.009735991,416.7871499
0.003979675,125.223045
-0.000639591,-63.54602286
-0.0068223,-334.5511203
-0.008243613,-385.0141385
-0.009309597,-403.7041452
-0.010020254,-403.7041452
-0.005969513,-213.0660766
-0.000852788,20.55900739
0.003766478,216.804078
0.006609104,328.9441183
0.009238532,416.7871499
0.010375582,442.9531593
0.012507551,472.8571701
0.014710585,497.1541788
0.016842554,515.8441855
0.018334932,519.5821869
0.019329851,521.4511876
0.018761326,480.3331728
0.010375582,85.97403092
0.002131969,-231.7560834
7.10656E-05,-285.9571029
-0.002203035,-336.420121
-0.003837544,-375.6691351
-0.005827382,-411.1801479
-0.007746154,-437.3461573
-0.009949188,-463.5121667
-0.013076076,-502.7611808
-0.016060832,-525.1891889
-0.018619195,-553.224199
-0.019827311,-553.224199
-0.019827311,-534.5341923
-0.01577657,-334.5511203
-0.010801976,-110.2710397
-0.008883204,-20.55900739
-0.006253775,71.02202555
-0.003766478,166.3410598
-0.001208116,252.3150908
0.001279181,323.3371163
0.004335003,388.7521398
0.00731976,446.6911607
0.011157304,487.8091755
0.014284191,525.1891889
0.017979604,556.9622003
0.019116654,562.5692024
0.019329851,538.2721936
0.017055751,431.7391553
0.011228369,171.9480618
0.007248694,-13.08300471
0.002345166,-186.9000672
-0.000284263,-265.3980955
-0.002842625,-332.6821197
-0.004832463,-373.8001345
-0.006609104,-414.9181492
-0.009380663,-454.1671634
-0.012365419,-491.5471768
-0.015918701,-521.4511876
-0.017340014,-538.2721936
-0.019116654,-545.7481963
-0.019827311,-530.7961909
-0.016771488,-377.5381358
-0.012010091,-160.7340578
-0.00959386,-50.46301815
-0.00731976,35.51101277
-0.0045482,142.0440511
-0.001350247,241.1010867
0.001563444,330.813119
0.004761397,396.2281425
0.007746154,450.429162
0.010588779,487.8091755
0.013076076,519.5821869
0.01641616,549.4861976
0.018974523,571.9142057
0.020893295,581.2592091
0.02373592,599.9492158
0.026791742,603.6872171
0.028213055,605.5562178
0.028923711,601.8182165
0.028141989,556.9622003
0.019969442,198.1140713
0.015421242,0
0.012223288,-106.5330383
0.009451729,-199.9830719
0.007106563,-269.1360968
0.004050741,-342.027123
0.001208116,-388.7521398
-0.001776641,-433.608156
-0.004406069,-461.6431661
-0.007604022,-491.5471768
-0.012223288,-538.2721936
-0.017908539,-566.3072037
-0.02146182,-586.8662111
-0.025228298,-613.0322205
-0.028141989,-616.7702218
-0.02991863,-611.1632198
-0.029989695,-590.6042124
-0.026365348,-413.0491486
-0.022243542,-228.018082
-0.018334932,-72.89102622
-0.015136979,52.33201882
-0.012578616,155.1270558
-0.00959386,239.2320861
-0.00731976,306.5161103
-0.004690332,351.3721264
-0.002345166,385.0141385
0.000284263,428.0011539
0.003197953,456.036164
0.007746154,506.4991822
0.013218207,545.7481963
0.017695342,575.6522071
0.020609032,590.6042124
0.024304445,594.3422138
0.028426252,609.2942192
0.02878158,583.1282097
0.023309526,336.420121
0.018121735,114.009041
0.014213126,-42.98701546
0.011512632,-147.6510531
0.008670007,-233.625084
0.005898447,-308.3851109
0.002629428,-362.5861304
-0.000923853,-424.2631526
-0.006111644,-480.3331728
-0.011796894,-528.9271903
-0.018548129,-564.438203
-0.023664854,-594.3422138
-0.027573464,-613.0322205
-0.029634367,-609.2942192
-0.029989695,-586.8662111
-0.026223217,-420.5251513
-0.021248623,-188.7690679
-0.016984685,-16.82100605
-0.012933944,132.6990477
-0.009807057,235.4940847
-0.006466972,312.1231123
-0.002700494,388.7521398
0.000781722,437.3461573
0.00504566,482.2021734
0.010801976,534.5341923
0.017695342,575.6522071
0.023522723,609.2942192
0.028426252,620.5082232
0.031553139,631.7222272
0.034822158,639.1982299
0.03723839,641.0672306
0.038659702,641.0672306
0.039086096,641.0672306
0.039228227,609.2942192
0.038020112,549.4861976
0.030273958,216.804078
0.025086167,1.869000672
0.021035426,-134.5680484
0.017837473,-214.9350773
0.016700423,-256.0530921
0.014923782,-293.4331055
0.012791813,-334.5511203
0.010304516,-373.8001345
0.007106563,-420.5251513
0.003269019,-463.5121667
-0.001279181,-500.8921802
-0.007461891,-538.2721936
-0.01350247,-573.7832064
-0.01918772,-592.4732131
-0.026791742,-620.5082232
-0.030700352,-622.3772239
-0.035746011,-586.8662111
-0.038517571,-577.5212077
-0.040009949,-562.5692024
-0.03951249,-534.5341923
-0.038659702,-499.0231795
-0.035390683,-347.634125
-0.030629286,-151.3890545
-0.026365348,5.607002017
-0.024162314,82.23602958
-0.021675017,164.4720592
-0.018405998,248.5770894
-0.014923782,310.2541116
-0.011583698,366.3241318
-0.00845681,409.3111472
-0.005614185,441.0841587
-0.000781722,478.4641721
0.002842625,510.2371835
0.008243613,543.8791956
0.013786732,571.9142057
0.019543048,590.6042124
0.026649611,614.9012212
0.028426252,613.0322205
0.029136908,601.8182165
0.030202892,601.8182165
0.032334861,609.2942192
0.035177486,609.2942192
0.037451587,609.2942192
0.038446505,599.9492158
0.039441424,583.1282097
0.039157162,553.224199
0.036598799,422.3941519
0.032690189,257.9220928
0.029350105,143.9130518
0.025654692,14.95200538
0.021248623,-123.3540444
0.018263867,-201.8520726
0.015705504,-257.9220928
0.012436485,-312.1231123
0.008741072,-368.1931324
0.005329922,-407.4421466
0.001421313,-454.1671634
-0.002345166,-482.2021734
-0.006040578,-510.2371835
-0.009451729,-528.9271903
-0.01300501,-532.6651916
-0.017979604,-540.1411943
-0.023096329,-530.7961909
-0.029492236,-525.1891889
-0.034253633,-515.8441855
-0.038517571,-508.3681829
-0.03951249,-504.6301815
-0.039654621,-480.3331728
-0.039086096,-446.6911607
-0.03610134,-319.599115
-0.033614043,-216.804078
-0.030771417,-119.616043
-0.026649611,20.55900739
