Total story drift angle (rad),Force in the actuator (kN)
0,0
0.007431678,258.5335292
-0.007144265,-289.4956285
0.000369531,-20.12536455
0.007431678,256.9854242
-0.007185324,-291.0437335
0.000205295,-23.22157448
0.007390619,263.1778441
0.008622389,301.8804682
0.009115097,314.2653079
0.00977204,325.1020427
0.005912495,179.580176
-0.001847655,-100.6268227
-0.007062147,-283.3032086
-0.008006504,-314.2653079
-0.009279333,-348.3236172
-0.01018263,-377.7376115
-0.008540271,-309.620993
-0.003695309,-119.2040823
0.000205295,15.48104965
0.003613191,143.9737618
0.006240967,232.2157448
0.008376035,287.9475235
0.009648863,329.7463576
-0.001929773,-105.2711376
-0.007021088,-286.3994186
-0.008950861,-343.6793023
-0.010346866,-371.5451916
-0.003572132,-116.1078724
0.003695309,142.4256568
0.007390619,267.822159
0.009854158,329.7463576
-0.002915189,-143.9737618
-0.00940251,-352.9679321
-0.010921692,-391.6705562
-0.013179937,-422.6326555
-0.016464656,-436.5656002
-0.018846078,-450.4985449
-0.01999573,-453.5947548
-0.020529497,-433.4693903
-0.019708317,-405.6035009
-0.016013007,-258.5335292
-0.008827684,-15.48104965
-0.004393312,136.2332369
-0.00041059,235.3119547
0.003366837,306.5247831
0.006651557,357.612247
0.009443569,376.1895065
0.012317698,408.6997108
0.015068651,433.4693903
0.017244777,448.9504399
0.018805019,447.4023349
0.019420904,442.75802
0.018969255,414.8921307
0.011332282,130.0408171
0.005337669,-74.30903833
0.001437065,-184.2244909
-0.00164236,-275.5626838
-0.003900604,-325.1020427
-0.006076731,-368.4489817
-0.008909802,-399.411081
-0.013672645,-448.9504399
-0.016875246,-476.8163293
-0.019092432,-486.1049591
-0.020365261,-483.0087491
-0.01753219,-387.0262413
-0.014083235,-250.7930044
-0.010962751,-136.2332369
-0.007595914,-18.57725958
-0.003900604,92.88629791
-0.000123177,205.8979604
0.001396006,235.3119547
0.002915189,272.4664739
0.004721784,304.9766781
0.006364144,326.6501477
0.007636973,349.8717221
0.008950861,366.9008768
0.010100512,383.9300314
0.011250164,399.411081
0.013138878,417.9883406
0.014904415,425.7288654
0.016218302,433.4693903
0.018148075,445.85423
0.019297727,453.5947548
0.019420904,428.8250754
0.019256668,404.0553959
0.010675338,92.88629791
0.006158849,-55.73177875
0.001683419,-199.7055405
-0.000574826,-253.8892143
-0.002135068,-295.6880484
-0.00406484,-331.2944626
