Total story drift angle (rad),Force in the actuator (kN)
0,0
0.005125903,214.8234952
-0.007295993,-297.3384801
0,-4.268016461
0.005163318,216.2461673
-0.007221162,-291.6477915
0.005200733,216.2461673
0.00972799,421.1109574
-0.007221162,-283.1117586
-0.009690575,-364.2040713
0.009129345,385.5441536
0.009840236,419.6882853
-0.009690575,-361.358727
-0.006809593,-239.0089218
0.001571445,109.5457558
0.006809593,311.5652016
0.008755191,389.8121701
0.009877652,425.3789739
-0.002843566,-125.1951495
-0.007408239,-311.5652016
-0.008830022,-344.2866612
-0.009840236,-367.0494156
0.003816365,202.0194458
0.008006884,372.7401042
0.010551128,446.7190562
0.011299435,463.791122
0.012421895,487.9765487
0.013282448,505.0486145
0.015190631,513.5846474
0.016537584,524.9660246
0.017847121,527.811369
0.018558012,532.0793854
0.019156658,533.5020576
0.019717888,527.811369
0.019792719,513.5846474
0.018857335,470.9044828
0.014666816,294.4931358
0.010738205,129.463166
0.005761964,-66.86559122
0.003142889,-152.2259204
0.001272122,-217.6688395
-0.00056123,-268.885037
-0.002319752,-310.1425295
-0.003928612,-340.0186447
-0.005537471,-372.7401042
-0.00699667,-389.8121701
-0.008904853,-422.5336296
-0.010663374,-438.1830233
-0.012234819,-453.832417
-0.014292663,-473.7498271
-0.016275676,-480.8631879
-0.017847121,-493.6672373
-0.018932166,-502.2032702
-0.019717888,-502.2032702
-0.019830134,-475.1724993
-0.016986568,-371.3174321
-0.01399334,-239.0089218
-0.011149774,-136.5765267
-0.008680361,-32.72145953
-0.006360609,52.63886968
-0.004377596,123.7724774
-0.002394582,192.0607407
-0.000710892,244.6996104
0.001197291,291.6477915
0.002843566,328.6372675
0.005125903,375.5854485
0.007295993,418.2656131
0.009428668,443.8737119
0.01126202,468.0591385
0.012796049,486.5538765
0.013955925,496.5125816
0.015190631,506.4712867
0.016537584,515.0073196
0.017323306,520.6980082
0.018183859,524.9660246
0.018745089,526.3886968
0.019680473,157.916609
0.017360721,89.62834567
0.015228047,24.18542661
0.013469525,-11.38137723
