Total story drift angle (rad),Force in the actuator (kN)
0,0
0.007573897,302.0397383
-0.007410137,-318.5146331
-8.188E-05,-6.864539506
0.007573897,302.0397383
-0.007205437,-303.4126462
-0.007492017,-319.887541
0.007614837,304.7855541
0.009620896,372.0580412
0.008392696,308.9042778
-0.001760419,-120.8158953
-0.006591337,-304.7855541
-0.008147056,-359.7018701
-0.008924916,-392.6516598
-0.009743716,-420.1098178
-0.007492017,-318.5146331
0.00057316,21.96652642
0.006755097,275.9544881
0.008515516,333.61662
0.009579956,370.6851333
0.001883239,30.20397383
-0.002251699,-131.7991585
-0.006263817,-292.429383
-0.007696717,-347.345699
-0.008924916,-392.6516598
-0.009948416,-418.7369099
-0.003398019,-135.9178822
0.006877917,278.700304
0.008924916,352.8373306
0.010439695,389.905844
0.011667895,422.8556336
0.013633014,457.1783311
0.015516253,495.6197523
0.017276672,516.2133709
0.018627692,524.4508183
0.019405551,524.4508183
0.019569311,514.840463
0.019323671,494.2468444
0.012159175,197.6987378
0.007451077,9.610355309
0.002333579,-168.8676719
-0.002251699,-310.2771857
-0.003848358,-350.0915148
-0.005649718,-385.7871202
-0.007819537,-426.9743573
-0.010971915,-462.6699627
-0.013919594,-498.3655681
-0.016744453,-517.5862788
-0.018422992,-528.569542
-0.019610251,-531.3153578
-0.019774011,-514.840463
-0.013387374,-256.7337775
-0.007246377,-9.610355309
-0.003275199,138.663698
-0.00069598,219.6652642
0.001228199,271.8357644
0.005240318,363.8205938
0.007655777,405.0078309
0.010112176,439.3305284
0.011995415,457.1783311
0.013510194,475.0261338
0.015147793,490.1281207
0.016785393,509.3488314
0.017972652,516.2133709
0.018955212,521.7050025
0.019528371,520.3320946
0.014820273,297.9210146
0.009457136,96.10355309
0.003971178,-116.6971716
0.0010235,-216.9194484
-0.001391959,-285.5648435
-0.004257758,-343.2269753
-0.006345697,-374.803857
-0.009006796,-421.4827257
-0.012732334,-468.1615943
-0.015065913,-494.2468444
-0.017727012,-517.5862788
-0.019241792,-523.0779104
-0.019774011,-521.7050025
-0.016621633,-380.2954886
-0.012118235,-196.3258299
-0.009457136,-85.12028988
-0.006386637,28.83106593
-0.003766478,119.4429874
-0.001351019,192.2071062
0.00012282,236.140159
-0.005772537,-6.864539506
-4.094E-05,233.3943432
0.00085974,263.598317
0.002661099,308.9042778
0.004462458,347.345699
0.006714157,391.2787519
0.008965856,421.4827257
0.011422255,454.4325153
0.013755834,481.8906733
0.015434373,490.1281207
0.016867273,491.5010286
0.018095472,495.6197523
0.019241792,496.9926602
0.020265291,496.9926602
0.020838451,494.2468444
0.021370671,480.5177654
