Total story drift angle (rad),Force in the actuator (kN)
0.000202535,-25.95644183
0.006987455,617.3561557
-0.004810205,-506.4050906
0.000253169,-38.17123799
0.006936821,617.3561557
-0.004759571,-498.2618932
0.006987455,617.3561557
0.007645693,678.4301365
0.008607734,719.1461237
0.010228014,763.9337096
0.01139259,780.2201044
0.010430549,686.5733339
0.009164705,580.7117672
0.004557036,124.6927108
0.001620279,-139.9612059
0.000101267,-282.4671611
-0.001468378,-408.6867214
-0.00298739,-514.5482881
-0.003696262,-555.2642752
-0.005519077,-657.0542432
-0.00678492,-730.3430201
-0.007797595,-791.4170009
-0.008962171,-832.1329881
-0.009974845,-872.8489753
-0.010784985,-860.6341791
-0.008152031,-600.0518611
-0.002531687,-99.24521876
0.000962041,206.1246851
0.004506402,491.1365954
0.007139356,674.3585378
0.009417874,747.6473147
0.011190055,784.2917032
0.012101462,788.3633019
0.009265973,511.494589
0.004810205,104.3347172
0.001772181,-184.7487919
-0.000253169,-347.6127406
-0.002936756,-559.335874
-0.004557036,-640.7678483
-0.00597478,-714.0566253
-0.008455833,-803.6317971
-0.010734351,-876.920574
-0.008962171,-669.2690394
-0.003139291,-152.1760021
0.00298739,377.1318313
0.006886188,633.6425506
0.009265973,776.1485057
0.010936886,825.0076903
0.012405264,861.6520788
0.014430614,906.4396647
0.016506597,947.1556519
0.017873707,947.1556519
0.018430678,939.0124545
0.017823074,873.866875
0.012253363,364.9170351
0.010228014,161.3370992
0.006886188,-119.6032124
0.003645629,-372.0423329
0.000658239,-555.2642752
-0.001417744,-669.2690394
-0.004000065,-775.130606
-0.005822879,-823.9897907
-0.008810269,-917.6365612
-0.010633084,-962.4241471
-0.013772375,-986.8537394
-0.015645823,-1019.426529
-0.016607864,-1023.498128
-0.016911666,-1011.283332
-0.017063568,-954.2809497
-0.013519206,-636.6962496
-0.010633084,-351.6843393
-0.007898862,-127.7464098
-0.004962106,124.6927108
-0.002075983,332.3442454
0.000556971,519.6377865
0.002784855,633.6425506
0.005316542,706.9313275
0.008101397,816.8644929
0.01017738,869.7952762
0.011088787,882.0100724
0.011544491,865.7236775
0.011949561,857.5804801
0.013316671,275.3418633
0.013671108,145.0507043
