Total story drift angle (rad),Force in the actuator (kN)
0,0
0.006350267,306.667088
-0.005414439,-284.3640271
0.006216578,304.8084996
-0.005414439,-288.0812039
0.006417112,304.8084996
-0.005347594,-288.0812039
0.006350267,314.1014417
0.007219251,345.6974447
0.007887701,364.2833288
0.00855615,381.0106245
0.009090909,392.162155
0.009491979,394.0207434
-0.000334225,-105.9395395
-0.005481283,-317.8186185
-0.007018717,-373.5762709
-0.007754011,-384.7278013
-0.00868984,-403.3136855
-0.009425134,-410.7480391
-0.006016043,-234.1821399
-0.000935829,18.58588412
0.002540107,174.7073108
0.005748663,301.0913228
0.00815508,369.859094
0.008890374,384.7278013
0.009491979,394.0207434
0.00026738,-76.2021249
-0.005080214,-301.0913228
-0.007219251,-373.5762709
-0.00842246,-401.455097
-0.009358289,-412.6066275
-0.001537433,-11.15153047
0.001804813,156.1214266
0.005481283,289.9397923
0.008355615,369.859094
0.009491979,388.4449782
0.000534759,-63.19200602
-0.003676471,-273.2124966
-0.005147059,-332.6873258
-0.006082888,-366.1419172
-0.007152406,-392.162155
-0.00815508,-405.1722739
-0.009358289,-410.7480391
0.002473262,180.283076
0.007352941,354.9903867
0.009425134,403.3136855
0.010695187,425.6167464
0.0125,440.4854537
0.014171123,455.354161
0.016042781,457.2127494
