Total story drift angle (rad),Force in the actuator (kN)
0,0
0.007145723,623.612665
-0.006957677,-652.6930483
0.006957677,617.1503576
-0.006581587,-623.612665
-0.007020359,-652.6930483
0.000125364,-32.31153705
0.007145723,623.612665
-0.003635543,-381.2761371
-0.006393541,-613.9192039
-0.007083041,-655.924202
0.004763815,397.4319057
0.007271086,633.3061261
0.008148631,685.0045854
0.00952763,765.783428
0.011031993,811.0195799
0.012536355,849.7934243
0.013288537,859.4868854
0.013601946,849.7934243
0.003071407,-138.9396093
0.000438772,-355.4269075
-0.001190954,-462.0549798
-0.004011634,-607.4568965
-0.006017451,-688.2357391
-0.00777254,-775.4768891
-0.009464948,-843.3311169
-0.011031993,-891.7984225
-0.012034901,-924.1099595
-0.012975128,-940.265728
-0.013789991,-962.883804
-0.011972219,-743.1653521
-0.009026176,-468.5172872
-0.004701133,-87.24115002
-0.001316317,177.7134538
0.001378999,374.8138297
0.003698225,507.2911316
0.006205496,649.4618946
0.007960586,733.4718909
0.010029084,814.2507336
0.012222947,878.8738077
0.0134139,907.954191
0.0141034,914.4164984
0.014040718,878.8738077
0.00351018,-122.7838408
-6.26818E-05,-397.4319057
-0.002695316,-539.6026687
-0.005139906,-662.3865094
-0.007083041,-743.1653521
-0.009214221,-833.6376558
-0.011408083,-898.2607299
-0.013225855,-946.7280354
-0.013852673,-966.1149577
-0.010530539,-610.6880502
-0.007145723,-284.341526
-0.003071407,54.92961298
6.26818E-05,290.8038334
0.002883362,471.7484409
0.005578678,633.3061261
0.009088858,781.9391965
0.012222947,875.6426539
0.0141034,907.954191
0.014166082,888.5672688
0.006769632,168.0199926
0.003823588,-113.0903797
0.001817772,-274.6480649
-0.000376091,-429.7434427
-0.002632635,-552.5272835
-0.004826497,-678.542278
-0.007083041,-781.9391965
-0.008838131,-840.0999632
-0.010906629,-895.0295762
-0.012724401,-930.5722669
-0.013978036,-962.883804
-0.009214221,-491.1353631
-0.005014542,-106.6280723
-0.002256544,113.0903797
0.001378999,381.2761371
0.005892087,649.4618946
0.009778357,794.8638113
0.012536355,895.0295762
0.014416809,946.7280354
0.015983853,975.8084188
0.017488216,1004.888802
0.019180624,1027.506878
0.020371578,1037.200339
0.021311804,1037.200339
0.021123759,1001.657648
0.013351219,258.4922964
0.010091766,-6.462307409
0.00739645,-219.7184519
0.004513088,-403.8942131
0.002319226,-520.2157464
0.000501454,-604.2257428
-0.001316317,-685.0045854
-0.003196771,-746.3965058
-0.006017451,-830.4065021
-0.008023267,-888.5672688
-0.010781266,-940.265728
-0.014228763,-985.5018799
-0.017112125,-1027.506878
-0.019243306,-1069.511876
-0.020559623,-1082.436491
-0.021437168,-1075.974184
-0.018428442,-723.7784298
-0.014291445,-361.8892149
-0.011031993,-87.24115002
-0.008023267,148.6330704
-0.004701133,374.8138297
-0.002256544,507.2911316
0.00106559,652.6930483
0.004387724,762.5522743
0.007835222,849.7934243
0.012473674,937.0345743
0.015106308,972.5772651
0.018177715,1017.813417
0.019995487,1033.969185
0.021123759,1037.200339
0.02149985,1027.506878
0.012473674,210.0249908
0.00952763,-58.16076668
0.005829405,-310.1907556
0.003322134,-462.0549798
0.001128272,-597.7634354
-0.001629726,-710.853815
-0.005265269,-811.0195799
-0.009026176,-911.1853447
-0.012285628,-956.4214966
-0.015231672,-995.195341
-0.017926988,-1050.124954
-0.019870123,-1075.974184
-0.021374486,-1075.974184
-0.019305987,-817.4818873
-0.015294354,-462.0549798
-0.011345402,-109.859226
-0.008148631,138.9396093
-0.005202588,355.4269075
-0.002883362,481.441902
-6.26818E-05,600.9945891
0.002883362,720.5472761
0.006581587,814.2507336
0.009652994,888.5672688
0.013915355,953.1903429
0.018553806,1027.506878
0.021123759,1040.431493
0.021938622,1027.506878
0.017362852,581.6076668
0.011408083,74.31653521
0.007459131,-235.8742204
0.005578678,-387.7384446
0.003384816,-516.9845927
0.001504363,-604.2257428
-0.001190954,-704.3915076
-0.00457577,-794.8638113
-0.009276903,-914.4164984
-0.014291445,-991.9641873
-0.016798716,-1033.969185
-0.019243306,-1069.511876
-0.021374486,-1075.974184
-0.019494033,-853.024578
-0.015357035,-471.7484409
-0.011345402,-113.0903797
-0.008650085,103.3969185
-0.005892087,290.8038334
-0.002883362,471.7484409
-0.000250727,600.9945891
0.002632635,701.1603539
0.008211313,833.6376558
0.014354127,953.1903429
0.017613579,991.9641873
0.019494033,1008.119956
0.021938622,1008.119956
0.023505666,1011.35111
0.023881757,998.4264947
0.011157356,-145.4019167
0.006644268,-458.8238261
0.003259452,-617.1503576
-0.000125364,-759.3211206
-0.003196771,-830.4065021
-0.006832314,-898.2607299
-0.009966403,-962.883804
-0.013601946,-1008.119956
-0.01730017,-1040.431493
-0.022189349,-1095.361106
-0.025135393,-1105.054567
-0.027391937,-1105.054567
-0.028144118,-1105.054567
-0.026075619,-846.5622706
-0.023756394,-630.0749724
-0.02012085,-336.0399853
-0.017613579,-122.7838408
-0.015419717,48.46730557
-0.012724401,242.3365278
-0.01021713,394.200752
-0.00777254,526.6780538
-0.005327951,620.3815113
-0.003071407,694.6980465
-0.000188045,762.5522743
0.003572861,833.6376558
0.007333768,898.2607299
0.010467857,940.265728
0.0134139,991.9641873
0.017237489,1008.119956
0.020622305,1037.200339
0.023129576,1059.818415
0.025636847,1075.974184
0.027266573,1075.974184
0.028457527,1082.436491
0.028958981,1063.049569
0.018365761,103.3969185
0.013915355,-229.411913
0.010843947,-426.512289
0.008524722,-539.6026687
0.005892087,-652.6930483
0.003572861,-746.3965058
