Total story drift angle (rad),Force in the actuator (kN)
0.000127152,1.372907901
0.000381456,42.56014494
0.00063576,67.27248716
0.001144368,135.9178822
0.002034432,201.8174615
0.003051648,270.4628565
0.00381456,328.1249884
0.004068863,387.1600281
0.005213231,414.6181862
0.006103295,436.5847126
0.007374815,453.0596074
0.010045007,495.6197523
0.011316527,524.4508183
0.012333742,550.5360684
0.014368174,579.3671343
0.016784062,601.3336607
0.018818494,630.1647267
0.022887357,664.4874242
0.01856419,6.864539506
0.019708557,85.12028988
0.021107229,174.3593035
0.022251597,256.7337775
0.023268813,347.345699
0.024667485,429.7201731
0.026066157,517.5862788
0.027337677,598.5878449
0.02949926,583.485858
0.028609196,518.9591867
0.027464828,429.7201731
0.026066157,344.5998832
0.025811853,297.9210146
0.025048941,260.8525012
0.024158877,168.8676719
0.022887357,82.37447407
0.022124445,2.745815802
0.023141661,82.37447407
0.024286029,170.2405798
0.025048941,259.4795933
0.025684701,295.1751988
0.025939005,341.8540674
0.02759198,432.4659889
0.028609196,521.7050025
0.029753564,586.2316738
0.029880716,612.316924
0.031025084,656.2499768
0.035348251,696.0643059
0.042341611,750.980622
0.05060649,790.7949511
0.062304472,838.8467277
0.078579926,875.915241
0.089642149,893.7630437
0.105663298,930.831557
0.126007616,963.7813467
0.148767821,965.1542546
