Total story drift angle (rad),Force in the actuator (kN)
0,0
-0.0059055,-55.50873535
0.00023622,0.847461608
0.00535432,60.1697742
0.00023622,1.271192413
-0.0059055,-55.08500455
0.00023622,1.271192413
0.00535432,58.05112017
-0.0059055,-56.77992776
-0.00732282,-69.49185189
-0.00842518,-76.69527556
-0.00929132,-82.20377601
-0.00527558,-39.40696479
0.00070866,16.52550136
0.003937,47.03411927
0.00850392,87.28854566
0.0047244,50.4239657
-0.00496062,-47.45785007
-0.00724408,-69.91558269
-0.00929132,-84.32243003
-0.00999998,-89.40719968
-0.00622046,-47.88158087
-0.00165354,-3.813577238
0.00244094,34.74592594
0.00582676,61.0172358
0.00834644,86.01735325
-0.01047242,-97.45808496
-0.01094486,-100.0004698
-0.01070864,-91.52585371
-0.00834644,-62.28842822
-0.00188976,2.542384825
0.0047244,62.28842822
0.00661416,75.00035234
0.00858266,87.71227647
0.00952754,92.37331531
0.01086612,99.15300818
0.01133856,102.5428546
0.01007872,86.01735325
0.00771652,61.0172358
0.00488188,34.32219514
0.00338582,18.22042458
0.00086614,-4.661038846
-0.00149606,-27.11877147
-0.0043307,-52.96635052
-0.00653542,-68.64439028
-0.00850392,-85.16989164
-0.00968502,-93.64450773
-0.0110236,-101.2716622
-0.0102362,-83.47496843
-0.00149606,5.932231259
0.00417322,57.62738937
0.0066929,75.42408315
0.00913384,88.55973808
0.01047242,96.18689255
0.0114173,102.1191238
0.00377952,24.57638664
-0.00133858,-25.84757906
-0.00574802,-61.44096661
-0.00850392,-86.44108406
-0.0106299,-99.15300818
-0.01173226,-105.932701
-0.01314958,-109.7462783
-0.0141732,-112.2886631
-0.01511808,-114.4073171
-0.01598422,-116.949702
-0.01669288,-118.2208944
-0.01370076,-84.32243003
-0.00992124,-49.15277329
-0.00566928,-8.05088528
-0.00228346,19.9153478
0.00141732,47.88158087
0.00456692,69.06812108
0.00795274,89.83093049
0.0110236,106.3564319
0.0133858,113.9835863
0.0145669,119.068356
0.01566926,123.305664
0.01661414,125.8480488
0.01724406,126.2717796
0.01645666,113.5598555
0.01433068,90.25466129
0.0110236,58.89858178
0.00795274,27.11877147
0.00377952,-6.355962063
0,-35.59338755
-0.0023622,-53.39008133
-0.0055118,-74.15289073
-0.00850392,-91.1021229
-0.01039368,-99.15300818
-0.01251966,-107.6276243
-0.01409446,-112.7123939
-0.01527556,-114.8310479
-0.01669288,-118.2208944
-0.01228344,-72.45796752
-0.00795274,-27.96623308
-0.00370078,8.898346888
-0.00086614,31.35607951
0.0027559,58.05112017
0.0066929,83.89869923
0.0106299,105.0852394
0.01503934,119.4920868
0.01661414,124.1531256
0.01724406,125.8480488
0.01078738,53.39008133
0.00519684,4.237308042
0,-36.44084916
-0.00377952,-63.98335143
-0.00700786,-82.62750682
-0.00929132,-94.06823853
-0.011811,-107.6276243
-0.0137795,-114.4073171
-0.0161417,-121.6107408
-0.0185039,-129.6616261
-0.0204724,-136.0175881
-0.02236216,-139.4074346
-0.02259838,-135.1701265
-0.02015744,-104.2377778
-0.01527556,-59.74604339
-0.00999998,-11.86446252
-0.0047244,28.81369469
0,59.74604339
0.00480314,83.47496843
0.01015746,104.6615086
0.01362202,121.6107408
0.01724406,130.9328185
0.019685,136.441319
0.02118106,140.2548962
0.02236216,142.3735502
0.0224409,137.2887806
0.01826768,91.52585371
0.01236218,36.44084916
0.0074803,0
0.00204724,-41.10188801
-0.00110236,-59.74604339
-0.00464566,-77.11900636
-0.0082677,-93.22077692
-0.01125982,-103.3903162
-0.01370076,-112.7123939
-0.01637792,-122.8819332
-0.01866138,-132.2040109
-0.0212598,-136.441319
-0.02267712,-139.8311654
-0.0169291,-72.45796752
-0.01094486,-20.3390786
-0.00661416,16.52550136
-0.00125984,54.23754294
0.00496062,85.59362245
0.0114173,112.7123939
0.02023618,138.1362422
0.02212594,141.1023578
0.02236216,135.1701265
0.0173228,81.78004521
0.00999998,19.06788619
0.00488188,-21.18654021
0.00055118,-50.8476965
-0.00346456,-69.91558269
-0.00779526,-91.1021229
-0.01275588,-109.7462783
-0.0192913,-133.4752033
-0.02259838,-140.2548962
-0.02472436,-142.797281
-0.02708656,-148.3057815
-0.02779522,-150.0007047
-0.02700782,-133.0514725
-0.02409444,-105.0852394
-0.01937004,-59.74604339
-0.01464564,-19.49161699
-0.0129921,-7.627154475
-0.01173226,2.966115629
-0.00881888,24.57638664
-0.00637794,41.10188801
-0.0035433,56.35619696
0.00086614,75.00035234
0.00377952,88.55973808
0.00858266,104.6615086
0.01228344,119.068356
0.01960626,135.1701265
0.02267712,143.6447426
0.02409444,146.6108583
0.02606294,149.5769739
0.02779522,152.1193587
0.02842514,152.1193587
0.02685034,133.0514725
0.02543302,120.3395484
0.023622,100.8479314
0.02055114,69.91558269
0.01661414,39.40696479
0.01464564,21.61027101
0.01204722,1.271192413
0.0094488,-15.67803976
0.00645668,-35.59338755
0.00480314,-45.76292685
0.0023622,-57.20365857
0.0003937,-65.67827465
-0.00267716,-79.23766038
-0.00480314,-86.44108406
-0.00740156,-97.88181577
-0.01015746,-105.932701
-0.01346454,-118.6446252
-0.01818894,-129.2378953
-0.02566924,-146.1871274
-0.03086608,-153.8142819
-0.03338576,-157.2041284
-0.03362198,-157.2041284
-0.03236214,-140.2548962
-0.02960624,-109.3225475
-0.02551176,-75.42408315
-0.02307082,-47.88158087
-0.01960626,-20.76280941
-0.01645666,5.08476965
-0.01244092,30.5086179
-0.00858266,51.27142731
-0.00464566,66.94946706
-0.00133858,83.05123762
0.00188976,89.83093049
0.00425196,98.72927738
0.00700786,108.8988167
0.01196848,119.4920868
0.01755902,132.6277417
0.02212594,142.3735502
0.02614168,149.1532431
0.02850388,152.1193587
0.02763774,145.7633966
0.02173224,86.44108406
0.01700784,40.2544264
0.01346454,14.83057815
0.01007872,-8.05088528
0.00740156,-31.77981031
0.00401574,-49.57650409
0.0003937,-68.22065948
-0.0043307,-87.28854566
-0.00716534,-97.45808496
-0.0114173,-112.7123939
-0.01566926,-124.5768564
-0.0208661,-135.5938573
-0.0267716,-148.3057815
-0.03102356,-154.2380127
-0.03322828,-157.2041284
-0.03362198,-157.2041284
-0.03062986,-121.6107408
-0.02771648,-90.6783921
-0.02417318,-54.23754294
-0.02062988,-29.23742549
-0.01787398,-9.322077692
-0.01448816,14.40684734
-0.01070864,40.6781572
-0.00637794,60.593505
-0.00291338,76.69527556
0.00055118,86.01735325
0.00307086,94.49196934
0.0062992,107.6276243
0.00992124,116.1022403
0.01503934,128.8141645
0.02259838,143.2210118
0.02700782,150.0007047
0.02960624,153.3905511
0.03173222,157.6278592
0.03314954,159.3227824
0.03362198,159.3227824
0.03291332,150.0007047
0.03236214,138.9837038
0.03125978,131.3565493
0.03062986,122.8819332
0.02960624,114.4073171
0.02732278,93.64450773
0.02496058,71.61050591
0.02212594,45.76292685
0.01905508,19.49161699
0.01637792,4.661038846
0.01448816,-10.5932701
0.01314958,-19.49161699
0.01086612,-34.74592594
0.00771652,-48.30531168
0.00440944,-61.86469741
0.00181102,-74.15289073
-0.00173228,-88.55973808
-0.00559054,-100.0004698
-0.00850392,-108.0513551
-0.01188974,-114.8310479
-0.01511808,-125.0005872
-0.02566924,-144.915935
-0.03259836,-158.4753208
-0.03732276,-161.0177056
-0.04007866,-163.1363596
-0.03952748,-158.4753208
-0.03763772,-133.0514725
-0.03291332,-90.6783921
-0.02803144,-53.39008133
-0.02511806,-27.96623308
-0.02275586,-5.932231259
-0.01921256,17.79669378
-0.01598422,38.55950318
-0.01133856,56.77992776
-0.00692912,73.72915993
-0.00385826,85.59362245
0.00055118,97.88181577
0.00582676,109.7462783
0.00960628,121.18701
0.01488186,133.0514725
0.0232283,145.3396658
0.03078734,156.3566667
0.03354324,159.7465132
0.03314954,150.4244355
0.03125978,125.424318
0.02850388,102.1191238
0.02543302,73.72915993
0.02070862,31.77981031
0.01716532,8.05088528
0.01354328,-12.71192413
0.00834644,-45.33919605
0.00543306,-60.1697742
0.00086614,-78.39019878
-0.00425196,-97.45808496
-0.00929132,-112.7123939
-0.01314958,-119.4920868
-0.02188972,-139.4074346
-0.03047238,-152.1193587
-0.03811016,-161.8651672
-0.0401574,-162.7126288
-0.03763772,-138.559973
-0.03393694,-102.9665854
-0.0299212,-66.10200545
-0.02629916,-37.28831077
-0.02409444,-15.25430895
-0.0204724,9.322077692
-0.01740154,28.81369469
-0.0137795,45.33919605
-0.00937006,64.40708224
-0.00543306,78.81392958
-0.00110236,92.37331531
0.00409448,107.2038935
0.00740156,117.3734328
