Total story drift angle (rad),Force in the actuator (kN)
-0.000624953,-1.769919819
-0.008035106,-86.72607114
-0.001160626,-0.88495991
0.001249905,27.4337572
0.0033926,50.44271485
0.005356737,82.3012716
0.000803511,11.50447883
-0.000803511,-5.309759458
-0.007588711,-84.95615133
-0.002321253,-12.38943873
0.001339184,29.20367702
0.004374669,65.48703331
0.005713853,82.3012716
0.00089279,9.734559006
-0.004821064,-53.09759458
-0.009642127,-107.0801491
-0.013034728,-145.1334252
-0.010802754,-103.5403094
-0.005803132,-41.59311575
-0.002410532,-0.88495991
0.001071347,27.4337572
0.004821064,78.76143196
0.007410153,109.7350288
0.00937429,127.434227
0.010713475,143.3635054
0.01196338,153.0980644
0.006695922,89.38095087
0.003660437,51.32767476
-0.001874858,-19.46911801
-0.006695922,-71.68175268
-0.01026708,-112.3899085
-0.012141938,-132.7439864
-0.013302564,-143.3635054
-0.012141938,-116.8147081
-0.00687448,-53.98255449
-0.003838995,-15.04431846
0.002053416,42.47807566
0.007320874,107.0801491
0.010088522,133.6289464
0.011784822,149.5582247
0.007588711,88.49599096
0.004999622,51.32767476
0.001964137,15.92927837
-0.000357116,-7.964639187
-0.004017553,-44.24799548
-0.010088522,-107.0801491
-0.01285617,-145.1334252
-0.013927517,-155.7529441
-0.015980933,-169.0273427
-0.01883786,-183.1867013
-0.02053416,-191.1513405
-0.021962623,-195.57614
-0.022409018,-193.8062202
-0.020355602,-164.6025432
-0.016784444,-115.9297482
-0.010981312,-42.47807566
-0.007767269,-9.734559006
-0.006517364,3.539839639
-0.003660437,24.77887747
0,62.83215358
0.003481879,98.23054997
0.007856548,131.8590265
0.010713475,153.0980644
0.012945449,169.9123027
0.014998865,182.3017414
0.015445259,184.0716612
0.015177422,172.5671824
0.012409775,131.8590265
0.007767269,75.22159232
0.003571158,24.77887747
8.9279E-05,-10.61951892
-0.003928274,-41.59311575
-0.007231595,-80.53135178
-0.009909964,-115.0447883
-0.012052659,-131.8590265
-0.013838238,-141.5935855
-0.015534538,-153.9830243
-0.017409396,-167.2574229
-0.018391465,-176.107022
-0.020087765,-189.3814207
-0.021962623,-198.2310198
-0.023569644,-207.9655788
-0.02481955,-207.9655788
-0.024283876,-197.3460599
-0.020266323,-140.7086256
-0.014909586,-76.99151214
-0.010356359,-23.00895765
-0.008481501,-1.769919819
-0.006249527,15.92927837
-0.002856927,43.36303557
0.000624953,73.4516725
0.005267458,115.9297482
0.008749338,143.3635054
0.013302564,169.9123027
0.015177422,183.1867013
0.015802375,182.3017414
0.013748959,146.903345
0.007142316,64.6020734
0.001339184,2.654879729
-0.007142316,-69.91183286
-0.011606264,-120.3545477
-0.014463191,-161.0627036
-0.018570023,-186.7265409
-0.02223046,-205.310699
-0.026426571,-218.5850977
-0.029462055,-226.5497369
-0.03160475,-227.4346968
-0.032140424,-227.4346968
-0.031515471,-215.045258
-0.026158734,-146.903345
-0.024462434,-123.0094274
-0.022319739,-92.0358306
-0.01964137,-62.83215358
-0.017052281,-36.2833563
-0.014016796,-9.734559006
-0.011695543,10.61951892
-0.009195732,28.31871711
-0.006785201,51.32767476
-0.002231974,86.72607114
0.001071347,113.2748684
0.009195732,161.9476635
0.01455247,184.0716612
0.019016418,201.7708594
0.021605507,208.8505387
0.023480365,208.8505387
0.024105318,211.5054184
0.023837481,198.2310198
0.019105697,136.2838261
0.013302564,69.91183286
0.009017175,18.5841581
0.006338806,-0.88495991
0.003303321,-32.74351666
-0.002499811,-81.41631169
-0.006606643,-114.1598283
-0.010177801,-138.0537459
-0.013391843,-154.8679842
-0.018570023,-185.841581
-0.023212529,-198.2310198
-0.027408639,-209.7354986
-0.03249754,-225.664777
-0.035711582,-230.0895765
-0.037854277,-231.8594963
-0.039014904,-231.8594963
-0.036604372,-196.4610999
-0.031694029,-133.6289464
-0.027140803,-78.76143196
-0.023658923,-37.1683162
-0.02053416,-5.309759458
-0.018302186,14.15935855
-0.014373912,37.1683162
-0.010802754,62.83215358
-0.008213664,87.61103105
-0.003214042,117.699668
0.002142695,147.7883049
0.007142316,175.2220621
0.011695543,193.8062202
0.016784444,215.045258
0.01964137,224.779817
0.022409018,236.2842959
0.024908829,244.2489351
0.021516228,190.2663806
0.016963002,123.8943873
0.012320496,60.17727386
0.009552848,22.12399774
0.006785201,-1.769919819
0.004642506,-19.46911801
0.001339184,-49.55775494
-0.003303321,-92.0358306
-0.010177801,-134.5139063
-0.018570023,-183.1867013
-0.026783687,-218.5850977
-0.035175909,-238.0542157
-0.039104183,-240.7090954
-0.044103804,-249.5586945
-0.047228568,-249.5586945
-0.048478473,-245.133895
-0.04705001,-223.8948571
-0.039907693,-138.9387058
-0.03160475,-42.47807566
-0.026248013,5.309759458
-0.021159113,40.70815584
-0.016695165,73.4516725
-0.012409775,101.7703896
-0.00767799,129.2041468
-0.002053416,153.9830243
0.000982069,164.6025432
0.002499811,169.9123027
0.00428539,175.2220621
0.008927896,193.8062202
0.014373912,208.8505387
0.022676855,223.0098972
0.025980176,230.9745364
0.02821215,238.0542157
0.029729892,245.133895
0.030711961,249.5586945
0.030176287,234.5143761
0.02651585,184.9566211
0.019284254,97.34559006
0.014731028,46.90287521
0.009017175,3.539839639
0.00687448,-16.81423828
8.9279E-05,-71.68175268
-0.006070969,-115.0447883
-0.013838238,-158.4078238
-0.022587576,-200.0009396
-0.029194219,-223.0098972
-0.032854656,-233.6294161
-0.038747067,-240.7090954
-0.044371641,-246.9038148
-0.047942799,-248.6737346
-0.050889005,-253.0985342
-0.051513957,-251.3286143
-0.050531889,-231.8594963
-0.044996594,-161.9476635
-0.040711204,-109.7350288
-0.036693651,-67.25695313
-0.032943935,-27.4337572
-0.030265566,-0.88495991
-0.028479987,11.50447883
-0.026248013,25.66383738
-0.023748202,38.93823602
-0.01964137,61.06223377
-0.014463191,100.8854297
-0.007945827,130.0891067
-0.0016963,149.5582247
0.003928274,171.6822225
0.00937429,200.0009396
0.01196338,209.7354986
0.015177422,218.5850977
0.019284254,226.5497369
0.022587576,233.6294161
0.025533781,237.1692558
0.028033592,242.4790152
0.032229703,248.6737346
0.036247256,251.3286143
0.039104183,253.9834941
0.040979041,258.4082936
0.042496783,259.2932535
0.043657409,259.2932535
0.043478851,252.2135742
0.040800483,208.8505387
0.033211772,128.3191869
0.025265944,36.2833563
0.018748581,-8.849599096
0.013391843,-48.67279503
0.007320874,-89.38095087
0.0033926,-116.8147081
-0.003928274,-155.7529441
-0.009106453,-177.8769418
-0.014284633,-192.0363004
-0.020980555,-208.8505387
-0.028301429,-220.3550175
-0.036425814,-242.4790152
-0.042586062,-249.5586945
-0.047585683,-251.3286143
-0.0513354,-252.2135742
