Total plastic story drift angle (rad),Force in the actuator (kN)
-0.000310901,2.05978898
-6.21802E-05,77.86002345
-6.21802E-05,-41.6077374
-6.21802E-05,77.03610785
-0.000186541,-41.6077374
-6.21802E-05,80.33177022
-0.000186541,-39.95990621
-6.21802E-05,75.38827667
-0.000186541,-40.78382181
-0.000186541,77.03610785
-6.21802E-05,-41.6077374
-6.21802E-05,76.21219226
-0.000435262,-42.43165299
-6.21802E-05,138.0058617
-0.000808343,-108.3449004
-6.21802E-05,138.0058617
-0.000808343,-107.5209848
0.000310901,138.0058617
-0.000932703,-108.3449004
-6.21802E-05,136.3580305
-0.000932703,-110.8166471
-6.21802E-05,138.0058617
-0.000435262,-107.5209848
-0.000186541,138.0058617
-0.000683982,-107.5209848
0.000186541,209.6865182
-0.001181424,-148.7167644
-6.21802E-05,208.8626026
-0.001305785,-148.7167644
0.000186541,208.038687
-0.001305785,-148.7167644
0.000435262,212.1582649
-0.001305785,-149.54068
0.000186541,210.5104338
-0.000932703,-149.54068
6.21802E-05,212.1582649
-0.001305785,-147.0689332
6.21802E-05,250.8822978
0.000932703,67.97303634
0.001181424,15.24243845
0.000435262,-58.08604924
-0.002051947,-185.792966
-0.00279811,-165.1950762
-0.001554505,-77.03610785
-0.001181424,-4.531535756
-6.21802E-05,250.0583822
0.001181424,7.827198124
-0.001678866,-184.9690504
-0.001554505,-23.48159437
0.000310901,250.8822978
0.000683982,20.185932
-0.001927587,-186.6168816
-0.001554505,-30.07291911
-6.21802E-05,250.8822978
0.000683982,-25.12942556
-0.001554505,-185.792966
-6.21802E-05,250.0583822
0.000559622,252.530129
0.001181424,258.2975381
0.002051947,264.8888628
0.002673749,272.3041032
0.003046831,275.5997655
0.003668633,276.4236811
0.004041714,279.7193435
0.005160958,277.2475967
0.005409679,271.4801876
0.005409679,259.9453693
0.005534039,240.9953107
0.005534039,94.33833529
0.003917354,-43.25556858
0.003668633,-55.61430246
0.003046831,-74.56436108
0.002176308,-97.63399766
0.001057064,-123.9992966
0.000683982,-142.1254396
-0.000310901,-160.2515826
-0.001554505,-179.2016413
-0.003668633,-196.5038687
-0.006031481,-213.8060961
-0.006902004,-216.2778429
-0.007772527,-216.2778429
-0.007648167,-206.3908558
-0.007275085,-184.1451348
-0.006777644,-140.4776084
-0.0056584,-15.24243845
-0.004912237,16.06635404
-0.004414795,40.78382181
-0.003792993,74.56436108
-0.002549389,108.3449004
-0.001803226,133.0623681
-0.001305785,152.0124267
-0.000808343,169.3146542
-6.21802E-05,189.0886284
6.21802E-05,206.3908558
0.000435262,218.7495897
0.000559622,229.4604924
0.001057064,240.9953107
0.001554505,252.530129
0.002425028,265.7127784
0.003046831,271.4801876
0.003917354,275.5997655
0.004663516,275.5997655
0.005036597,273.9519343
0.0056584,272.3041032
0.0056584,266.536694
0.006155841,256.6497069
0.006155841,249.2344666
0.006280202,238.5235639
0.006404562,138.8297773
0.004539156,30.07291911
0.003668633,-18.53810082
0.003295551,-38.31207503
0.00292247,-53.96647128
0.002425028,-62.2056272
0.002176308,-79.50785463
0.001554505,-98.45791325
0.000932703,-116.5840563
-6.21802E-05,-139.6536928
-0.001181424,-161.8994138
-0.001927587,-175.9059789
-0.003295551,-191.5603751
-0.005160958,-198.1516999
-0.006155841,-204.7430246
-0.006653283,-202.2712778
-0.007275085,-202.2712778
-0.007772527,-202.2712778
-0.008021248,-186.6168816
-0.007772527,-159.4276671
-0.007026364,-113.2883939
-0.006155841,-40.78382181
-0.005409679,13.59460727
-0.001181424,131.4145369
-6.21802E-05,164.3711606
0.000435262,191.5603751
0.000683982,212.9821805
0.001181424,228.6365768
0.002549389,245.1148886
0.003544272,264.0649472
0.004166074,272.3041032
0.005534039,283.8389215
0.006777644,291.2541618
0.007896887,297.0215709
0.008021248,299.4933177
0.008891771,297.0215709
0.009886654,297.0215709
0.010011015,292.901993
0.010384096,288.782415
0.010508457,283.0150059
0.010632817,271.4801876
0.010757177,247.5866354
0.010757177,212.9821805
0.010757177,165.1950762
0.010508457,123.175381
0.009886654,70.44478312
0.009762294,48.19906213
0.008891771,10.2989449
