Total story drift angle (rad),Force in the actuator (kN)
-1.47E-04,-0.677064177
0.007188264,88.01834301
-0.007334963,-90.72659972
0.007041565,87.34127883
-0.007188264,-90.72659972
0.007041565,88.69540719
-0.007481663,-90.72659972
0.007334963,88.01834301
-0.007481663,-91.40366389
0.007188264,87.34127883
-0.007334963,-88.69540719
0.007334963,88.01834301
-0.007188264,-90.72659972
0.00792176,95.46604896
0.006308068,60.93577593
0.004547677,33.17614467
0.002933985,7.447705947
0.00205379,-3.385320885
1.47E-04,-22.34311784
-0.00190709,-43.33210733
-0.003374083,-62.28990428
-0.005574572,-80.57063706
-0.006601467,-90.04953554
-0.00792176,-87.34127883
-0.006454768,-63.64403264
-0.004841076,-43.33210733
-0.003520782,-21.66605366
-0.00205379,1.354128354
-4.40E-04,16.24954025
8.80E-04,31.82201632
0.00205379,45.36329986
0.003520782,60.93577593
0.004694377,74.47705947
0.006308068,90.04953554
0.007775061,98.85136984
0.008801956,103.5908191
0.009535452,102.2366907
0.009535452,92.08072807
0.008508557,78.53944453
0.00806846,67.7064177
0.007188264,52.81100581
0.006161369,36.56146556
0.005574572,25.72843873
0.004841076,12.18715519
0.003520782,-2.708256708
0.00190709,-18.95779696
7.33E-04,-27.08256708
0,-32.4990805
-0.001026895,-44.0091715
-0.002347188,-59.58164758
-0.003667482,-71.09173858
-0.005281174,-84.63302212
-0.007041565,-94.78898478
-0.008361858,-101.5596265
-0.009682152,-105.6220116
-0.009828851,-94.78898478
-0.008655257,-77.86238035
-0.006454768,-43.33210733
-0.004987775,-23.02018202
-0.003667482,-6.093577593
-0.002640587,7.447705947
-5.87E-04,26.4055029
0.001760391,49.42568492
0.003374083,66.35228935
0.004987775,77.18531618
0.006601467,89.37247136
0.007775061,98.17430566
0.008801956,104.9449474
0.00997555,106.97614
0.010268949,100.8825624
0.009682152,88.01834301
0.008801956,74.47705947
0.007628362,58.22751922
0.006748166,41.3009148
0.005574572,20.31192531
0.004547677,4.739449239
0.003080685,-8.801834301
0.002347188,-19.63486113
0.001026895,-27.75963126
4.40E-04,-31.82201632
-5.87E-04,-39.26972227
-0.001466993,-46.04036404
-0.002933985,-63.64403264
-0.004400978,-75.15412365
-0.005427873,-85.3100863
-0.006894866,-93.43485643
-0.008361858,-102.9137549
-0.010415648,-104.2678833
-0.010268949,-96.82017731
-0.008508557,-71.76880276
-0.007481663,-57.55045504
-0.006748166,-46.71742821
-0.005281174,-23.69724619
-0.004547677,-12.18715519
-0.003227384,2.708256708
-0.001760391,19.63486113
-4.40E-04,32.4990805
5.87E-04,41.97797897
0.002347188,58.9045834
0.004254279,73.12293112
0.005867971,88.01834301
0.00806846,99.52843402
0.010709046,111.038525
0.011735941,115.7779743
0.013789731,119.8403593
0.014376528,115.7779743
0.01408313,105.6220116
0.013349633,92.08072807
0.012616137,78.53944453
0.010562347,52.13394163
0.008801956,27.08256708
0.007628362,10.15596265
0.006308068,-8.124770124
0.005281174,-20.31192531
0.004694377,-27.08256708
0.003667482,-29.79082379
0.003080685,-34.53027303
0.002200489,-41.97797897
7.33E-04,-54.16513416
-7.33E-04,-66.35228935
-0.00205379,-76.508252
-0.003227384,-83.95595795
-0.004841076,-92.08072807
-0.00806846,-106.97614
-0.010268949,-117.1321026
-0.012469438,-121.8715519
-0.014229829,-124.5798086
-0.015110024,-124.5798086
-0.014963325,-117.1321026
-0.01393643,-102.9137549
-0.012909535,-85.3100863
-0.011882641,-64.99816099
-0.00997555,-41.97797897
-0.008361858,-18.28073278
-0.007041565,-2.031192531
-0.005721271,12.86421936
-0.00396088,27.75963126
-0.002347188,40.62385062
-4.40E-04,56.19632669
0.001173594,68.38348188
0.002933985,81.92476542
0.005427873,95.46604896
0.00792176,104.2678833
0.00997555,110.3614609
