Total story drift angle (rad),Force in the actuator (kN)
0.000170068,-0.257867919
0.00625,20.50049955
0.007465986,23.85278249
0.00877551,26.6893296
0.011955782,30.04161254
0.016819728,33.39389549
0.020187075,35.45683884
0.02795068,38.80912179
0.041420068,44.74008392
0.045348639,45.90048955
0.048528912,46.67409331
0.052083333,47.31876311
0.054141156,47.44769707
0.054141156,46.54515935
0.04460034,16.24567889
0.043477891,16.24567889
0.047967687,29.78374463
0.053486395,46.02942351
0.054702381,48.09236686
0.055357143,49.2527725
0.056479592,49.76850834
0.060782313,50.02637626
0.067610544,50.54211209
0.063588435,37.51978219
0.060314626,27.59186732
0.058163265,21.2741033
0.057508503,18.4375562
0.053018707,5.028424417
0.051896259,1.805075432
0.051335034,-0.128933959
0.049838435,-4.770556499
0.046845238,-11.21725447
0.044319728,-15.85887701
0.041326531,-21.9187731
0.038146259,-26.43146168
0.03412415,-32.36242381
0.030289116,-36.61724448
0.02579932,-40.22739534
0.021683673,-43.06394245
0.017661565,-45.38475372
0.012610544,-47.70556499
0.00625,-49.8974423
0.002882653,-50.41317813
-1.70068E-05,-51.44464981
-0.001513605,-51.57358377
0.001573129,-41.64566889
0.012329932,-7.993905484
0.01710034,6.059896093
0.01962585,12.3776601
0.022619048,18.4375562
0.02542517,22.95024478
0.02869898,27.84973523
0.033001701,33.13602757
0.037210884,37.51978219
0.040858844,40.74313118
0.046003401,44.22434808
0.05002551,47.18982915
0.054702381,49.38170646
0.058443878,51.05784793
0.06162415,51.83145169
0.064804422,52.08931961
0.064430272,50.41317813
0.065085034,50.02637626
0.060969388,38.55125387
0.054421769,18.05075432
0.049744898,3.352282945
0.047219388,-2.836547107
0.04460034,-10.18578279
0.041981293,-16.24567889
0.039268707,-21.78983914
0.036369048,-26.43146168
0.032908163,-30.29948046
0.030382653,-34.03856529
0.027108844,-37.00404635
0.024022109,-39.84059346
0.020748299,-42.16140473
0.017193878,-44.35328204
0.011862245,-46.80302727
0.007465986,-48.22130082
0.002040816,-49.8974423
-0.003290816,-51.44464981
-0.015357143,-53.76546108
-0.028452381,-55.57053651
-0.03462585,-56.34414027
-0.040518707,-56.73094214
-0.049591837,-57.24667798
-0.052678571,-57.5045459
-0.051743197,-54.41013088
-0.047440476,-42.03247077
-0.042763605,-27.59186732
-0.037712585,-13.79593366
-0.033503401,-3.352282945
-0.031819728,1.418273554
-0.028732993,7.607103606
-0.026488095,11.99085823
-0.024056122,16.63248077
-0.021062925,21.40303726
-0.018069728,25.27105605
-0.015544218,28.75227295
-0.012738095,32.1045559
-0.010586735,35.07003696
-0.008435374,37.00404635
-0.006377551,38.80912179
-0.00497449,39.84059346
-0.002636054,42.03247077
0.000544218,44.35328204
0.003443878,45.90048955
0.006062925,46.93196123
0.009804422,48.47916874
0.01672619,50.02637626
0.021777211,51.83145169
0.02795068,52.60505544
0.035901361,54.023329
0.043290816,55.05480067
0.049557823,55.69947047
0.056573129,55.95733839
0.06414966,56.47307423
0.063307823,53.63652712
0.061811224,47.83449894
0.061343537,47.18982915
