Total story drift angle (rad),Force in the actuator (kN)
-0.000331633,6.045281308
0.007168367,70.19956122
0.009770408,93.03982842
0.011377551,105.1317346
0.013367347,114.2006642
0.014438776,118.2312996
0.010612245,86.65798905
0.005255102,38.29036441
-0.000255102,-6.454375122
-0.002933673,-32.98608044
-0.005,-54.13973738
-0.007372449,-72.06656529
-0.009897959,-91.786076
-0.011734694,-103.976319
-0.012882653,-111.8641233
-0.014260204,-116.5250985
-0.014566327,-115.4494888
-0.008137755,-62.02754166
-0.004005102,-24.02266648
-0.000484694,7.388826437
0.001658163,29.55732107
0.006020408,70.5354475
0.01130102,114.5365505
0.012831633,124.9490252
0.013903061,132.6744097
0.015510204,140.3997942
0.0175,145.1022022
0.019489796,148.461065
0.021020408,150.1404964
0.019030612,132.3385234
0.010535714,58.44354134
0.005790816,15.11421093
0.001581633,-23.66412992
-0.00125,-43.02510407
-0.00377551,-65.25437068
-0.005918367,-80.67144269
-0.009744898,-106.1275383
-0.0125,-120.1104641
-0.014413265,-127.6397318
-0.016938776,-133.7348533
-0.018928571,-138.037292
-0.020612245,-140.5470479
-0.021989796,-141.6226576
-0.02244898,-141.6226576
-0.019158163,-110.429977
-0.010969388,-37.64705569
-0.00622449,4.701736179
-0.002321429,31.23675248
0.000816327,54.07701967
0.003112245,72.5507652
0.005714286,92.70394213
0.008316327,113.1930054
0.010306122,124.9490252
0.012142857,133.010296
0.01505102,141.7433393
0.016811224,148.1251787
0.019260204,154.5070181
0.023010204,160.5529712
0.028214286,164.9194928
0.030586735,165.2553791
0.033188776,165.2553791
0.029591837,130.9949783
0.023545918,84.64267136
0.017270408,29.22143478
0.013903061,5.037622461
0.009387755,-30.83486109
0.006020408,-52.70559114
0.002423469,-75.65193087
-0.001709184,-96.0885147
-0.004540816,-110.0714405
-0.00744898,-121.9031469
-0.01119898,-131.9421705
-0.013877551,-138.7543651
-0.017321429,-145.2080232
-0.021760204,-148.7933888
-0.025357143,-150.9446081
-0.02880102,-152.0202178
-0.034158163,-153.0958275
-0.038061224,-153.0958275
-0.041045918,-153.454364
-0.043188776,-154.8885103
-0.043954082,-154.8885103
-0.040204082,-122.9787566
-0.036836735,-91.42753944
-0.03247449,-51.98851803
-0.029183673,-22.9470568
-0.02627551,-0.000717073
-0.023979592,17.12952862
-0.022142857,30.56497991
-0.019540816,47.35929403
-0.016862245,60.79474532
-0.014030612,73.22253776
-0.010739796,82.96323995
-0.007219388,95.72691867
-0.004693878,104.459962
-0.002015306,112.8571191
0.002729592,124.2772527
0.006479592,133.010296
0.010382653,140.0639079
0.013826531,145.1022022
0.017270408,149.4687238
0.021096939,154.8429044
0.024234694,158.2017672
0.028979592,160.5529712
0.031811224,161.2247437
0.033954082,160.5529712
0.036556122,158.8735397
0.039158163,157.5299946
0.046658163,153.8352455
0.051938776,149.1328376
0.052704082,147.7892924
0.049336735,121.5901624
0.047040816,105.4676209
0.046045918,100.4293266
0.045433673,91.69628329
0.044438776,85.65033021
0.042984694,76.91728687
