Total story drift angle (rad),Force in the actuator (kN)
-3.34E-05,3.057722358
0.002974102,68.79875305
-0.002439432,-56.56786362
0.002974102,67.26989187
-0.002305764,-53.51014126
0.002907268,70.32761423
-0.002305764,-56.56786362
0.002907268,68.79875305
-0.002305764,-56.56786362
0.002974102,65.74103069
-0.002372598,-55.03900244
0.002974102,70.32761423
0.005179616,128.424339
-0.004845447,-126.8954778
0.005246449,129.9532002
-0.004845447,-123.8377555
0.005112782,128.424339
-0.005045948,-126.8954778
0.005179616,123.8377555
-0.005179616,-128.424339
0.005045948,126.8954778
-0.005246449,-129.9532002
0.005179616,123.8377555
-0.005112782,-128.424339
0.005246449,129.9532002
0.007786132,192.6365085
-0.007318296,-189.5787862
0.007585631,195.6942309
-0.007385129,-186.5210638
0.007786132,200.2808144
-0.007518797,-191.1076474
0.007719298,198.7519533
-0.007652464,-189.5787862
0.007852966,195.6942309
-0.007451963,-192.6365085
0.007986633,192.6365085
-0.007385129,-194.1653697
0.007719298,192.6365085
0.01005848,244.6177886
-0.01005848,-250.7332333
0.009857978,241.5600663
-0.009791145,-253.7909557
0.009657477,241.5600663
-0.009924812,-249.2043722
0.009924812,244.6177886
-0.009590643,-249.2043722
0.009924812,243.0889274
0.010860485,269.0795675
0.012063492,281.3104569
0.013065998,288.9547628
0.013734336,295.0702075
0.014603175,292.0124852
0.013667502,264.4929839
0.003308271,4.586583537
-0.003375104,-145.241812
-0.006984127,-214.040565
-0.009055973,-250.7332333
-0.010793651,-273.666151
-0.01273183,-298.1279299
-0.01380117,-310.3588193
-0.014402673,-313.4165417
-0.01540518,-313.4165417
-0.014536341,-290.483624
-0.01219716,-232.3868992
-0.010192147,-171.232452
-0.007117794,-90.20280955
-0.003776107,-10.70202825
-8.35E-04,53.51014126
0.001503759,108.5491437
0.004377611,165.1170073
0.007050961,212.5117039
0.00845447,235.4446216
0.009724311,258.3775392
0.01112782,273.666151
0.012397661,287.4259016
0.013533835,298.1279299
0.014469507,299.6567911
0.014937343,304.2433746
0.011929825,214.040565
0.005714286,50.4524189
0.001570593,-38.22152947
-0.002639933,-137.5975061
-0.005380117,-198.7519533
-0.007786132,-244.6177886
-0.01005848,-272.1372898
-0.011796157,-295.0702075
-0.01380117,-310.3588193
-0.015071011,-313.4165417
-0.015472013,-308.8299581
-0.011461988,-212.5117039
-0.008654971,-137.5975061
-0.005313283,-61.15444716
-0.002172097,29.0483624
0.001169591,99.37597663
0.003241437,146.7706732
0.006048454,200.2808144
0.008788638,243.0889274
0.01112782,275.1950122
0.012798663,295.0702075
0.014736842,313.4165417
0.01593985,328.7051535
0.016808688,334.8205982
0.018212197,336.3494594
0.019214703,337.8783205
0.019749373,328.7051535
0.019281537,307.301097
0.011996658,116.1934496
0.004912281,-51.98128008
-0.001102757,-172.7613132
-0.003107769,-206.3962592
-0.005045948,-233.9157604
-0.007050961,-259.9064004
-0.009323308,-287.4259016
-0.011996658,-308.8299581
-0.015472013,-336.3494594
-0.017811195,-350.10921
-0.019348371,-351.6380711
-0.020350877,-357.7535159
-0.020016708,-339.4071817
-0.016541353,-244.6177886
-0.012464495,-137.5975061
-0.008253968,-39.75039065
-0.004644946,44.33697419
-0.001303258,123.8377555
0.001570593,180.4056191
0.005179616,233.9157604
0.008788638,269.0795675
0.01273183,307.301097
0.014803676,321.0608476
0.016741855,337.8783205
0.018412698,337.8783205
0.019281537,330.2340146
0.019281537,314.9454029
0.014068505,184.9922026
0.008721805,50.4524189
0.001904762,-102.433699
-0.002439432,-186.5210638
-0.006649958,-250.7332333
-0.010125313,-287.4259016
-0.013065998,-319.5319864
-0.015338346,-333.291737
-0.017410192,-343.9937653
-0.01914787,-354.6957935
-0.020551378,-359.282377
-0.017944862,-281.3104569
-0.014001671,-178.8767579
-0.010860485,-99.37597663
-0.007117794,-10.70202825
-0.003107769,81.02964248
-1.67E-04,146.7706732
0.003174603,191.1076474
0.006516291,243.0889274
0.009724311,281.3104569
0.012865497,313.4165417
0.01647452,334.8205982
0.018212197,343.9937653
0.020083542,356.2246547
0.022489557,365.3978218
0.024628237,365.3978218
0.026432749,366.9266829
0.028103592,376.09985
0.0293066,376.09985
0.029774436,373.0421277
0.01807853,73.38533659
0.010392648,-88.67394838
0.007518797,-148.2995344
0.005714286,-178.8767579
0.002974102,-221.6848709
-3.01E-04,-258.3775392
-0.005112782,-305.7722358
-0.00845447,-324.1185699
-0.012531328,-354.6957935
-0.017142857,-371.5132665
-0.02075188,-380.6864335
-0.025497076,-395.9750453
-0.027368421,-403.6193512
-0.028905597,-411.2636571
-0.030242272,-405.1482124
-0.029573935,-373.0421277
-0.027502089,-316.474264
-0.024360902,-230.858038
-0.01968254,-122.3088943
-0.017209691,-59.62558598
-0.013934837,15.28861179
-0.011595656,65.74103069
-0.00845447,129.9532002
-0.005446951,183.4633415
-0.002974102,223.2137321
9.02E-04,267.5507063
0.005246449,299.6567911
0.009122807,325.6474311
0.013600668,350.10921
0.019482038,365.3978218
0.022155388,382.2152947
0.02663325,388.3307394
0.028437761,394.4461842
0.029507101,395.9750453
0.029908104,391.3884618
0.029974937,379.1575724
0.029974937,360.8112382
0.025898079,256.8486781
0.019548872,93.26053191
0.01273183,-50.4524189
0.007919799,-152.8861179
0.004177109,-204.867398
-3.34E-05,-255.3198169
-0.003842941,-296.5990687
-0.007786132,-331.7628758
-0.01166249,-348.5803488
-0.017811195,-371.5132665
-0.02235589,-386.8018783
-0.02609858,-395.9750453
-0.02877193,-400.5616289
-0.030175439,-402.09049
-0.030108605,-391.3884618
-0.029573935,-366.9266829
-0.024561404,-247.675511
-0.020016708,-133.0109226
-0.015071011,-13.75975061
-0.010994152,76.44305894
-0.007251462,151.3572567
-0.004177109,207.9251203
-0.001035923,246.1466498
0.002506266,282.8393181
0.008053467,325.6474311
0.012464495,343.9937653
0.01647452,363.8689606
0.021019215,376.09985
0.02449457,386.8018783
0.026766917,389.8596006
0.028504595,399.0327677
0.030108605,399.0327677
0.031712615,403.6193512
0.036056809,414.3213795
0.038262322,411.2636571
0.040066834,409.7347959
0.02556391,35.16380711
0.01754386,-140.6552285
0.01380117,-201.8096756
0.011528822,-238.5023439
0.008855472,-270.6084287
0.006182122,-298.1279299
0.003441938,-324.1185699
3.01E-04,-342.4649041
-0.004511278,-377.6287112
-0.010726817,-411.2636571
-0.016875522,-434.1965748
-0.022222222,-455.6006313
-0.028103592,-477.0046878
-0.033116124,-492.2932996
-0.036324144,-499.9376055
-0.03893066,-507.5819114
-0.040467836,-506.0530502
-0.039264829,-461.716076
-0.035522139,-343.9937653
-0.03037594,-220.1560098
-0.026432749,-117.7223108
-0.023893066,-56.56786362
-0.019816207,44.33697419
-0.016741855,103.9625602
-0.01380117,160.5304238
-0.011395155,195.6942309
-0.009390142,218.6271486
-0.006917293,253.7909557
-0.005045948,275.1950122
-0.002372598,299.6567911
0.001503759,327.1762923
0.005914787,348.5803488
0.01059315,365.3978218
0.015538847,380.6864335
0.019949875,388.3307394
0.0239599,399.0327677
0.028705096,409.7347959
0.033316625,417.3791018
0.03625731,425.0234077
0.037727652,425.0234077
0.039331662,426.5522689
0.04,421.9656854
0.03946533,389.8596006
0.034519632,261.4352616
0.026766917,68.79875305
0.020083542,-77.97192012
0.011929825,-223.2137321
0.003308271,-313.4165417
-0.001303258,-340.9360429
-0.005246449,-366.9266829
-0.009390142,-382.2152947
-0.012664996,-400.5616289
-0.016608187,-415.8502407
-0.021152882,-423.4945466
-0.025630744,-443.3697419
-0.029039265,-452.542909
-0.031846282,-460.1872148
-0.033984962,-469.3603819
-0.036457811,-481.5912714
-0.039131161,-483.1201325
-0.04,-484.6489937
-0.039866332,-447.9563254
-0.038262322,-403.6193512
-0.034920635,-308.8299581
-0.031578947,-229.3291768
-0.027301587,-120.7800331
-0.02342523,-29.0483624
-0.020417711,45.86583537
-0.017276525,100.9048378
-0.013400167,163.5881461
-0.010192147,215.5694262
-0.007919799,244.6177886
-0.005112782,278.2527346
-0.001704261,313.4165417
7.69E-04,327.1762923
0.00845447,360.8112382
0.01647452,377.6287112
0.026031746,408.2059348
0.030576441,415.8502407
0.033984962,428.0811301
0.036992481,428.0811301
0.03839599,428.0811301
0.039398496,429.6099913
0.039933166,426.5522689
0.035321637,278.2527346
0.02984127,142.1840896
0.022289056,-39.75039065
0.015806182,-157.4727014
0.012130326,-209.4539815
0.006984127,-279.7815957
0.003107769,-321.0608476
-0.001971596,-348.5803488
-0.005914787,-366.9266829
-0.011595656,-391.3884618
-0.01807853,-409.7347959
-0.022957393,-420.4368242
-0.029172932,-432.6677136
-0.033182957,-438.7831583
