Total story drift angle (rad),Force in the actuator (kN)
0,0
0.002873105,50.1920615
-0.003256185,-49.93073234
0.000319234,-4.854376755
0.003128492,51.6261204
-0.003256185,-49.23724994
0.00019154,-3.467411968
0.002873105,48.7580026
-0.003128492,-48.54376755
-0.00019154,-3.467411968
0.002745411,48.04097315
-0.003128492,-51.31769712
-6.38468E-05,-2.773929574
0.002873105,50.90909095
-0.003383879,-50.62421473
-0.00019154,-2.773929574
0.004916201,93.2138285
-0.005171588,-81.13744005
-0.000446927,-3.467411968
0.004916201,95.36491685
0.002873105,45.17285535
-0.004533121,-77.67002808
-0.005171588,-81.83092244
-0.001340782,-8.321788723
0.004788508,93.93085795
0.000957702,10.0384123
-0.005299282,-81.83092244
-6.38468E-05,1.4340589
0.004405427,93.93085795
-0.000319234,-3.467411968
-0.005299282,-81.13744005
-0.00019154,-2.773929574
0.004916201,93.93085795
-0.005426975,-81.13744005
0.004788508,93.2138285
-0.005043895,-80.44395765
0.00019154,0
0.006703911,126.9142126
0.007214685,133.3674777
0.004660814,84.6094751
-0.000446927,-3.467411968
-0.007342378,-122.0529013
-0.004788508,-77.67002808
-0.000319234,0
0.007342378,133.3674777
-0.007086991,-117.8920069
-0.007470072,-123.4398661
0.00019154,-2.080447181
0.006703911,130.4993599
-0.006448524,-110.2637006
-0.007470072,-124.8268308
6.38468E-05,2.15108835
0.006831604,133.3674777
-0.000446927,-6.241341542
-0.007342378,-126.907278
-6.38468E-05,0
0.006831604,134.8015366
6.38468E-05,-3.467411968
-0.007470072,-124.8268308
-0.000446927,-2.080447181
0.006959298,131.2163893
-0.000446927,-2.080447181
-0.007342378,-126.2137956
-0.000319234,-3.467411968
0.007086991,134.8015366
-0.007597765,-126.2137956
-0.000446927,-2.773929574
0.009130088,177.8233036
0.008874701,169.9359796
0.007342378,140.5377722
-0.007597765,-126.907278
-6.38468E-05,-3.467411968
0.009002394,176.3892447
0.004022346,70.2688861
-0.006831604,-119.9724541
-0.007470072,-126.907278
-0.000574621,-1.386964787
0.008874701,177.8233036
0.00019154,-1.386964787
-0.007725459,-125.5203132
-0.000574621,-0.693482394
0.009513168,182.1254803
-6.38468E-05,-5.547859148
-0.007470072,-124.8268308
-0.00019154,1.4340589
0.009640862,184.2765686
-0.007470072,-126.2137956
0.009640862,179.9743919
0.010407023,187.8617159
0.012322426,197.1830987
0.014237829,204.3533932
0.014748603,202.2023049
0.013599362,163.4827146
0.010534717,110.4225353
0.007470072,60.2304738
0.003766959,5.7362356
0.000446927,-45.07635558
-0.003383879,-104.7158414
-0.006831604,-135.9225491
-0.010407023,-170.5966688
-0.012194733,-180.3054223
-0.014748603,-190.7076582
-0.01462091,-168.5162216
-0.010917797,-101.9419119
-0.008363927,-54.0916267
-0.005682362,-15.25661266
-0.003639266,15.05761845
-0.001340782,45.17285535
0.001213089,84.6094751
0.003766959,121.8950065
0.00632083,151.2932139
0.007980846,172.8040974
0.010407023,187.8617159
0.0128332,200.768246
0.014748603,205.7874521
0.014748603,193.5979515
0.009768555,94.6478874
0.004916201,19.35979515
0.001468476,-33.28715489
-0.003894653,-105.4093238
-0.010407023,-167.1292568
-0.014365523,-190.7076582
-0.015387071,-193.4815878
-0.012067039,-114.4245949
-0.00849162,-54.0916267
-0.005171588,-6.934823936
-0.001596169,39.43661975
0.000957702,78.8732395
0.002873105,109.7055058
0.005299282,141.2548016
0.007086991,159.1805379
0.009257781,179.9743919
0.012960894,198.6171576
0.015514765,208.6555699
0.017557861,215.8258644
0.019473264,218.6939822
0.019728651,212.9577466
0.018068635,167.7848913
0.01500399,108.9884764
0.01066241,45.8898848
0.00632083,-15.95009505
0.001213089,-85.29833441
-0.002873105,-124.8268308
-0.006576217,-151.1791618
-0.011173184,-181.6923871
-0.015514765,-196.2555174
-0.019217877,-205.9642709
-0.019728651,-204.5773061
-0.017047087,-142.1638907
-0.014110136,-85.9918168
-0.011556265,-47.85028516
-0.009002394,-9.015271116
-0.006065443,30.83226635
-0.003894653,65.24967995
-0.000702314,101.1011524
0.002106943,126.9142126
0.005682362,157.746479
0.008363927,177.8233036
0.012194733,197.1830987
0.015387071,206.5044816
0.017940942,216.5428939
0.019728651,217.9769528
0.016919393,146.9910372
0.009257781,23.66197185
0.004788508,-38.83501404
-0.000830008,-108.8767358
-0.007214685,-154.6465738
-0.011173184,-180.9989047
-0.015770152,-194.1750702
-0.01896249,-205.2707885
-0.019856345,-205.2707885
-0.016919393,-134.5355844
-0.0128332,-65.88082739
-0.01066241,-31.20670771
-0.008236233,3.58514725
-0.004916201,50.90909095
-0.001723863,91.06274015
0.001723863,124.7631243
0.005043895,156.3124201
0.008619314,177.8233036
0.0128332,197.9001282
0.018707103,223.7131884
0.020622506,230.8834829
0.022665603,234.4686301
0.02547486,234.4686301
0.028156425,232.3175418
0.030327215,229.449424
0.028156425,192.880922
0.025347167,132.6504482
0.021644054,73.85403335
0.017430168,9.32138285
0.0128332,-49.93073234
0.009130088,-95.00708792
0.00236233,-139.3899611
-0.002106943,-165.0488097
-0.006065443,-180.3054223
-0.010917797,-194.8685526
-0.015642458,-205.9642709
-0.020239425,-215.6730244
-0.025219473,-221.9143659
-0.029561053,-222.6078483
-0.029688747,-214.2860596
-0.02547486,-136.6160315
-0.020877893,-55.47859148
-0.018196329,-13.86964787
-0.015387071,22.9449424
-0.012577813,65.9667094
-0.009513168,97.5160052
