Total story drift angle (rad),Force in the actuator (kN)
0,0
-0.005040475,-281.1611766
-4.03238E-05,2.797623648
0.003588818,222.41108
0.004677561,289.5540475
0.005080799,303.5421658
0.003064609,166.458607
0.000120971,-9.791682767
-0.002540399,-142.678806
-0.003951732,-226.6075155
-0.005121123,-285.3576121
-0.0008468,-34.9702956
0.001290362,93.7203922
0.003225904,205.6253381
0.004395294,268.5718702
0.005040475,307.7386013
0.005121123,318.9290958
0.005887275,355.2982033
0.00689537,391.6673107
0.007298608,401.4589935
0.007661522,412.6494881
0.008226055,425.2387945
0.008347027,422.4411708
0.007621198,365.089886
0.00637116,285.3576121
0.005282418,226.6075155
0.004475942,170.6550425
0.003306552,96.51801585
0.002298457,46.16079019
0.000443562,-46.16079019
-0.000483886,-103.512075
-0.001975866,-179.0479135
-0.002782342,-226.6075155
-0.004193675,-296.5481067
-0.005363065,-338.5124614
-0.006613103,-380.4768161
-0.007621198,-408.4530526
-0.008306703,-418.2447353
-0.00891156,-425.2387945
-0.009193826,-426.6376063
-0.008588969,-379.0780043
-0.007822817,-330.1195904
-0.006814722,-276.9647411
-0.005605008,-195.8336553
-0.003750113,-83.92870943
-0.002258133,-15.38693006
-0.000927447,62.94653208
0.000201619,125.8930642
0.001774247,198.631279
0.003024285,251.7861283
0.003871085,289.5540475
0.004798532,335.7148377
0.006008246,380.4768161
0.006532456,401.4589935
0.00689537,419.6435472
0.007621198,436.4292891
0.008629293,450.4174073
0.009274474,461.6079019
0.010040626,476.9948319
0.010524512,476.9948319
0.011129369,481.1912674
0.011451959,481.1912674
0.011572931,472.7983965
0.011451959,450.4174073
0.01092775,418.2447353
0.008306703,262.9766229
0.005564684,103.512075
0.003548494,-4.196435472
0.001129066,-116.1013814
-0.001371009,-243.3932574
-0.002459752,-279.7623648
-0.003588818,-318.9290958
-0.005322742,-373.482757
-0.006693751,-411.2506762
-0.007621198,-435.0304772
-0.008427674,-446.2209718
-0.009556741,-465.8043374
-0.01040354,-472.7983965
-0.010968074,-479.7924556
-0.011572931,-479.7924556
-0.011048721,-426.6376063
-0.009032531,-313.3338486
-0.007177636,-202.8277145
-0.005645332,-104.9108868
-0.003992056,-19.58336553
-0.002379104,57.35128478
-0.001371009,113.3037577
-0.000120971,170.6550425
0.000967771,222.41108
0.002661371,278.363553
0.004475942,345.5065205
0.005685656,383.2744397
0.006855046,418.2447353
0.008105084,449.0185955
0.009879331,476.9948319
0.010968074,497.9770093
0.012298759,511.9651275
0.013750416,520.3579985
0.014677863,530.1496813
0.015726282,532.9473049
0.016492434,534.3461167
0.016250491,513.3639394
0.012822968,303.5421658
0.008588969,74.13702667
0.00637116,-36.36910742
0.004153351,-141.2799942
0.002540399,-218.2146445
0.000120971,-296.5481067
-0.001290362,-337.1136496
-0.003306552,-381.8756279
-0.005080799,-422.4411708
-0.007298608,-460.2090901
-0.008951884,-490.9829502
-0.010242245,-507.7686921
-0.011814873,-520.3579985
-0.013145559,-527.3520576
-0.014193978,-532.9473049
-0.015000454,-534.3461167
-0.014718187,-496.5781975
-0.012903616,-386.0720634
-0.011089045,-271.3694938
-0.009798683,-201.4289026
-0.007984112,-102.1132631
-0.006976017,-43.36316654
-0.006008246,0
-0.004395294,64.3453439
-0.002822666,127.291876
-0.001048419,197.2324672
0.000685505,265.7742465
0.002096838,324.5243431
0.003669466,372.0839452
0.005040475,411.2506762
0.007621198,456.0126546
0.009556741,489.5841384
0.011371312,511.9651275
0.013952035,537.1437404
0.016169844,555.3282941
0.017702148,565.1199769
0.0193151,574.9116596
0.020323195,576.3104714
0.0210087,576.3104714
0.021411938,574.9116596
0.021250643,555.3282941
0.02048449,497.9770093
0.020081252,474.1972083
0.019032834,418.2447353
0.017258586,318.9290958
0.014597216,166.458607
0.012661673,65.74415572
0.010968074,-11.19049459
0.009314798,-89.52395673
0.007177636,-170.6550425
0.005927599,-215.4170209
0.005363065,-247.5896928
0.004596913,-274.1671175
0.002580723,-332.9172141
0.000483886,-386.0720634
-0.001451657,-421.042359
-0.002943637,-442.0245364
-0.005806627,-481.1912674
-0.008951884,-516.161563
-0.011129369,-541.3401758
-0.012016492,-546.9354231
-0.013629444,-558.1259177
-0.015444015,-565.1199769
-0.016815025,-572.114036
-0.017500529,-572.114036
-0.018669919,-566.5187887
-0.0193151,-567.9176005
-0.019436072,-567.9176005
-0.018911862,-523.1556221
-0.017097291,-405.6554289
-0.015524663,-313.3338486
-0.014032682,-223.8098918
-0.012137464,-120.2978169
-0.010726131,-46.16079019
-0.009476093,19.58336553
-0.007903465,96.51801585
-0.006451808,160.8633597
-0.004435618,236.3991982
-0.00233878,306.3397894
-0.000201619,358.0958269
0.001895219,405.6554289
0.004113028,447.6197836
0.006088894,481.1912674
0.008629293,506.3698803
0.010524512,527.3520576
0.012298759,545.5366113
0.013952035,560.9235414
0.016250491,572.114036
0.017782796,581.9057187
0.019557043,593.0962133
0.0210087,597.2926488
0.022944242,609.8819552
0.024637842,609.8819552
0.026089499,607.0843316
0.027178241,605.6855197
0.027863746,604.2867079
0.028307308,597.2926488
0.028105689,576.3104714
0.025565289,436.4292891
0.022944242,290.9528594
0.02048449,159.4645479
0.018508624,65.74415572
0.017258586,-5.595247296
0.015968225,-57.35128478
0.014597216,-100.7144513
0.01379074,-145.4764297
0.012984264,-177.6491016
0.012339083,-201.4289026
0.011572931,-233.6015746
0.00975836,-289.5540475
0.00774217,-337.1136496
0.006088894,-379.0780043
0.003911409,-409.8518644
0.002258133,-432.2328536
0.000241943,-467.2031492
-0.0016936,-486.7865147
-0.003750113,-510.5663157
-0.005484037,-525.9532458
-0.006774398,-535.7449286
-0.008024436,-542.7389877
-0.009355122,-548.334235
-0.010564836,-549.7330468
-0.011572931,-545.5366113
-0.012258435,-537.1437404
-0.012661673,-514.7627512
-0.013548797,-440.6257245
-0.013669768,-423.8399826
-0.013548797,-402.8578053
-0.012661673,-344.1077087
-0.011330988,-264.3754347
-0.008105084,-109.1073223
-0.006653427,-46.16079019
-0.00604857,-22.38098918
-0.005685656,-1.398811824
