Total story drift angle (rad),Force in the actuator (kN)
0,0
0.001673122,26.18549594
0.003284276,50.15188206
0.0051433,78.55648782
0.006878389,103.4105179
0.008365608,118.5004647
0.009976762,131.8151236
0.012083656,142.4668508
0.014314485,151.3432901
0.016297444,156.6691537
0.018156468,161.1073733
0.019519752,163.7703051
0.018528273,135.3656994
0.016669249,98.08465429
0.010472502,7.544973407
0.003408211,-74.11826817
6.82E-04,-97.19701036
-0.002292796,-118.5004647
-0.004771495,-131.8151236
-0.007993803,-147.7927144
-0.010844307,-157.5567976
-0.01419055,-168.2085248
-0.017164988,-176.1973201
-0.020511232,-183.2984716
-0.019767622,-164.6579491
-0.018032533,-125.6016161
-0.016173509,-93.64643464
-0.01369481,-52.81481385
-0.011959721,-27.9607838
-0.009976762,-1.331465895
-0.006754454,38.61251096
-0.004027885,67.90476066
-0.001797057,90.98350285
6.82E-04,111.3993132
0.003036406,125.6016161
0.006258714,145.1297826
0.009109218,155.7815098
0.012083656,165.545593
0.01493416,173.5343884
0.017288923,178.8602519
0.019891557,185.0737595
0.019891557,169.0961687
0.018776143,145.1297826
0.01419055,64.35418494
0.007745933,-20.85963236
0.001549187,-85.65763927
-0.001920991,-117.6128208
-0.006878389,-141.5792069
-0.011092177,-157.5567976
-0.015429899,-170.8714566
-0.018032533,-179.7478959
-0.021006971,-184.1861155
-0.017536793,-116.7251768
-0.012951201,-43.05073062
-0.010224632,-5.769685546
-0.007126259,34.17429131
-0.003780015,69.68004852
8.06E-04,111.3993132
0.002912471,122.9386843
0.00539117,138.9162751
0.007869868,147.7927144
0.011216112,161.1073733
0.016421379,177.972608
0.020511232,186.8490473
0.02422928,194.8378427
0.028443067,201.0513502
0.032161115,205.4895698
0.035135554,208.1525016
0.037614253,209.9277895
0.039721146,213.4783652
0.038729667,182.4108277
0.035011619,120.2757525
0.029434547,31.51135952
0.024848954,-25.29785201
0.019891557,-81.21941962
0.016173509,-106.0734497
0.012331526,-123.8263283
0.008241673,-140.6915629
0.004027885,-156.6691537
-0.001301317,-170.8714566
-0.007498064,-183.2984716
-0.01419055,-193.0625548
-0.020139427,-202.8266381
-0.027203718,-208.1525016
-0.034020139,-217.0289409
-0.040836561,-221.4671606
-0.039101472,-187.7366912
-0.036003098,-132.7027676
-0.03302866,-75.89355603
-0.029062742,-19.0843445
-0.026088304,17.30905664
-0.022618125,55.47774564
-0.019519752,83.88235141
-0.016793184,105.1858057
-0.01369481,125.6016161
-0.009976762,143.3544947
-0.005515105,159.3320855
-6.82E-04,172.6467444
0.005019365,185.0737595
0.011835786,194.8378427
0.018280403,204.6019259
0.025344694,211.7030774
0.030302091,216.141297
0.034515879,221.4671606
0.037242448,222.3548045
0.039349342,222.3548045
0.039969016,220.5795167
0.038109992,170.8714566
0.034763749,111.3993132
0.030549961,44.82601848
0.024972889,-27.9607838
0.020511232,-76.78119996
0.01369481,-118.5004647
0.007374129,-146.0174265
6.20E-05,-166.4332369
-0.011587916,-189.5119791
-0.024105345,-206.3772138
-0.032161115,-212.5907213
-0.038357862,-221.4671606
-0.040712626,-221.4671606
-0.037242448,-146.9050705
-0.03228505,-65.24182887
-0.027947328,-8.432617337
-0.024725019,35.06193524
-0.019891557,76.78119996
-0.017041053,102.5228739
-0.01419055,121.1633965
-0.010720372,138.9162751
-0.007126259,150.4556462
-0.003036406,164.6579491
0.001673122,177.0849641
0.007250194,186.8490473
0.01394268,199.2760623
0.020511232,204.6019259
0.029062742,213.4783652
0.039721146,227.6806681
0.041332301,229.455956
0.059922541,235.6694635
0.059674671,225.9053802
0.058931061,207.2648577
0.056204493,151.3432901
0.049388071,45.71366241
0.042199845,-35.06193524
0.035135554,-97.19701036
0.031169636,-121.1633965
0.026088304,-145.1297826
0.02274206,-158.4444415
0.018652208,-166.4332369
0.013075136,-177.0849641
0.006754454,-188.6243352
-6.82E-04,-198.3884184
-0.009481022,-208.1525016
-0.020387297,-220.5795167
-0.034391944,-228.568312
-0.04158017,-230.3435999
-0.04306739,-232.1188878
-0.043563129,-229.455956
-0.044678544,-230.3435999
-0.046661503,-233.8941756
-0.059674671,-238.3323953
-0.06091402,-238.3323953
-0.058807126,-194.8378427
-0.054841208,-125.6016161
-0.049140201,-45.71366241
-0.045546088,5.769685546
-0.040712626,56.36538957
-0.037118513,89.20821499
-0.03377227,112.2869572
-0.030921766,133.5904115
-0.026584043,151.3432901
-0.02274206,164.6579491
-0.017536793,177.0849641
-0.012207591,189.5119791
-0.005515105,195.7254866
0.007621998,209.9277895
0.021130906,218.8042288
0.031665376,225.9053802
0.039969016,232.1188878
0.048148722,238.3323953
0.053973664,240.1076831
0.058063517,240.1076831
0.06066615,240.9953271
0.050503486,67.01711673
0.039969016,-56.36538957
0.036374903,-87.43292713
0.031045701,-121.1633965
0.026460108,-147.7927144
0.010968242,-180.6355398
6.20E-05,-199.2760623
-0.008985283,-207.2648577
-0.022618125,-215.2536531
-0.032161115,-216.141297
-0.037738187,-218.8042288
-0.040216886,-218.8042288
-0.041208366,-213.4783652
-0.043563129,-213.4783652
-0.045793958,-217.0289409
-0.060170411,-218.8042288
-0.059674671,-199.2760623
-0.056948102,-151.3432901
-0.050503486,-58.14067743
-0.045050349,10.2079052
-0.037118513,84.76999534
-0.032408985,119.3881086
-0.028319132,136.2533433
-0.02373354,154.0062219
-0.018528273,167.3208808
-0.009481022,183.2984716
-1.86E-04,199.2760623
0.015925639,211.7030774
0.03327653,226.7930242
0.047776917,226.7930242
0.056080558,232.1188878
0.060170411,232.1188878
0.055213013,138.0286311
0.046537568,11.09554913
0.035879163,-87.43292713
0.031045701,-118.5004647
0.027699458,-130.9274797
0.023857475,-141.5792069
0.019024012,-154.0062219
0.01493416,-161.1073733
0.009109218,-167.3208808
0.001673122,-175.3096762
-0.003780015,-175.3096762
-0.015429899,-180.6355398
-0.026955848,-176.1973201
-0.038357862,-172.6467444
-0.044802479,-172.6467444
-0.050255616,-172.6467444
-0.05137103,-165.545593
-0.060294345,-169.9838126
-0.058807126,-138.9162751
-0.056700232,-107.8487375
-0.053849729,-75.0059121
-0.050627421,-36.8372231
-0.048520527,-10.2079052
