Total story drift angle (rad),Force in the actuator (kN)
6.21E-04,-34.54929398
-0.001862528,-237.5263961
7.10E-04,-43.18661748
0.002838137,177.0651317
-0.002217295,-228.8890726
0.002749446,168.4278082
-0.002394678,-224.5704109
0.002749446,168.4278082
-0.002039911,-237.5263961
0.003015521,181.3837934
-0.001862528,-237.5263961
0.002749446,172.7464699
-0.002217295,-237.5263961
-0.003902439,-384.3608955
0.004700665,362.7675868
-0.003636364,-388.6795573
0.004966741,358.448925
-0.00345898,-392.998219
0.004878049,362.7675868
-0.003813747,-392.998219
0.004700665,362.7675868
-0.00345898,-388.6795573
0.004789357,367.0862485
-0.003547672,-392.998219
-0.005498891,-539.8327184
0.006829268,552.7887037
-0.005232816,-565.7446889
0.007006652,535.5140567
-0.005498891,-552.7887037
0.006563193,548.4700419
-0.005853659,-539.8327184
0.006651885,539.8327184
-0.005321508,-561.4260272
0.007006652,548.4700419
-0.005498891,-552.7887037
-0.00789357,-747.1284823
0.009490022,768.7217911
-0.007627494,-738.4911588
0.009312639,768.7217911
-0.008070953,-738.4911588
0.00886918,764.4031293
-0.007538803,-725.5351736
-0.008780488,-824.8643938
-0.010110865,-881.0069965
-0.011618625,-898.2816435
-0.012771619,-898.2816435
-0.012505543,-850.7763643
-0.006385809,-306.6249841
3.55E-04,259.1197049
0.006563193,669.3925709
0.008514412,768.7217911
0.010110865,829.1830555
0.011618625,876.6883348
0.012682927,885.3256583
0.013569845,898.2816435
0.013569845,850.7763643
0.013303769,785.9964381
0.011973392,699.6232031
0.010465632,548.4700419
0.00691796,202.9771021
0.001419069,-215.9330874
-0.002128603,-500.9647627
-0.004079823,-643.4806004
-0.006208426,-768.7217911
-0.00886918,-842.1390408
-0.010731707,-889.64432
-0.01232816,-902.6003052
-0.01286031,-898.2816435
-0.010465632,-639.1619386
-0.0054102,-220.2517491
-0.001685144,60.46126447
0.001862528,384.3608955
0.004789357,583.0193359
0.008248337,777.3591146
0.011263858,876.6883348
0.012505543,902.6003052
0.01383592,902.6003052
0.013303769,794.6337616
0.012062084,699.6232031
0.008248337,362.7675868
0.003991131,-56.14260272
4.43E-04,-336.8556163
-0.002572062,-539.8327184
-0.005498891,-734.1724971
-0.008514412,-842.1390408
-0.010997783,-898.2816435
-0.011884701,-950.1055845
-0.014101996,-984.6548784
-0.015609756,-993.2922019
-0.017472284,-1006.248187
-0.017649667,-984.6548784
-0.016141907,-842.1390408
-0.011796009,-466.4154687
-0.005853659,12.95598524
-0.00195122,315.2623076
0.001507761,539.8327184
0.004700665,708.2605266
0.008248337,833.5017173
0.012505543,928.5122757
0.015609756,1001.929525
0.017560976,1023.522834
0.018802661,1023.522834
0.01827051,937.1495992
0.015077605,626.2059534
0.008425721,47.50527922
0.00443459,-293.6689988
8.87E-05,-578.7006742
-0.003547672,-773.0404528
-0.007095344,-898.2816435
-0.010554324,-967.3802315
