Total story drift angle (rad),Force in the actuator (kN)
0.000321357,22.04983447
0.000558997,42.44177227
0.001194801,84.25598944
0.001827846,130.0063934
0.002418,169.6711854
0.002940654,201.9074474
0.003406327,232.286132
0.003371397,230.0006357
0.002501699,163.5032814
0.001900705,124.0293181
0.001267923,79.30244986
0.000633231,35.20295885
7.67E-05,-3.916294365
7.87E-05,-2.251645292
-2.85E-06,-8.064358868
-0.000638658,-50.53313184
-0.001274744,-93.00208275
-0.001888385,-137.9740479
-0.002392718,-172.7791579
-0.002998423,-214.0252926
-0.003327308,-236.2721833
-0.003326487,-231.6740567
-0.002612468,-174.6278388
-0.002125782,-142.0948804
-0.001566718,-96.49527117
-0.00091759,-56.32560601
-0.000249064,-14.0750183
-7.63E-05,0.906818904
0.000353479,30.05174031
0.000989288,75.18161737
0.001624558,118.2301716
0.002278981,161.2449192
0.002781199,196.3738597
0.003310378,231.0984568
0.002300564,156.100551
0.001663904,112.8540509
0.001029462,67.506211
0.000393938,25.89011763
2.79E-05,-1.365145864
4.54E-05,2.598557646
-0.000242415,-18.83719539
-0.000876564,-61.11500621
-0.001511814,-101.4826172
-0.002060846,-145.6494543
-0.002546404,-179.0146749
-0.003171442,-222.1028182
-0.003326744,-236.8726932
-0.00332509,-230.4120962
-0.002690378,-181.4909999
-0.002198724,-145.8469554
-0.001581141,-100.6636996
-0.000948365,-57.15119594
-0.000312003,-17.18610449
-1.31E-05,-1.788078326
0.000481034,38.7911168
0.001116282,81.21918855
0.001749628,124.6907686
0.002443385,172.5772086
0.002996436,211.7580341
0.003341436,236.7267916
0.003387744,231.1122463
0.002519712,170.9331459
0.001979436,133.2455884
0.001346955,91.63692354
0.000729718,45.8794024
9.23E-05,5.109093883
6.18E-05,-1.140132575
7.95E-05,3.628801354
-0.000558522,-40.49794391
-0.001192391,-82.11417074
-0.001826526,-124.8077568
-0.002344115,-164.3613433
-0.00293325,-205.2453928
-0.003342269,-237.493665
-0.003324538,-230.6233867
-0.003389692,-237.9095737
-0.002469859,-166.6735289
-0.001972686,-128.9690681
-0.001344885,-84.8293652
-0.000709622,-42.36050326
-7.52E-05,-1.371916058
4.94E-06,3.833499616
3.01E-06,2.591783005
