Total story drift angle (rad),Force in the actuator (kN)
0,0
0.001071242,65.41502353
-0.000238054,0
-0.001428322,-39.24901412
-0.000476107,-2.616600941
0.000833188,60.18182165
-0.001666376,-39.24901412
-0.000476107,0
0.000952215,65.41502353
-0.001309295,-34.01581224
-0.000238054,7.849802824
0.000952215,73.26482635
-0.001904429,-39.24901412
-0.000476107,2.616600941
0.001309295,65.41502353
-0.002023456,-39.24901412
-0.000238054,0
0.001071242,62.79842259
-0.001904429,-44.482216
-0.000833188,0
0.002142483,102.0474367
-0.003094698,-73.26482635
0.002142483,102.0474367
-0.002856644,-78.49802824
0.002142483,99.43083576
-0.003451778,-81.11462918
-0.000476107,-2.616600941
0.002023456,94.19763388
-0.003094698,-83.73123012
-0.000357081,0
0.002023456,104.6640376
-0.002975671,-88.964432
-0.000357081,-10.46640376
0.00226151,99.43083576
-0.003332751,-88.964432
-0.000238054,13.08300471
0.004046912,156.9960565
-0.004284966,-120.3636433
-0.000476107,0
0.003689832,159.6126574
-0.004284966,-122.9802442
-0.000119027,2.616600941
0.004046912,159.6126574
-0.004165939,-122.9802442
-0.000476107,-2.616600941
0.003927886,164.8458593
-0.004403993,-125.5968452
-0.000357081,7.849802824
0.003808859,164.8458593
-0.004165939,-117.7470424
-0.000119027,7.849802824
0.003570805,156.9960565
-0.004403993,-122.9802442
0.003213725,156.9960565
0.004642047,183.1620659
0.005832315,206.7114744
0.006903557,219.7944791
0.006546476,191.0118687
0.004761073,120.3636433
0.002142483,26.16600941
0.000119027,-36.63241318
-0.002380537,-102.0474367
-0.004403993,-141.2964508
-0.006070369,-154.3794555
-0.006665503,-146.5296527
-0.005237181,-96.81423482
-0.00261859,0
-0.001071242,54.94861976
0.000833188,112.5138405
0.002142483,141.2964508
0.003927886,172.6956621
0.005475234,198.8616715
0.006903557,219.7944791
0.005832315,156.9960565
0.004046912,81.11462918
0.001309295,0
-0.001309295,-70.64822541
-0.003570805,-122.9802442
-0.006070369,-143.9130518
-0.004165939,-49.71541788
-0.001071242,65.41502353
0.001547349,138.6798499
0.002856644,172.6956621
0.004284966,185.7786668
0.006070369,217.1778781
0.00678453,217.1778781
0.0048801,125.5968452
0.001071242,2.616600941
-0.001904429,-91.58103294
-0.004642047,-136.0632489
-0.00678453,-141.2964508
