Total story drift angle (rad),Force in the actuator (kN)
0.000273202,-8.373123012
0.002549882,48.14545732
-0.001730277,-53.3786592
0.002549882,46.05217656
-0.001730277,-54.42529958
0.002823084,45.00553619
-0.001821344,-53.3786592
0.002458815,46.05217656
-0.001730277,-52.33201882
0.002549882,49.19209769
-0.00163921,-52.33201882
0.002732017,49.19209769
0.00391589,84.77787049
-0.003460554,-91.05771275
0.004006958,85.82451087
-0.00327842,-88.964432
0.003824823,83.73123012
-0.00327842,-91.05771275
0.003824823,84.77787049
-0.003460554,-93.15099351
0.003733756,83.73123012
-0.003369487,-91.05771275
0.00391589,91.05771275
0.005828302,126.6434856
-0.004826562,-127.6901259
0.005919369,122.456924
-0.004826562,-127.6901259
0.005646167,125.5968452
-0.005099764,-123.5035644
0.005828302,127.6901259
-0.004553361,-123.5035644
0.005646167,125.5968452
-0.004826562,-121.4102837
0.006010436,127.6901259
-0.005190831,-124.5502048
0.005646167,122.456924
0.006101504,130.8300471
0.006738974,139.2031701
0.007467512,146.5296527
0.007012176,125.5968452
0.005372966,76.40474748
0.002185613,4.186561506
-0.000273202,-49.19209769
-0.002094546,-85.82451087
-0.003733756,-116.1770818
-0.005099764,-138.1565297
-0.006647907,-158.0426968
-0.007831781,-163.2758987
-0.006010436,-117.2237222
-0.002732017,-43.95889581
0.000182134,26.16600941
0.003824823,96.29091464
0.00719431,144.436372
0.004826562,61.75178221
-0.000728538,-64.89170334
-0.004280159,-118.2703625
-0.006010436,-156.9960565
-0.007467512,-167.4624602
-0.005099764,-94.19763388
-0.000819605,5.233201882
0.002823084,75.35810711
0.005828302,123.5035644
0.007649646,151.7628546
0.005372966,76.40474748
0.002823084,19.88616715
-9.10672E-05,-47.09881694
-0.003005218,-102.5707569
-0.005190831,-138.1565297
-0.00655684,-160.1359776
-0.007831781,-159.0893372
-0.001001739,1.046640376
0.002640949,71.1715456
0.006465772,133.9699682
0.007831781,151.7628546
0.005281899,72.21818598
0.002185613,-3.139921129
-0.000273202,-54.42529958
-0.00327842,-118.2703625
-0.006010436,-151.7628546
-0.007558579,-164.3225391
0.000455336,28.25929016
0.004462294,106.7573184
0.006830041,123.5035644
0.008287117,139.2031701
0.009562058,151.7628546
0.0111102,170.6023814
0.012020873,178.9755044
0.013022612,189.4419081
0.01375115,193.6284696
0.015117158,199.9083119
0.014479687,181.0687851
0.012931545,143.3897316
0.008104982,23.02608828
0.005190831,-42.91225544
0.002003479,-91.05771275
-0.000455336,-117.2237222
-0.002458815,-128.7367663
-0.005737235,-133.9699682
-0.008378184,-142.3430912
-0.009835259,-169.555741
-0.011929805,-189.4419081
-0.012931545,-202.0015927
-0.014115419,-220.8411194
-0.015117158,-236.5407251
-0.012567276,-174.7889429
-0.01047273,-122.456924
-0.007922848,-68.03162447
-0.005919369,-19.88616715
-0.004098025,15.69960565
-0.002094546,47.09881694
-0.000455336,68.03162447
0.000637471,84.77787049
0.002549882,97.33755501
0.004280159,107.8039588
0.00655684,120.3636433
0.007740713,126.6434856
0.009106722,141.2964508
0.010745932,156.9960565
0.012476209,170.6023814
0.013477948,185.2553466
0.014661822,195.7217504
0.014752889,187.3486274
0.012931545,138.1565297
0.010017394,64.89170334
0.007740713,8.373123012
0.005008697,-39.77233431
0.003096285,-74.31146673
0.000910672,-107.8039588
-0.001366008,-125.5968452
-0.004371226,-137.1098893
-0.007558579,-139.2031701
-0.009835259,-160.1359776
-0.011383402,-190.4885485
-0.013022612,-215.6079176
-0.015026091,-237.5873655
-0.00719431,-47.09881694
-0.003642689,24.07272866
-0.001366008,62.79842259
0.00163921,92.10435313
0.005099764,111.9905203
0.007740713,127.6901259
0.010290595,148.6229335
0.011838738,165.3691795
0.014115419,185.2553466
0.015026091,198.8616715
0.016118897,209.3280753
0.01702957,220.8411194
0.018031309,233.400804
0.018941981,242.8205673
0.019761586,243.8672077
0.020125855,233.400804
0.019579452,209.3280753
0.016847435,135.0166086
0.012203007,28.25929016
0.007558579,-55.47193995
0.005190831,-92.10435313
0.002003479,-122.456924
-0.001183874,-126.6434856
-0.005099764,-132.9233278
-0.008378184,-167.4624602
-0.010017394,-186.301987
-0.012385141,-220.8411194
-0.014843956,-243.8672077
-0.016209965,-252.2403307
-0.018213443,-261.6600941
-0.019397317,-268.9865768
-0.020581191,-272.1264979
-0.016392099,-174.7889429
-0.012294074,-83.73123012
-0.009015654,-10.46640376
-0.005190831,54.42529958
-0.003096285,78.49802824
-0.001092807,90.01107238
0.000637471,102.5707569
0.003187353,106.7573184
0.005464033,107.8039588
0.008287117,125.5968452
0.0111102,149.6695738
0.013022612,175.8355832
0.017575973,225.0276809
0.019215183,237.5873655
0.020307989,240.7272866
0.019579452,214.5612772
0.014479687,86.87115125
0.010745932,10.46640376
0.007922848,-45.00553619
0.005737235,-83.73123012
0.003551621,-102.5707569
0.001548143,-116.1770818
-0.003642689,-127.6901259
-0.008651386,-151.7628546
-0.011838738,-200.9549523
-0.014206486,-237.5873655
-0.01702957,-250.14705
-0.017849174,-262.7067345
-0.019670519,-268.9865768
-0.020581191,-270.0332171
-0.01539036,-145.4830123
-0.012203007,-76.40474748
-0.009288856,-14.65296527
-0.006647907,36.63241318
-0.00391589,68.03162447
-0.00163921,85.82451087
0.000182134,96.29091464
0.002094546,105.710678
0.005190831,107.8039588
0.008378184,121.4102837
0.013022612,172.6956621
0.017484906,226.0743213
0.020581191,249.1004096
0.022493603,262.7067345
0.025134552,272.1264979
0.026318426,277.3596998
0.027684434,282.5929016
0.028959375,289.9193843
0.029961114,293.0593054
0.03041645,284.6861824
0.028686173,225.0276809
0.024132812,125.5968452
0.019033048,10.46640376
0.015936763,-48.14545732
0.013660083,-83.73123012
0.011383402,-107.8039588
0.008287117,-122.456924
0.004098025,-123.5035644
9.10672E-05,-122.456924
-0.00227668,-137.1098893
-0.003460554,-144.436372
-0.004826562,-160.1359776
-0.006010436,-173.7423025
-0.008924587,-200.9549523
-0.012294074,-233.400804
-0.014935024,-256.4268922
-0.018031309,-277.3596998
-0.020581191,-294.1059458
-0.023950678,-313.9921129
-0.026409493,-324.4585167
-0.028504039,-331.7849993
-0.030143249,-334.9249205
-0.030871786,-331.7849993
-0.029323644,-286.7794632
-0.025589888,-195.7217504
-0.022948939,-133.9699682
-0.020034788,-70.12490522
-0.017120637,-14.65296527
-0.014843956,24.07272866
-0.01274941,54.42529958
-0.0111102,71.1715456
-0.009835259,81.63794936
-0.007831781,85.82451087
-0.006010436,92.10435313
-0.004189092,96.29091464
-0.001912412,100.4774761
-0.000273202,109.8972395
0.001366008,118.2703625
0.004006958,136.0632489
0.006738974,162.2292584
0.009470991,190.4885485
0.012658343,216.6545579
0.015481427,238.6340058
0.019761586,263.7533749
0.023131073,280.4996209
0.026682694,290.9660247
0.029323644,304.5723496
0.03041645,305.6189899
0.029596845,275.266419
0.024952417,167.4624602
0.019488384,50.23873807
0.016938502,-13.60632489
0.013660083,-59.65850146
0.011565537,-88.964432
0.009562058,-109.8972395
0.00655684,-117.2237222
0.003369487,-126.6434856
0.001274941,-137.1098893
-0.001274941,-147.5762931
-0.003733756,-174.7889429
