Total story drift angle (rad),Force in the actuator (kN)
-1.06E-05,2.611346933
-8.11E-06,2.744129221
-9.38E-06,2.611346933
-8.11E-06,2.655607694
-1.06E-05,2.655607694
-1.06E-05,2.567086171
-1.19E-05,2.655607694
-9.38E-06,2.655607694
-9.38E-06,2.611346933
-1.06E-05,2.567086171
-8.11E-06,2.52282541
-6.84E-06,2.567086171
-9.38E-06,2.567086171
-1.06E-05,2.611346933
-9.38E-06,2.655607694
7.06E-05,16.86331213
0.000151801,26.33511488
0.000240639,31.11527695
0.000323131,25.58268195
0.0004107,28.10554528
0.000491923,36.33804658
0.000580761,43.72959335
0.000663254,51.5637476
0.000752092,59.35364101
0.000829507,67.98448864
0.000917076,75.24325273
0.000999568,83.4757534
0.001085868,91.1328641
0.00116836,99.40962524
0.001255929,107.199518
0.001335883,115.5205397
0.001418376,123.4432145
0.001503406,132.0740613
0.001584629,140.1295181
0.00166966,148.2734964
0.001750883,156.5059961
0.001838452,165.0040601
0.001919675,173.1922988
0.002007244,181.3362767
0.002088467,189.9228619
0.002174767,198.0668396
0.002254721,206.8747283
0.00234229,215.0629665
0.002420974,223.9593765
0.002509812,231.6607463
0.002589766,240.4686347
0.002674797,248.1700043
0.002752213,256.4910242
0.002839782,264.4579581
0.002922274,272.6019349
0.003008574,280.8344331
0.003089797,289.0669312
0.003174827,297.4764721
0.00325732,305.5319271
0.003343619,314.2070324
0.003424842,322.1297049
0.003507335,330.7162885
0.003591096,338.5504394
0.003673588,347.0485013
0.003753543,354.1744802
0.003763695,350.4123175
0.003763695,348.287802
0.003764965,346.6501547
0.003758619,345.6764184
0.003759888,345.410854
0.003759888,345.2780717
0.003758619,345.3665932
0.003753543,345.410854
0.003754812,345.7206791
0.003753543,346.0305043
0.003753543,346.6058939
0.003754812,346.8714583
0.003754812,346.8714583
0.003753543,346.8714583
0.003748466,347.0042406
0.003748466,347.092762
0.003749735,347.092762
0.003747197,347.092762
0.003747197,347.092762
0.003748466,347.1370228
0.003748466,347.1370228
0.003748466,347.2255443
0.003748466,347.1812835
0.003748466,347.1370228
0.003752273,347.269805
0.003748466,347.1812835
0.003749735,347.269805
0.003749735,347.3140657
0.003749735,347.446848
0.003747197,347.1370228
0.003748466,347.2255443
0.003747197,347.3140657
0.003748466,347.3140657
0.003747197,347.2255443
0.003723084,341.6044304
0.003638053,324.82961
0.003550485,312.1267775
0.003469261,300.9730708
0.003380423,290.7488394
0.003300469,281.365562
0.003212901,272.7789779
0.003131677,264.4579581
0.003046647,255.2517234
0.002961616,247.1962679
0.002877855,238.9637693
0.002791555,230.6427492
0.002707794,222.5872934
0.002625302,213.8236656
0.002544078,205.9009919
0.002459048,197.2258854
0.002377825,189.3032114
0.002291525,180.406801
0.002209033,171.8644764
0.002121464,163.6319769
0.00204151,155.6650418
0.00195521,147.1669776
0.001872718,138.8459564
0.001788956,130.6134565
0.001706464,121.8498275
0.001621434,113.9714134
0.00154021,105.4733486
0.001456449,97.63919505
0.001371418,89.45095539
0.001286388,81.48401938
0.001205165,73.25151872
0.001120134,65.28458249
0.001036373,57.49468917
0.000951342,49.70479576
0.00086885,41.73785919
0.000786358,34.3463124
0.000703865,26.77772248
0.000621373,19.43043625
0.000535073,12.03888917
0.00045385,4.603081222
0.000370089,-2.78846606
0.000287596,-9.294798183
0.000201297,-15.44704427
0.000121343,-19.51903453
3.25E-05,-21.37798661
-4.36E-05,-23.28119947
-0.00013248,-26.86632137
-0.000213703,-27.13188596
-0.000294926,-31.69074472
-0.000377419,-37.7987303
-0.000467526,-45.67714657
-0.000544942,-53.02443379
-0.000631241,-61.12415415
-0.000712464,-68.86978851
-0.000801302,-76.6596837
-0.000879987,-84.27253598
-0.000968825,-92.37225683
-0.001048779,-100.0736308
-0.001127464,-108.3061343
-0.001208688,-116.0075086
-0.001293718,-124.8154023
-0.001378749,-132.4725161
-0.001461241,-140.9263239
-0.001542464,-148.6276987
-0.001627495,-157.3913323
-0.001709987,-165.1369681
-0.001793748,-173.2809511
-0.001874972,-181.2036303
-0.001957464,-189.3476135
-0.002043764,-197.3145538
-0.002123718,-205.2814942
-0.002210017,-213.5139995
-0.002291241,-221.5252009
-0.00237754,-230.2003143
-0.002458764,-238.1229945
-0.002543794,-246.8866297
-0.002623748,-254.5880063
-0.002712586,-263.3516418
-0.002791271,-271.3185835
-0.002876302,-279.9051762
-0.002958794,-287.8278573
-0.003045094,-296.0603641
-0.00312251,-303.8502631
-0.003208809,-311.9499878
-0.003291302,-319.9611911
-0.003377601,-328.1494377
-0.003458825,-336.5147276
-0.003545124,-344.3488882
-0.003626347,-353.024004
-0.003712647,-360.8139041
-0.003763412,-364.753115
-0.003768488,-360.8581649
-0.003762143,-358.025474
-0.00376595,-357.80417
-0.003763412,-357.4058228
-0.003763412,-357.4058228
-0.003760873,-357.140258
-0.003758335,-357.582866
-0.003759604,-357.361562
-0.003762143,-357.582866
-0.003762143,-357.6713876
-0.003754528,-357.7156484
-0.003755797,-357.7156484
-0.003754528,-357.8926916
-0.003753259,-357.80417
-0.003755797,-357.9369523
-0.003754528,-358.025474
-0.003754528,-357.9812132
-0.003720262,-349.0847932
-0.003632693,-333.9033408
-0.003548932,-322.1299699
-0.003462632,-310.6664249
-0.00337887,-300.8847901
-0.003290033,-292.076893
-0.003210078,-283.5788216
-0.00312251,-275.0364895
-0.003041286,-266.1843322
-0.002953718,-257.8633044
-0.002873764,-248.9226258
-0.002783656,-241.088467
-0.002703702,-232.4133534
-0.002617403,-224.5791949
-0.002538718,-216.1696463
-0.00244988,-208.2027057
-0.002368657,-199.7931575
-0.002279819,-191.3836093
-0.002203672,-183.2396261
-0.002117372,-174.5202528
-0.002033611,-166.4647914
-0.001952388,-157.7011577
-0.00186355,-149.3801319
-0.001781057,-141.1918886
-0.001697296,-133.0921669
-0.001616073,-125.080967
-0.001531042,-116.9812456
-0.001449819,-109.1470889
-0.001364788,-101.2244109
-0.001283565,-93.34599375
-0.001195996,-85.06922981
-0.001113504,-77.36785601
-0.00103355,-69.22387465
-0.000952327,-61.38971876
-0.000864758,-53.06869457
-0.000783535,-45.72140736
-0.000698504,-37.84299107
-0.00061855,-30.76126866
-0.000530981,-22.97137412
-0.000452296,-15.75686962
-0.000365997,-8.276800633
-0.000284773,-1.770468524
-0.000197205,5.399774934
-0.000117251,12.5700183
-3.22E-05,17.21739821
1.22E-05,15.57975006
9.66E-06,13.05688668
1.22E-05,11.95036764
5.85E-06,11.06515242
8.39E-06,10.84384861
7.12E-06,10.93237013
7.12E-06,11.64054232
-4.92E-07,11.90610688
7.77E-07,11.99462841
7.77E-07,11.99462841
7.77E-07,12.03888917
-4.92E-07,12.08314993
7.77E-07,12.39297526
2.05E-06,14.07488418
8.96E-05,19.96156538
0.000173376,25.14007435
0.000259676,26.60067943
0.000340899,24.65320599
0.00042593,30.18580099
0.00051096,38.01995543
0.00059726,45.76558825
0.000677214,53.51122096
0.000762244,61.61093963
0.000846006,70.109005
0.000932306,77.67759436
0.001013529,85.99861646
0.00109729,93.56720564
0.00118359,102.0210098
0.001263544,109.5010772
0.001349844,118.1319242
0.001431067,125.8332952
0.001516097,134.0657951
0.00159859,141.8556875
0.001686158,150.2209695
0.001764843,158.4534691
0.001852412,166.5974471
0.001933635,174.7856858
0.002018666,183.1952281
0.00209862,192.0031171
0.002186189,200.0143124
0.002267412,208.6008975
0.002351173,216.7006141
0.002433666,225.2871989
0.002518696,233.6082191
0.002599919,242.0177607
0.002687488,250.2059985
0.002766173,258.3942362
0.002853742,267.2021242
0.002933696,275.2575795
0.003021265,284.463814
0.003102488,292.1209224
