Total story drift angle (rad),Force in the actuator (kN)
0,0
0.000873635,86.9047619
0,-2.380952381
-0.00124805,-83.33333333
-0.000374415,-4.761904762
0.000624025,83.33333333
-0.00149766,-83.33333333
-0.00024961,-4.761904762
0.001123245,86.9047619
-0.00099844,-85.71428571
-0.00024961,-2.380952381
0.001372855,152.3809524
-0.001622465,-144.047619
-0.00024961,2.380952381
0.00124805,153.5714286
-0.000124805,-27.38095238
-0.001622465,-146.4285714
-0.00174727,-90.47619048
-0.00049922,3.571428571
0.000873635,153.5714286
-0.000124805,3.571428571
-0.001872075,-142.8571429
-0.00149766,-90.47619048
0.000624025,108.3333333
0.00099844,154.7619048
0.00174727,209.5238095
0.00074883,21.42857143
-0.000624025,-119.047619
-0.00174727,-198.8095238
-0.00149766,-88.0952381
-0.000624025,9.523809524
0.000374415,125
0.001123245,188.0952381
0.001872075,211.9047619
0.00024961,-41.66666667
-0.00124805,-164.2857143
-0.001622465,-207.1428571
-0.001872075,-89.28571429
-0.00074883,5.952380952
0.000624025,154.7619048
0.001872075,205.952381
0.000624025,-20.23809524
-0.000624025,-170.2380952
-0.001622465,-213.0952381
-0.00224649,-141.6666667
-0.00224649,-58.33333333
-0.00049922,58.33333333
-0.00024961,126.1904762
0.000873635,191.6666667
0.001622465,211.9047619
0.002121685,257.1428571
0.002870515,272.6190476
0.0024961,119.047619
0.001622465,-53.57142857
0.000374415,-176.1904762
-0.000873635,-248.8095238
-0.001872075,-266.6666667
-0.0024961,-221.4285714
-0.002371295,-150
-0.001622465,0
-0.000873635,94.04761905
-0.00024961,153.5714286
0.000624025,191.6666667
0.001622465,236.9047619
0.00274571,271.4285714
0.00174727,17.85714286
0.000624025,-145.2380952
-0.000124805,-204.7619048
-0.00124805,-242.8571429
-0.002121685,-265.4761905
-0.002121685,-141.6666667
-0.00224649,-26.19047619
-0.00149766,76.19047619
0.00024961,170.2380952
0.002371295,261.9047619
0.00274571,275
0.00124805,-11.9047619
0.00074883,-119.047619
0.000124805,-170.2380952
-0.000624025,-219.047619
-0.001622465,-242.8571429
-0.002121685,-264.2857143
-0.00224649,-133.3333333
-0.00224649,-17.85714286
-0.00149766,64.28571429
-0.000624025,129.7619048
0.000624025,194.047619
0.001872075,250
0.002870515,272.6190476
0.00374415,278.5714286
0.0049922,280.952381
0.00624025,280.952381
0.006864275,263.0952381
0.00723869,186.9047619
0.006115445,-21.42857143
0.005616225,-95.23809524
0.00474259,-158.3333333
0.002371295,-214.2857143
0,-242.8571429
