Total story drift angle (rad),Force in the actuator (kN)
1.83E-04,7.18743167
0.006778626,788.2216731
-0.007389313,-778.6384309
0.006778626,788.2216731
-0.007267176,-759.4719464
0.006900763,783.430052
-0.006900763,-740.305462
0.006900763,797.8049153
0.007877863,893.6373376
0.008854962,979.8865176
0.010076336,1066.135698
0.011419847,1104.468667
0.013007634,1128.426772
0.014961832,1138.010014
0.016793893,1147.593257
0.017648855,1138.010014
0.017526718,1046.969213
0.008610687,2.395810557
0.002503817,-519.8908908
1.83E-04,-678.0143875
-0.002015267,-783.430052
-0.004335878,-860.0959898
-0.007633588,-927.1786854
-0.011053435,-984.6781387
-0.013251908,-1018.219487
-0.015816794,-946.3451698
-0.010931298,-380.9338785
-0.007145038,2.395810557
-0.003236641,385.7254996
-0.00140458,539.0573752
9.16E-04,668.4311453
0.003725191,802.5965364
0.007267176,927.1786854
0.012030534,1061.344077
0.017160305,1195.509468
0.017526718,1161.96812
0.00751145,7.18743167
0.002259542,-457.5998163
4.27E-04,-591.7652075
-0.001648855,-692.3892508
-0.005801527,-850.5127476
-0.008854962,-941.5535487
-0.015328244,-1080.510561
-0.015816794,-1080.510561
-0.016183206,-1037.385971
-0.006534351,-2.395810557
-0.003358779,313.8511829
-6.11E-05,572.598723
0.002992366,749.8887042
0.004946565,845.7211265
0.008732824,960.7200332
0.013740458,1104.468667
0.016427481,1171.551362
0.017526718,1171.551362
0.017038168,1037.385971
0.013374046,615.723313
0.008366412,40.72877946
0.003236641,-395.3087418
0.001526718,-539.0573752
-1.83E-04,-634.8897975
-0.002503817,-745.0970831
-0.004091603,-812.1797787
-0.006778626,-888.8457165
-0.013862595,-1046.969213
-0.015328244,-1051.760834
-0.016183206,-1032.59435
-0.016061069,-1008.636244
-0.011419847,-510.3076485
-0.006534351,-7.18743167
-0.003358779,328.2260462
-6.11E-05,572.598723
0.002870229,749.8887042
0.004824427,855.3043687
0.007267176,927.1786854
0.01178626,1061.344077
0.015083969,1138.010014
0.01740458,1185.926225
0.02119084,1229.050816
0.024732824,1267.383784
0.026564885,1286.550269
0.02778626,1286.550269
0.027908397,1238.634058
0.027541985,1176.342983
0.017160305,2.395810557
0.012641221,-371.3506363
0.009709924,-572.598723
0.006656489,-721.1389775
0.003358779,-845.7211265
-6.11E-05,-941.5535487
-0.004946565,-1018.219487
-0.011908397,-1109.260288
-0.017038168,-1147.593257
-0.021801527,-1152.384878
-0.024732824,-1147.593257
-0.025343511,-1133.218393
-0.025465649,-1070.927319
-0.025343511,-1003.844623
-0.024366412,-884.0540954
-0.020946565,-548.6406175
-0.015328244,2.395810557
-0.010442748,414.4752263
-0.006167939,668.4311453
-0.00189313,831.3462631
0.002259542,951.136791
0.00751145,1051.760834
0.012519084,1123.635151
0.015572519,1161.96812
0.019236641,1238.634058
0.021557252,1253.008921
0.02680916,1286.550269
0.02778626,1272.175406
0.027908397,1238.634058
0.02729771,1166.759741
0.016427481,2.395810557
0.012152672,-366.5590152
0.009343511,-553.4322386
0.006045802,-711.5557353
0.002748092,-836.1378842
-3.05E-04,-922.3870643
-0.00519084,-994.261381
-0.007633588,-1018.219487
-0.011908397,-1046.969213
-0.017648855,-1051.760834
-0.024854962,-1027.802729
-0.025709924,-1003.844623
-0.025343511,-946.3451698
-0.023022901,-716.3473564
-0.015816794,-7.18743167
-0.010564885,424.0584685
-0.007145038,606.1400708
-0.004091603,735.5138409
0.001648855,893.6373376
0.006534351,994.261381
0.016427481,1138.010014
0.025099237,1248.2173
0.027541985,1267.383784
0.029984733,1262.592163
0.036458015,1238.634058
0.037923664,1233.842437
0.038412214,1209.884331
0.038412214,1161.96812
0.027175573,-7.18743167
0.021435115,-433.6417107
0.017770992,-615.723313
0.014351145,-740.305462
0.011053435,-831.3462631
0.006900763,-917.5954432
0.002381679,-979.8865176
-4.27E-04,-994.261381
-0.003480916,-1018.219487
-0.014961832,-1018.219487
-0.02119084,-1003.844623
-0.032793893,-946.3451698
-0.034625954,-936.7619276
-0.035236641,-917.5954432
-0.035358779,-884.0540954
-0.033770992,-716.3473564
-0.029007634,-275.518214
-0.025465649,-2.395810557
-0.021801527,265.9349718
-0.018137405,471.9746796
-0.013984733,630.0981764
-0.009587786,725.9305986
-0.003969466,831.3462631
0.00848855,979.8865176
0.017770992,1051.760834
0.031450382,1114.051909
0.039877863,1114.051909
0.040244275,1099.677045
0.040366412,1037.385971
0.039267176,936.7619276
0.029007634,-11.97905278
0.025343511,-232.393624
0.023755725,-337.8092885
0.021435115,-433.6417107
0.019480916,-519.8908908
0.016183206,-606.1400708
0.013129771,-687.5976297
0.008732824,-773.8468098
0.004580153,-821.7630209
-0.001282443,-860.0959898
-0.00751145,-893.6373376
-0.013618321,-903.2205798
-0.019603053,-893.6373376
-0.024244275,-864.8876109
-0.03059542,-831.3462631
-0.034503817,-802.5965364
-0.034870229,-740.305462
-0.032793893,-586.9735864
-0.024,50.31202169
