Total story drift angle (rad),Force in the actuator (kN)
0.000000,0.000000
0.001485,155.948527
0.002930,307.620758
0.004294,450.857661
0.005540,581.731506
0.006635,696.653578
0.007547,792.472574
0.008253,866.561024
0.008732,916.887334
0.008972,942.071495
0.008966,941.422929
0.008714,914.959419
0.008223,863.406627
0.007506,788.178192
0.006584,691.336967
0.005481,575.538455
0.004228,443.957990
0.002859,300.203666
0.001412,148.217398
-0.000075,-7.833169
-0.001559,-163.668941
-0.003000,-315.016714
-0.004359,-457.726353
-0.005599,-587.884586
-0.006685,-701.922321
-0.007588,-796.712506
-0.008282,-869.655880
-0.008750,-918.752249
-0.008978,-942.655332
-0.008959,-940.709678
-0.008695,-912.968638
-0.008192,-860.192905
-0.007465,-783.829654
-0.006533,-685.972855
-0.005422,-569.305859
-0.004162,-437.027816
-0.002788,-292.765946
-0.001338,-140.476084
0.000149,15.665800
0.001632,171.378109
0.003070,322.391026
0.004424,464.563594
0.005657,593.997273
0.006735,707.142836
0.007628,800.897696
0.008311,872.690982
0.008767,920.554038
0.008983,943.174399
0.008952,939.931790
0.008675,910.915126
0.008161,856.920080
0.007423,779.427259
0.006482,680.561609
0.005362,563.034146
0.004096,430.067613
0.002717,285.308111
0.001264,132.725119
-0.000224,-23.497354
-0.001705,-179.075502
-0.003140,-329.743185
-0.004489,-471.368916
-0.005715,-600.069147
-0.006784,-712.314763
-0.007667,-805.027856
-0.008340,-875.666122
-0.008784,-922.292575
-0.008987,-943.628661
-0.008944,-939.089320
-0.008655,-908.799026
-0.008129,-853.588375
-0.007381,-774.971310
-0.006430,-675.103603
-0.005302,-556.723747
-0.004029,-423.077860
-0.002646,-277.830672
-0.001190,-124.965034
0.000597,62.654588
0.003557,373.521182
0.006420,674.145377
0.009107,950.051044
0.011545,957.429312
0.013665,963.810381
0.015411,969.011070
0.016735,972.880565
0.017599,975.304555
0.017981,976.208368
0.017870,964.536846
0.017269,901.413160
0.016194,788.568237
0.014675,629.096419
0.012754,427.370615
0.010483,188.922387
0.007925,-79.709729
0.005149,-371.159518
0.002232,-677.435079
-0.000746,-918.924503
-0.003703,-927.941960
-0.006560,-936.639523
-0.009236,-944.770488
-0.011659,-952.103691
-0.013762,-958.429842
-0.015488,-963.567265
-0.016789,-967.366881
-0.017630,-969.716296
-0.017987,-970.542881
-0.017852,-956.279322
-0.017226,-890.616875
-0.016129,-775.356084
-0.014589,-613.657537
-0.012649,-409.955203
-0.010362,-169.834841
-0.007791,100.119158
-0.005006,392.504335
-0.002084,699.303136
0.000895,913.709048
0.003849,922.716534
0.006698,931.391523
0.009364,939.487934
0.011772,946.775547
0.013858,953.046324
0.015564,958.120107
0.016842,961.849563
0.017660,964.124220
0.017992,964.873501
0.017832,948.018884
0.017182,879.822189
0.016062,762.153449
0.014501,598.239284
0.012542,392.574415
0.010239,150.798419
0.007656,-120.458916
0.004863,-413.759390
0.001936,-721.060353
-0.001044,-908.493400
-0.003995,-917.490274
-0.006837,-926.142074
-0.009491,-934.203353
-0.011885,-941.444856
-0.013953,-947.659807
-0.015638,-952.669581
-0.016895,-956.328600
-0.017688,-958.528323
-0.017996,-959.200227
-0.017811,-939.755711
-0.017137,-869.029452
-0.015994,-748.960849
-0.014412,-582.842328
-0.012435,-375.229056
-0.010116,-131.814038
-0.007521,140.727995
-0.004719,434.923614
-0.001788,742.705623
0.001789,905.156130
0.006210,918.784170
0.010462,931.875768
0.014426,944.063730
0.017994,955.005646
0.021070,964.393268
0.023567,971.960973
0.025418,977.493041
0.026572,980.829571
0.026998,981.870866
0.026683,948.821247
0.025637,838.944803
0.023887,655.254479
0.021483,402.787284
0.018489,88.466169
0.014989,-279.089804
0.011077,-689.801810
0.006862,-872.818702
0.002458,-886.390380
-0.002012,-900.174412
-0.006428,-913.784620
-0.010668,-926.839590
-0.014614,-938.973136
-0.018161,-949.844335
-0.021209,-959.146883
-0.023675,-966.617487
-0.025493,-972.043090
