Total story drift angle (rad),Force in the actuator (kN)
-1.02E-04,1.076222049
0.002137405,72.82435863
-0.002544529,-67.80198907
0.00206955,67.08450771
-0.002273113,-66.36702634
0.002205259,69.95443317
-0.002205259,-67.80198907
0.002137405,68.51947044
-0.002476675,-63.49710088
0.002205259,68.51947044
-0.002476675,-66.36702634
0.002137405,68.51947044
0.003969466,124.483017
-0.003969466,-116.590722
0.003969466,123.0480542
-0.004308736,-116.590722
0.003833757,123.0480542
-0.004173028,-120.8956101
0.003969466,127.3529424
-0.00403732,-118.0256847
0.003833757,123.0480542
-0.00437659,-119.4606474
0.00403732,120.1781288
-0.004240882,-119.4606474
0.004105174,123.0480542
0.005937235,183.316489
-0.006276506,-178.2941194
0.005869381,183.316489
-0.00634436,-178.2941194
0.005869381,184.7514517
-0.006208651,-175.424194
0.005869381,181.8815262
-0.006208651,-171.1193058
0.005869381,184.7514517
-0.00634436,-181.1640449
0.005869381,189.0563399
-0.006005089,-171.1193058
0.006005089,183.316489
0.007565734,234.9751473
-0.008312129,-231.3877405
0.007362171,236.41011
-0.008108567,-229.9527778
0.007430025,234.9751473
-0.007972858,-229.9527778
0.00783715,236.41011
-0.008312129,-232.8227032
0.007701442,237.8450728
-0.008244275,-235.6926287
0.00749788,233.5401846
0.00783715,252.1947001
0.008379983,259.3695138
0.008787108,266.5443274
0.009601357,269.4142529
0.009194232,252.1947001
0.005462256,134.5277561
-9.84E-04,-46.2775481
-0.004715861,-145.2899766
-0.008040712,-224.2129268
-0.009329941,-250.042256
-0.009804919,-252.9121815
-0.008583545,-205.5584113
-0.005733673,-120.8956101
-0.001458863,-3.228666146
0.002340967,101.5236133
0.004444444,160.3570853
0.006412214,209.1458181
0.008379983,256.4995883
0.009397795,270.8492156
0.008244275,227.8003337
0.002815946,61.34465678
-0.002273113,-79.28169093
-0.005394402,-165.3794548
-0.007769296,-231.3877405
-0.009262087,-252.9121815
-0.009737065,-250.042256
-0.00668363,-148.159902
-0.003290925,-46.2775481
0.001187447,74.25932137
0.005122986,184.7514517
0.008719254,263.6744019
0.009940628,289.5037311
0.010958439,299.5484702
0.011840543,305.2883212
0.012586938,313.8980976
0.013333333,318.2029858
0.01394402,323.9428367
0.014690416,325.3777994
0.014486853,312.4631348
0.012586938,265.1093647
0.007565734,108.6984269
0.002748092,-20.44821893
-0.001526718,-122.3305729
-0.004240882,-179.7290821
-0.006005089,-206.993374
-0.008108567,-242.8674423
-0.009669211,-261.5219579
