panel zone shear distortion (rad),panel zone shear force (kN)
0.000000,0.000000
0.000256,112.317770
0.000505,257.684783
0.000742,428.543289
0.000960,614.495791
0.001155,803.168508
0.001321,981.281134
0.001455,1135.821422
0.001552,1255.212445
0.001612,1330.360626
0.001631,1355.483807
0.001610,1328.639632
0.001550,1251.903346
0.001451,1131.177839
0.001316,975.654274
0.001149,796.975260
0.000953,608.181138
0.000734,422.540639
0.000497,252.378017
0.000247,108.008623
-0.000009,-3.157822
-0.000264,-116.663960
-0.000513,-263.020138
-0.000749,-434.562895
-0.000967,-620.813552
-0.001161,-809.349998
-0.001326,-986.881669
-0.001459,-1140.425717
-0.001555,-1258.472075
-0.001613,-1332.025677
-0.001631,-1355.425689
-0.001609,-1326.862844
-0.001547,-1248.545063
-0.001447,-1126.495363
-0.001311,-970.001554
-0.001143,-790.770751
-0.000946,-601.870078
-0.000726,-416.555375
-0.000489,-247.100180
-0.000239,-103.736735
0.000017,6.357221
0.000272,121.046968
0.000521,268.383743
0.000757,440.599026
0.000974,627.133934
0.001167,815.519232
0.001331,992.455413
0.001462,1144.990335
0.001558,1261.681956
0.001614,1333.634642
0.001631,1355.309459
0.001608,1325.030416
0.001544,1245.137883
0.001443,1121.774389
0.001306,964.323445
0.001137,784.555481
0.000939,595.563094
0.000719,410.587924
0.000480,241.851603
0.000230,99.502321
-0.000026,-9.598104
-0.000281,-125.466568
-0.000529,-273.775252
-0.000764,-446.651246
-0.000981,-633.456450
-0.001173,-821.675713
-0.001336,-998.001903
-0.001466,-1149.514889
-0.001560,-1264.841813
-0.001616,-1335.187380
-0.001631,-1355.135126
-0.001606,-1323.142505
-0.001542,-1241.682099
-0.001439,-1117.015316
-0.001301,-958.620415
-0.001131,-778.329948
-0.000932,-589.260669
-0.000711,-404.638711
-0.000472,-236.632619
-0.000222,-95.305591
0.000068,26.427304
0.000579,307.502597
0.001075,722.738602
0.001544,1244.721561
0.001975,1834.838377
0.002358,2446.756302
0.002682,2997.912044
0.002940,3201.476818
0.003125,3348.230545
0.003233,3433.856788
0.003262,3455.824204
0.003209,3349.042438
0.003078,3087.441556
0.002870,2694.798817
0.002591,2206.655241
0.002249,1666.899713
0.001851,1123.558709
0.001407,624.202672
0.000928,211.417149
0.000427,-81.220082
-0.000086,-265.304780
-0.000596,-637.223061
-0.001091,-1140.114095
-0.001559,-1744.080800
-0.001989,-2408.238684
-0.002370,-2743.632453
-0.002692,-2995.699122
-0.002947,-3196.824351
-0.003130,-3341.147870
-0.003236,-3424.421470
-0.003261,-3444.181982
-0.003206,-3332.130444
-0.003072,-3066.021818
-0.002862,-2670.061540
-0.002581,-2180.117117
-0.002236,-1640.270150
-0.001836,-1098.586741
-0.001391,-602.519223
-0.000912,-194.387784
